"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1883_002_Vis1AB_Home1A",1,22112,0.891828,54.1203,5.55345
"1883_002_Vis1AB_Home1A",1,22162,0.940503,47.5086,5.28546
"1883_002_Vis1AB_Home1A",1,22212,0.957876,40.9689,4.95912
"1883_002_Vis1AB_Home1A",1,22262,0.943944,34.5012,4.5744
"1883_002_Vis1AB_Home1A",1,22312,0.89871,28.10607,4.13136
"1883_002_Vis1AB_Home1A",1,22362,0.822174,21.78303,3.62997
"1883_002_Vis1AB_Home1A",1,22412,0.714333,15.53214,3.07023
"1883_002_Vis1AB_Home1A",1,22462,0.57519,9.35343,2.45214
"1883_002_Vis1AB_Home1A",1,22512,0.404742,3.24696,1.7757
"1883_002_Vis1AB_Home1A",1,22562,0.2029923,-2.78733,1.04091
"1883_002_Vis1AB_Home1A",2,37312,1.506402,57.252,5.96679
"1883_002_Vis1AB_Home1A",2,37362,1.322154,50.6193,5.61819
"1883_002_Vis1AB_Home1A",2,37412,1.165536,44.0517,5.24064
"1883_002_Vis1AB_Home1A",2,37462,1.036548,37.5492,4.83414
"1883_002_Vis1AB_Home1A",2,37512,0.935187,31.1115,4.39869
"1883_002_Vis1AB_Home1A",2,37562,0.861459,24.73929,3.93426
"1883_002_Vis1AB_Home1A",2,37612,0.815361,18.43206,3.44088
"1883_002_Vis1AB_Home1A",2,37662,0.79689,12.1899,2.918541
"1883_002_Vis1AB_Home1A",2,37712,0.806052,6.01281,2.367237
"1883_002_Vis1AB_Home1A",2,37762,0.842841,-0.0991722,1.78698
"1883_002_Vis1AB_Home1A",2,37812,0.907263,-6.14604,1.177764
"1883_002_Vis1AB_Home1A",3,53662,1.303857,52.1457,5.61369
"1883_002_Vis1AB_Home1A",3,53712,1.265091,45.5154,5.21142
"1883_002_Vis1AB_Home1A",3,53762,1.250127,38.9649,4.74645
"1883_002_Vis1AB_Home1A",3,53812,1.258965,32.4939,4.21875
"1883_002_Vis1AB_Home1A",3,53862,1.291599,26.10246,3.62835
"1883_002_Vis1AB_Home1A",3,53912,1.348035,19.79067,2.975214
"1883_002_Vis1AB_Home1A",3,53962,1.42827,13.55841,2.259354
"1883_002_Vis1AB_Home1A",3,54012,1.532304,7.4058,1.480776
