"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1883_011_Vis1AD_Home1A",1,55752,-1.041219,52.6527,6.12927
"1883_011_Vis1AD_Home1A",1,55802,-0.756837,46.0581,5.79489
"1883_011_Vis1AD_Home1A",1,55852,-0.504126,39.5379,5.42685
"1883_011_Vis1AD_Home1A",1,55902,-0.2830809,33.0918,5.02512
"1883_011_Vis1AD_Home1A",1,55952,-0.0937056,26.72022,4.58973
"1883_011_Vis1AD_Home1A",1,56002,0.0640014,20.42283,4.12065
"1883_011_Vis1AD_Home1A",1,56052,0.1900401,14.19975,3.61788
"1883_011_Vis1AD_Home1A",1,56102,0.2844108,8.05089,3.08145
"1883_011_Vis1AD_Home1A",1,56152,0.347112,1.976388,2.511318
"1883_011_Vis1AD_Home1A",1,56202,0.378147,-4.02384,1.907514
"1883_011_Vis1AD_Home1A",2,66502,-0.873489,53.9955,5.95458
"1883_011_Vis1AD_Home1A",2,66552,-0.672948,47.4177,5.75562
"1883_011_Vis1AD_Home1A",2,66602,-0.477621,40.8879,5.49438
"1883_011_Vis1AD_Home1A",2,66652,-0.2875107,34.4064,5.17086
"1883_011_Vis1AD_Home1A",2,66702,-0.1026171,27.97242,4.78509
"1883_011_Vis1AD_Home1A",2,66752,0.0770601,21.58647,4.33704
"1883_011_Vis1AD_Home1A",2,66802,0.2515209,15.24843,3.82671
"1883_011_Vis1AD_Home1A",2,66852,0.420765,8.9583,3.25413
"1883_011_Vis1AD_Home1A",2,66902,0.584796,2.716113,2.619249
"1883_011_Vis1AD_Home1A",2,66952,0.743607,-3.47817,1.922115
"1883_011_Vis1AD_Home1A",3,77802,-1.119906,52.1442,5.62473
"1883_011_Vis1AD_Home1A",3,77852,-1.088046,45.4524,5.27838
"1883_011_Vis1AD_Home1A",3,77902,-1.090929,38.8347,4.85754
"1883_011_Vis1AD_Home1A",3,77952,-1.128549,32.2908,4.36224
"1883_011_Vis1AD_Home1A",3,78002,-1.200906,25.82085,3.79248
"1883_011_Vis1AD_Home1A",3,78052,-1.308006,19.42488,3.14823
"1883_011_Vis1AD_Home1A",3,78102,-1.449843,13.10286,2.429499
"1883_011_Vis1AD_Home1A",3,78152,-1.62642,6.85482,1.636302
"1883_011_Vis1AD_Home1A",3,78202,-1.837734,0.680712,0.768633
"1883_011_Vis1AD_Home1A",3,78252,-2.083791,-5.41944,-0.1735122
"1883_011_Vis1AD_Home1A",4,90702,-1.128039,56.5902,5.83473
"1883_011_Vis1AD_Home1A",4,90752,-0.899919,49.8312,5.64183
"1883_011_Vis1AD_Home1A",4,90802,-0.715572,43.1379,5.37825
"1883_011_Vis1AD_Home1A",4,90852,-0.574998,36.51,5.04405
"1883_011_Vis1AD_Home1A",4,90902,-0.478197,29.94729,4.6392
"1883_011_Vis1AD_Home1A",4,90952,-0.425172,23.45004,4.16367
"1883_011_Vis1AD_Home1A",4,91002,-0.41592,17.01816,3.61752
"1883_011_Vis1AD_Home1A",4,91052,-0.450444,10.65165,3.00072
"1883_011_Vis1AD_Home1A",4,91102,-0.528741,4.35051,2.313237
"1883_011_Vis1AD_Home1A",4,91152,-1.227987,6.5259,2.359959
"1883_011_Vis1AD_Home1A",4,91202,-2.285976,12.74904,2.497557
"1883_011_Vis1AD_Home1A",4,91252,-3.31353,18.89787,2.560671
"1883_011_Vis1AD_Home1A",4,91302,-4.31067,24.97236,2.549295
"1883_011_Vis1AD_Home1A",4,91352,-5.27739,30.9726,2.463432
"1883_011_Vis1AD_Home1A",4,91402,-6.21369,36.8982,2.303079
"1883_011_Vis1AD_Home1A",4,91452,-7.11954,42.7497,2.068239
"1883_011_Vis1AD_Home1A",4,91502,-7.99497,48.5268,1.758912
"1883_011_Vis1AD_Home1A",4,91552,-8.83998,54.2298,1.375095
"1883_011_Vis1AD_Home1A",4,91602,-9.65457,59.8581,0.916788
"1883_011_Vis1AD_Home1A",4,91652,-10.43874,65.4123,0.383994
"1883_011_Vis1AD_Home1A",4,91702,-11.48133,70.5897,0.2479284
"1883_011_Vis1AD_Home1A",4,91752,-12.24624,75.2151,0.542037
"1883_011_Vis1AD_Home1A",4,91802,-13.00632,79.7967,0.741435
"1883_011_Vis1AD_Home1A",4,91852,-13.76163,84.3348,0.846123
"1883_011_Vis1AD_Home1A",4,91902,-14.51211,88.8294,0.856095
"1883_011_Vis1AD_Home1A",4,91952,-15.25776,93.2802,0.771357
"1883_011_Vis1AD_Home1A",4,92002,-15.99864,97.6875,0.591906
"1883_011_Vis1AD_Home1A",4,92052,-16.73469,102.0513,0.317742
"1883_011_Vis1AD_Home1A",4,92102,-17.46594,106.3716,-0.0511341
"1883_011_Vis1AD_Home1A",4,92152,-18.06735,110.127,0.2191989
"1883_011_Vis1AD_Home1A",4,92202,-18.73398,113.8518,0.206964
"1883_011_Vis1AD_Home1A",4,92252,-19.37997,117.5046,0.1922136
"1883_011_Vis1AD_Home1A",4,92302,-20.00535,121.0857,0.1749474
"1883_011_Vis1AD_Home1A",4,92352,-20.61006,124.5951,0.1551657
"1883_011_Vis1AD_Home1A",4,92402,-21.19413,128.0325,0.1328682
"1883_011_Vis1AD_Home1A",4,92452,-21.75756,131.3979,0.1080549
"1883_011_Vis1AD_Home1A",4,92502,-22.30035,134.6916,0.0807261
"1883_011_Vis1AD_Home1A",4,92552,-22.82247,137.9136,0.0508818
"1883_011_Vis1AD_Home1A",4,92602,-23.32398,141.0636,0.01852137
"1883_011_Vis1AD_Home1A",4,92652,-23.80482,144.1419,-0.01635447
"1883_011_Vis1AD_Home1A",4,92702,-24.26502,147.1482,-0.0537459
"1883_011_Vis1AD_Home1A",4,92752,-24.70458,150.0828,-0.0936531
"1883_011_Vis1AD_Home1A",4,92802,-25.1235,152.9454,-0.1360761
"1883_011_Vis1AD_Home1A",4,94252,-18.3297,152.7657,5.01444
"1883_011_Vis1AD_Home1A",4,94302,-14.56569,148.3395,5.60172
"1883_011_Vis1AD_Home1A",4,94352,-10.84494,143.9412,6.11895
"1883_011_Vis1AD_Home1A",4,94402,-7.16751,139.5711,6.56622
"1883_011_Vis1AD_Home1A",4,94452,-3.53337,135.2286,6.94344
"1883_011_Vis1AD_Home1A",4,94502,0.0574776,130.9143,7.25067
"1883_011_Vis1AD_Home1A",4,94552,3.60504,126.6276,7.48791
"1883_011_Vis1AD_Home1A",4,94602,7.10934,122.3691,7.65513
"1883_011_Vis1AD_Home1A",4,94652,10.57032,118.1385,7.75236
"1883_011_Vis1AD_Home1A",4,94702,13.98801,113.9358,7.77957
"1883_011_Vis1AD_Home1A",4,94752,17.36241,109.761,7.73679
"1883_011_Vis1AD_Home1A",4,94802,20.69352,105.6141,7.62399
"1883_011_Vis1AD_Home1A",4,94852,23.98134,101.4951,7.44117
"1883_011_Vis1AD_Home1A",4,94902,27.22587,97.404,7.18836
"1883_011_Vis1AD_Home1A",4,94952,30.4272,93.3411,6.86556
"1883_011_Vis1AD_Home1A",4,95002,33.585,89.3058,6.47274
"1883_011_Vis1AD_Home1A",4,95052,36.6996,85.2987,6.00993
"1883_011_Vis1AD_Home1A",4,95102,39.771,81.3195,5.4771
