"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1883_024_Vis1AG_Home1A",1,27765,-0.735951,53.9214,6.12075
"1883_024_Vis1AG_Home1A",1,27815,-0.840654,47.3844,6.13176
"1883_024_Vis1AG_Home1A",1,27865,-0.960036,40.938,6.09519
"1883_024_Vis1AG_Home1A",1,27915,-1.094094,34.5819,6.01107
"1883_024_Vis1AG_Home1A",1,27965,-1.242831,28.31625,5.87937
"1883_024_Vis1AG_Home1A",1,28015,-1.406244,22.14117,5.70012
"1883_024_Vis1AG_Home1A",1,28065,-1.584333,16.05657,5.47332
"1883_024_Vis1AG_Home1A",1,28115,-1.777101,10.06245,5.19894
"1883_024_Vis1AG_Home1A",1,28165,-1.984545,4.15881,4.87701
"1883_024_Vis1AG_Home1A",1,28215,-2.206671,-1.654392,4.5075
"1883_024_Vis1AG_Home1A",1,28265,-2.44347,-7.37709,4.09044
"1883_024_Vis1AG_Home1A",2,40115,-0.391224,54.6231,5.87355
"1883_024_Vis1AG_Home1A",2,40165,-0.449991,48.1629,5.76792
"1883_024_Vis1AG_Home1A",2,40215,-0.528804,41.7633,5.61414
"1883_024_Vis1AG_Home1A",2,40265,-0.627663,35.4246,5.41221
"1883_024_Vis1AG_Home1A",2,40315,-0.746565,29.14653,5.16213
"1883_024_Vis1AG_Home1A",2,40365,-0.885513,22.92921,4.8639
"1883_024_Vis1AG_Home1A",2,40415,-1.044507,16.77264,4.51755
"1883_024_Vis1AG_Home1A",2,40465,-1.223547,10.67676,4.12302
"1883_024_Vis1AG_Home1A",2,40515,-1.422633,4.64163,3.68034
"1883_024_Vis1AG_Home1A",2,40565,-1.641762,-1.332774,3.18954
"1883_024_Vis1AG_Home1A",2,40615,-1.880934,-7.24644,2.650569
"1883_024_Vis1AG_Home1A",3,52515,-0.509289,55.71,5.87778
"1883_024_Vis1AG_Home1A",3,52565,-0.508542,49.2498,5.79615
"1883_024_Vis1AG_Home1A",3,52615,-0.535161,42.8571,5.65479
"1883_024_Vis1AG_Home1A",3,52665,-0.589143,36.5325,5.45379
"1883_024_Vis1AG_Home1A",3,52715,-0.670491,30.2757,5.19309
"1883_024_Vis1AG_Home1A",3,52765,-0.779205,24.08679,4.87269
"1883_024_Vis1AG_Home1A",3,52815,-0.915282,17.96568,4.49262
"1883_024_Vis1AG_Home1A",3,52865,-1.078728,11.91243,4.05288
"1883_024_Vis1AG_Home1A",3,52915,-1.269534,5.92701,3.55344
"1883_024_Vis1AG_Home1A",3,52965,-1.487709,0.00939429,2.994306
"1883_024_Vis1AG_Home1A",3,53015,-1.733247,-5.84034,2.375502
"1883_024_Vis1AG_Home1A",4,65065,-0.680694,55.2645,5.86341
"1883_024_Vis1AG_Home1A",4,65115,-0.533445,48.7365,5.66019
"1883_024_Vis1AG_Home1A",4,65165,-0.413715,42.2961,5.39328
"1883_024_Vis1AG_Home1A",4,65215,-0.321501,35.9436,5.06274
"1883_024_Vis1AG_Home1A",4,65265,-0.2568096,29.67903,4.66851
"1883_024_Vis1AG_Home1A",4,65315,-0.2196366,23.50218,4.21065
"1883_024_Vis1AG_Home1A",4,65365,-0.2099826,17.41311,3.68913
"1883_024_Vis1AG_Home1A",4,65415,-0.2278476,11.41188,3.10395
"1883_024_Vis1AG_Home1A",4,65465,-0.2732322,5.49843,2.455095
"1883_024_Vis1AG_Home1A",4,65515,-0.346134,-0.327207,1.742592
"1883_024_Vis1AG_Home1A",4,65565,-0.446559,-6.06504,0.966435
"1883_024_Vis1AG_Home1A",5,77915,-0.383007,52.4943,5.91054
"1883_024_Vis1AG_Home1A",5,77965,-0.373443,45.9354,5.74104
"1883_024_Vis1AG_Home1A",5,78015,-0.381171,39.4494,5.52669
"1883_024_Vis1AG_Home1A",5,78065,-0.406185,33.0363,5.26752
"1883_024_Vis1AG_Home1A",5,78115,-0.448491,26.69598,4.96347
"1883_024_Vis1AG_Home1A",5,78165,-0.508086,20.42862,4.6146
"1883_024_Vis1AG_Home1A",5,78215,-0.58497,14.23407,4.22088
"1883_024_Vis1AG_Home1A",5,78265,-0.679143,8.11242,3.78231
"1883_024_Vis1AG_Home1A",5,78315,-0.790608,2.063667,3.29889
"1883_024_Vis1AG_Home1A",5,78365,-0.919359,-3.91224,2.770626
"1883_024_Vis1AG_Home1A",6,107915,-0.500583,55.5741,6.13074
"1883_024_Vis1AG_Home1A",6,107965,-0.451002,49.188,5.89233
"1883_024_Vis1AG_Home1A",6,108015,-0.410688,42.8499,5.61552
"1883_024_Vis1AG_Home1A",6,108065,-0.379644,36.5595,5.30028
"1883_024_Vis1AG_Home1A",6,108115,-0.35787,30.3174,4.94664
"1883_024_Vis1AG_Home1A",6,108165,-0.34536,24.12342,4.55454
"1883_024_Vis1AG_Home1A",6,108215,-0.342123,17.97729,4.12404
"1883_024_Vis1AG_Home1A",6,108265,-0.34815,11.87922,3.65511
"1883_024_Vis1AG_Home1A",6,108315,-0.363447,5.82912,3.14778
"1883_024_Vis1AG_Home1A",6,108365,-0.388014,-0.1729377,2.602014
"1883_024_Vis1AG_Home1A",6,108415,-0.421848,-6.12699,2.017824
"1883_024_Vis1AG_Home1A",7,125665,-0.261471,55.8117,5.72157
"1883_024_Vis1AG_Home1A",7,125715,-0.171243,49.089,5.5779
"1883_024_Vis1AG_Home1A",7,125765,-0.0812154,42.48,5.35344
"1883_024_Vis1AG_Home1A",7,125815,0.00861222,35.9847,5.04822
"1883_024_Vis1AG_Home1A",7,125865,0.0982401,29.60301,4.66224
"1883_024_Vis1AG_Home1A",7,125915,0.1876677,23.33505,4.19547
"1883_024_Vis1AG_Home1A",7,125965,0.2768961,17.18073,3.64794
"1883_024_Vis1AG_Home1A",7,126015,0.365925,11.14008,3.01965
"1883_024_Vis1AG_Home1A",7,126065,0.454752,5.21313,2.310567
"1883_024_Vis1AG_Home1A",7,126115,0.543381,-0.600135,1.520727
"1883_024_Vis1AG_Home1A",8,146415,-0.01674576,57.1158,6.35016
"1883_024_Vis1AG_Home1A",8,146465,5.9295,57.7416,6.38571
"1883_024_Vis1AG_Home1A",8,146515,11.81256,58.3263,6.36303
"1883_024_Vis1AG_Home1A",8,146565,17.63244,58.8702,6.28212
"1883_024_Vis1AG_Home1A",8,146615,23.3892,59.373,6.14298
"1883_024_Vis1AG_Home1A",8,146665,29.08281,59.8353,5.94561
"1883_024_Vis1AG_Home1A",8,146715,34.7133,60.2568,5.69004
"1883_024_Vis1AG_Home1A",8,146765,40.2807,60.6375,5.37621
"1883_024_Vis1AG_Home1A",8,146815,45.7848,60.9771,5.00415
"1883_024_Vis1AG_Home1A",8,146865,51.2256,61.2762,4.57389
"1883_024_Vis1AG_Home1A",8,146915,56.6037,61.5342,4.08537
"1883_024_Vis1AG_Home1A",8,146965,61.9182,61.7517,3.53865
"1883_024_Vis1AG_Home1A",8,147015,67.1697,61.9281,2.933688
"1883_024_Vis1AG_Home1A",9,166715,-0.782904,51.8556,6.26811
"1883_024_Vis1AG_Home1A",9,166765,-0.758541,45.8853,6.09885
"1883_024_Vis1AG_Home1A",9,166815,-0.733854,39.9645,5.90085
"1883_024_Vis1AG_Home1A",9,166865,-0.708849,34.0935,5.67411
"1883_024_Vis1AG_Home1A",9,166915,-0.68352,28.27227,5.41869
"1883_024_Vis1AG_Home1A",9,166965,-0.657873,22.50057,5.1345
"1883_024_Vis1AG_Home1A",9,167015,-0.631902,16.77858,4.82163
"1883_024_Vis1AG_Home1A",9,167065,-0.605613,11.10624,4.48002
"1883_024_Vis1AG_Home1A",9,167115,-0.579,5.48358,4.10967
"1883_024_Vis1AG_Home1A",9,167165,-0.552066,-0.0894315,3.71064
"1883_024_Vis1AG_Home1A",9,167215,-0.524811,-5.61282,3.28284
"1883_024_Vis1AG_Home1A",10,198215,1.120935,56.8779,6.29688
"1883_024_Vis1AG_Home1A",10,198265,6.70683,57.8283,6.09294
"1883_024_Vis1AG_Home1A",10,198315,12.2613,58.7526,5.83158
"1883_024_Vis1AG_Home1A",10,198365,17.78436,59.6508,5.5128
"1883_024_Vis1AG_Home1A",10,198415,23.27598,60.5232,5.13654
"1883_024_Vis1AG_Home1A",10,198465,28.73619,61.3695,4.70286
"1883_024_Vis1AG_Home1A",10,198515,34.1649,62.1897,4.21173
"1883_024_Vis1AG_Home1A",10,198565,39.5622,62.9841,3.66315
"1883_024_Vis1AG_Home1A",10,198615,44.9283,63.7524,3.05712
"1883_024_Vis1AG_Home1A",10,198665,50.2626,64.4946,2.393673
"1883_024_Vis1AG_Home1A",10,198715,55.5657,65.211,1.672767
"1883_024_Vis1AG_Home1A",10,198765,60.8373,65.9013,0.894423
"1883_024_Vis1AG_Home1A",10,198815,66.0774,66.5655,0.058638
