"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1883_031_Vis1AH_Home1A",1,42878,-0.662733,53.9697,5.18085
"1883_031_Vis1AH_Home1A",1,42911,-0.47994,49.4496,4.91337
"1883_031_Vis1AH_Home1A",1,42944,-0.313659,44.9769,4.62234
"1883_031_Vis1AH_Home1A",1,42977,-0.1638879,40.5513,4.30773
"1883_031_Vis1AH_Home1A",1,43010,-0.0306306,36.1731,3.96954
"1883_031_Vis1AH_Home1A",1,43043,0.0861144,31.8417,3.6078
"1883_031_Vis1AH_Home1A",1,43076,0.1863468,27.55776,3.22245
"1883_031_Vis1AH_Home1A",1,43109,0.2700666,23.32086,2.81355
"1883_031_Vis1AH_Home1A",1,43142,0.337275,19.13118,2.381064
"1883_031_Vis1AH_Home1A",1,43175,0.387969,14.98863,1.925004
"1883_031_Vis1AH_Home1A",1,43208,0.422151,10.8933,1.445367
"1883_031_Vis1AH_Home1A",1,43241,0.439821,6.8451,0.942156
"1883_031_Vis1AH_Home1A",1,43274,0.440979,2.844108,0.415371
"1883_031_Vis1AH_Home1A",1,43307,0.425625,-1.109724,-0.1349916
"1883_031_Vis1AH_Home1A",1,43340,0.393759,-5.01639,-0.70893
"1883_031_Vis1AH_Home1A",2,57266,-0.826314,54.0477,5.31777
"1883_031_Vis1AH_Home1A",2,57299,-0.641163,49.5672,5.18436
"1883_031_Vis1AH_Home1A",2,57332,-0.469602,45.1317,5.03373
"1883_031_Vis1AH_Home1A",2,57365,-0.311637,40.7415,4.86591
"1883_031_Vis1AH_Home1A",2,57398,-0.1672605,36.3966,4.68087
"1883_031_Vis1AH_Home1A",2,57431,-0.0364773,32.097,4.47864
"1883_031_Vis1AH_Home1A",2,57464,0.0807135,27.84264,4.25919
"1883_031_Vis1AH_Home1A",2,57497,0.1843125,23.63343,4.02255
"1883_031_Vis1AH_Home1A",2,57530,0.2743194,19.46946,3.76869
"1883_031_Vis1AH_Home1A",2,57563,0.350733,15.3507,3.49764
"1883_031_Vis1AH_Home1A",2,57596,0.413556,11.27721,3.20937
"1883_031_Vis1AH_Home1A",2,57629,0.462786,7.24893,2.903922
"1883_031_Vis1AH_Home1A",2,57662,0.498426,3.26589,2.58126
"1883_031_Vis1AH_Home1A",3,73007,-1.167126,54.744,5.02473
"1883_031_Vis1AH_Home1A",3,73040,-1.004082,50.571,4.97109
"1883_031_Vis1AH_Home1A",3,73073,-0.854322,46.4316,4.88628
"1883_031_Vis1AH_Home1A",3,73106,-0.717846,42.3264,4.77027
"1883_031_Vis1AH_Home1A",3,73139,-0.594654,38.2545,4.62309
"1883_031_Vis1AH_Home1A",3,73172,-0.484746,34.2165,4.44474
"1883_031_Vis1AH_Home1A",3,73205,-0.388125,30.2124,4.23519
"1883_031_Vis1AH_Home1A",3,73238,-0.304788,26.24187,3.99447
"1883_031_Vis1AH_Home1A",3,73271,-0.2347335,22.30515,3.72258
"1883_031_Vis1AH_Home1A",3,73304,-0.1779645,18.40218,3.41952
"1883_031_Vis1AH_Home1A",3,73337,-0.1344801,14.53293,3.08526
"1883_031_Vis1AH_Home1A",3,73370,-0.1042803,10.69746,2.719836
"1883_031_Vis1AH_Home1A",3,73403,-0.0873648,6.89568,2.323224
"1883_031_Vis1AH_Home1A",3,73436,-0.0837339,3.12768,1.895436
"1883_031_Vis1AH_Home1A",4,89342,-1.127592,53.5221,5.15571
"1883_031_Vis1AH_Home1A",4,89375,-0.968325,49.3242,5.00046
"1883_031_Vis1AH_Home1A",4,89408,-0.836142,45.1548,4.82094
"1883_031_Vis1AH_Home1A",4,89441,-0.731037,41.0136,4.61718
"1883_031_Vis1AH_Home1A",4,89474,-0.653016,36.9006,4.38915
"1883_031_Vis1AH_Home1A",4,89507,-0.602076,32.8161,4.13688
"1883_031_Vis1AH_Home1A",4,89540,-0.57822,28.7598,3.86037
"1883_031_Vis1AH_Home1A",4,89573,-0.581442,24.73185,3.55959
"1883_031_Vis1AH_Home1A",4,89606,-0.611748,20.73219,3.23457
"1883_031_Vis1AH_Home1A",4,89639,-0.669135,16.76082,2.885277
"1883_031_Vis1AH_Home1A",4,89672,-0.753603,12.8178,2.511747
"1883_031_Vis1AH_Home1A",4,89705,-0.865152,8.90304,2.113965
"1883_031_Vis1AH_Home1A",4,89738,-1.003782,5.0166,1.691928
"1883_031_Vis1AH_Home1A",4,89771,-1.169496,1.15848,1.245642
"1883_031_Vis1AH_Home1A",5,108053,-0.98211,56.0541,5.16546
"1883_031_Vis1AH_Home1A",5,108086,-0.963477,51.9918,5.16894
"1883_031_Vis1AH_Home1A",5,108119,-0.938235,47.9607,5.1342
"1883_031_Vis1AH_Home1A",5,108152,-0.906384,43.9611,5.06124
"1883_031_Vis1AH_Home1A",5,108185,-0.867924,39.9927,4.95003
"1883_031_Vis1AH_Home1A",5,108218,-0.822852,36.0555,4.8006
"1883_031_Vis1AH_Home1A",5,108251,-0.771171,32.1498,4.61292
