"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1883_046_Vis2AE_Home2A",1,11745,-2.616504,53.9244,5.80851
"1883_046_Vis2AE_Home2A",1,11778,-2.42571,49.5453,5.72328
"1883_046_Vis2AE_Home2A",1,11811,-2.248506,45.2007,5.61114
"1883_046_Vis2AE_Home2A",1,11844,-2.084889,40.8903,5.47212
"1883_046_Vis2AE_Home2A",1,11877,-1.934865,36.6141,5.30622
"1883_046_Vis2AE_Home2A",1,11910,-1.798431,32.3721,5.11344
"1883_046_Vis2AE_Home2A",1,11943,-1.675587,28.16457,4.89378
"1883_046_Vis2AE_Home2A",1,11976,-1.56633,23.9913,4.64721
"1883_046_Vis2AE_Home2A",1,12009,-1.470666,19.85229,4.37376
"1883_046_Vis2AE_Home2A",1,12042,-1.388592,15.74757,4.07343
"1883_046_Vis2AE_Home2A",1,12075,-1.320105,11.67717,3.74619
"1883_046_Vis2AE_Home2A",1,12108,-1.265211,7.64106,3.3921
"1883_046_Vis2AE_Home2A",1,12141,-1.223904,3.63921,3.0111
"1883_046_Vis2AE_Home2A",1,12174,-1.196187,-0.328323,2.603211
"1883_046_Vis2AE_Home2A",1,12207,-1.182063,-4.26156,2.168442
"1883_046_Vis2AE_Home2A",2,23988,-2.731548,55.5471,5.91027
"1883_046_Vis2AE_Home2A",2,24021,-2.421621,51.1266,5.81499
"1883_046_Vis2AE_Home2A",2,24054,-2.132259,46.7412,5.69472
"1883_046_Vis2AE_Home2A",2,24087,-1.863462,42.3909,5.5494
"1883_046_Vis2AE_Home2A",2,24120,-1.615224,38.076,5.37906
"1883_046_Vis2AE_Home2A",2,24153,-1.387554,33.7959,5.18367
"1883_046_Vis2AE_Home2A",2,24186,-1.180449,29.55126,4.96329
"1883_046_Vis2AE_Home2A",2,24219,-0.993906,25.34166,4.71786
"1883_046_Vis2AE_Home2A",2,24252,-0.827928,21.16725,4.44741
"1883_046_Vis2AE_Home2A",2,24285,-0.682512,17.028,4.15194
"1883_046_Vis2AE_Home2A",2,24318,-0.557664,12.92388,3.83142
"1883_046_Vis2AE_Home2A",2,24351,-0.453375,8.85495,3.48588
"1883_046_Vis2AE_Home2A",2,24384,-0.369654,4.82115,3.11532
"1883_046_Vis2AE_Home2A",2,24417,-0.306495,0.822537,2.719725
"1883_046_Vis2AE_Home2A",2,24450,0.562839,8.24679,4.33281
"1883_046_Vis2AE_Home2A",2,24483,1.036194,12.52827,5.21847
"1883_046_Vis2AE_Home2A",2,24516,1.509315,16.78821,6.07575
"1883_046_Vis2AE_Home2A",2,24549,1.982196,21.02661,6.90465
"1883_046_Vis2AE_Home2A",2,24582,2.454843,25.24347,7.7052
"1883_046_Vis2AE_Home2A",2,24615,2.927253,29.43879,8.47737
"1883_046_Vis2AE_Home2A",2,24648,3.39942,33.6126,9.22119
"1883_046_Vis2AE_Home2A",2,24681,3.87138,37.7649,9.93663
