"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1883_047.5_Vis2AE_Home2A",1,7691,-1.485987,53.0373,5.50353
"1883_047.5_Vis2AE_Home2A",1,7741,-1.297461,46.6278,5.26785
"1883_047.5_Vis2AE_Home2A",1,7791,-1.099563,40.2438,4.94925
"1883_047.5_Vis2AE_Home2A",1,7841,-0.89229,33.8853,4.54776
"1883_047.5_Vis2AE_Home2A",1,7891,-0.675645,27.55239,4.06335
"1883_047.5_Vis2AE_Home2A",1,7941,-0.449628,21.24492,3.49608
"1883_047.5_Vis2AE_Home2A",1,7991,-0.2142399,14.96298,2.845902
"1883_047.5_Vis2AE_Home2A",1,8041,0.0305232,8.70651,2.112822
"1883_047.5_Vis2AE_Home2A",1,8091,0.2846577,2.475558,1.296849
"1883_047.5_Vis2AE_Home2A",1,8141,0.548166,-3.72987,0.397983
"1883_047.5_Vis2AE_Home2A",2,19591,-1.699542,52.1658,5.77023
"1883_047.5_Vis2AE_Home2A",2,19641,-1.553448,45.5394,5.40312
"1883_047.5_Vis2AE_Home2A",2,19691,-1.417473,38.9865,4.98999
"1883_047.5_Vis2AE_Home2A",2,19741,-1.29162,32.5071,4.53081
"1883_047.5_Vis2AE_Home2A",2,19791,-1.175889,26.10111,4.02561
"1883_047.5_Vis2AE_Home2A",2,19841,-1.07028,19.76886,3.47436
"1883_047.5_Vis2AE_Home2A",2,19891,-0.974793,13.51023,2.877075
"1883_047.5_Vis2AE_Home2A",2,19941,-0.889425,7.32516,2.233764
"1883_047.5_Vis2AE_Home2A",2,19991,-0.814182,1.213674,1.544415
"1883_047.5_Vis2AE_Home2A",2,20041,-0.749058,-4.82424,0.809031
"1883_047.5_Vis2AE_Home2A",3,32541,-1.729299,55.7499,5.7705
"1883_047.5_Vis2AE_Home2A",3,32591,-1.358988,49.3368,5.58009
"1883_047.5_Vis2AE_Home2A",3,32641,-1.022316,43.02,5.32554
"1883_047.5_Vis2AE_Home2A",3,32691,-0.719283,36.7995,5.00694
