"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1884_017.5_Vis1AL_Home1A",1,32271,-1.013922,53.3274,6.61425
"1884_017.5_Vis1AL_Home1A",1,32304,-0.85353,48.9642,6.3717
"1884_017.5_Vis1AL_Home1A",1,32337,-0.705339,44.6235,6.11967
"1884_017.5_Vis1AL_Home1A",1,32370,-0.569355,40.3056,5.85816
"1884_017.5_Vis1AL_Home1A",1,32403,-0.445578,36.0102,5.58714
"1884_017.5_Vis1AL_Home1A",1,32436,-0.334002,31.7379,5.30661
"1884_017.5_Vis1AL_Home1A",1,32469,-0.2346312,27.48807,5.0166
"1884_017.5_Vis1AL_Home1A",1,32502,-0.1474659,23.2611,4.71711
"1884_017.5_Vis1AL_Home1A",1,32535,-0.0725055,19.05681,4.40811
"1884_017.5_Vis1AL_Home1A",1,32568,-0.00974982,14.87529,4.08963
"1884_017.5_Vis1AL_Home1A",1,32601,0.0408012,10.71648,3.76164
"1884_017.5_Vis1AL_Home1A",1,32634,0.0791472,6.58044,3.42417
"1884_017.5_Vis1AL_Home1A",1,32667,0.1052886,2.467098,3.07719
"1884_017.5_Vis1AL_Home1A",1,32700,0.1192254,-1.623501,2.720736
"1884_017.5_Vis1AL_Home1A",1,32733,0.1209573,-5.69136,2.354778
"1884_017.5_Vis1AL_Home1A",2,45141,-1.531758,52.9581,6.5316
"1884_017.5_Vis1AL_Home1A",2,45174,-1.275675,48.9321,6.29526
"1884_017.5_Vis1AL_Home1A",2,45207,-1.04208,44.9259,6.04473
"1884_017.5_Vis1AL_Home1A",2,45240,-0.830976,40.9392,5.78007
"1884_017.5_Vis1AL_Home1A",2,45273,-0.642357,36.972,5.50122
"1884_017.5_Vis1AL_Home1A",2,45306,-0.476229,33.0246,5.20821
"1884_017.5_Vis1AL_Home1A",2,45339,-0.332586,29.09658,4.90104
"1884_017.5_Vis1AL_Home1A",2,45372,-0.2114334,25.18818,4.57968
"1884_017.5_Vis1AL_Home1A",2,45405,-0.1127682,21.29934,4.24419
"1884_017.5_Vis1AL_Home1A",2,45438,-0.036591,17.43006,3.89451
"1884_017.5_Vis1AL_Home1A",2,45471,0.01709796,13.58037,3.53067
"1884_017.5_Vis1AL_Home1A",2,45504,0.0482988,9.75024,3.15267
"1884_017.5_Vis1AL_Home1A",2,45537,0.0570117,5.9397,2.760498
"1884_017.5_Vis1AL_Home1A",2,45570,0.0432366,2.148705,2.354163
"1884_017.5_Vis1AL_Home1A",3,64743,-1.1292,57.0255,6.77037
"1884_017.5_Vis1AL_Home1A",3,64776,-0.933966,52.467,6.62871
"1884_017.5_Vis1AL_Home1A",3,64809,-0.755106,47.9436,6.47652
"1884_017.5_Vis1AL_Home1A",3,64842,-0.59262,43.455,6.3138
"1884_017.5_Vis1AL_Home1A",3,64875,-0.446511,39.0012,6.14055
"1884_017.5_Vis1AL_Home1A",3,64908,-0.316776,34.5822,5.95677
"1884_017.5_Vis1AL_Home1A",3,64941,-0.2034162,30.198,5.76246
"1884_017.5_Vis1AL_Home1A",3,64974,-0.106431,25.84875,5.55762
"1884_017.5_Vis1AL_Home1A",3,65007,-0.02582058,21.5343,5.34225
"1884_017.5_Vis1AL_Home1A",3,65040,0.038415,17.25468,5.11638
"1884_017.5_Vis1AL_Home1A",3,65073,0.0862755,13.00989,4.87995
"1884_017.5_Vis1AL_Home1A",3,65106,0.1177614,8.79993,4.63299
"1884_017.5_Vis1AL_Home1A",3,65139,0.1328724,4.62483,4.37553
"1884_017.5_Vis1AL_Home1A",3,65172,0.1316088,0.484572,4.10751
"1884_017.5_Vis1AL_Home1A",3,65205,0.11397,-3.62085,3.82896
"1884_017.5_Vis1AL_Home1A",4,77217,-1.518351,56.8581,6.47853
"1884_017.5_Vis1AL_Home1A",4,77250,-1.356183,52.698,6.32703
"1884_017.5_Vis1AL_Home1A",4,77283,-1.206159,48.5685,6.1554
"1884_017.5_Vis1AL_Home1A",4,77316,-1.068279,44.4699,5.96367
"1884_017.5_Vis1AL_Home1A",4,77349,-0.942546,40.4016,5.75184
"1884_017.5_Vis1AL_Home1A",4,77382,-0.828957,36.3642,5.51988
"1884_017.5_Vis1AL_Home1A",4,77415,-0.727509,32.3571,5.26779
"1884_017.5_Vis1AL_Home1A",4,77448,-0.638211,28.38087,4.9956
"1884_017.5_Vis1AL_Home1A",4,77481,-0.561054,24.43524,4.70331
"1884_017.5_Vis1AL_Home1A",4,77514,-0.496041,20.52021,4.39089
"1884_017.5_Vis1AL_Home1A",4,77547,-0.443175,16.63581,4.05834
"1884_017.5_Vis1AL_Home1A",4,77580,-0.402453,12.78207,3.70572
"1884_017.5_Vis1AL_Home1A",4,77613,-0.373875,8.95893,3.33294
"1884_017.5_Vis1AL_Home1A",4,77646,-0.357441,5.16642,2.940081
"1884_017.5_Vis1AL_Home1A",4,77679,-0.353154,1.404543,2.527095
"1884_017.5_Vis1AL_Home1A",4,77712,-0.361008,-2.326704,2.093997
"1884_017.5_Vis1AL_Home1A",5,114771,-1.223382,56.1153,6.64023
"1884_017.5_Vis1AL_Home1A",5,114804,-1.054884,51.6249,6.55878
"1884_017.5_Vis1AL_Home1A",5,114837,-0.898953,47.1696,6.46701
"1884_017.5_Vis1AL_Home1A",5,114870,-0.755592,42.7494,6.36495
"1884_017.5_Vis1AL_Home1A",5,114903,-0.624801,38.3646,6.2526
"1884_017.5_Vis1AL_Home1A",5,114936,-0.506574,34.0152,6.12993
"1884_017.5_Vis1AL_Home1A",5,114969,-0.40092,29.70078,5.99694
"1884_017.5_Vis1AL_Home1A",5,115002,-0.307833,25.4217,5.85366
"1884_017.5_Vis1AL_Home1A",5,115035,-0.2273148,21.1779,5.70009
"1884_017.5_Vis1AL_Home1A",5,115068,-0.1593654,16.96932,5.5362
"1884_017.5_Vis1AL_Home1A",5,115101,-0.1039845,12.79602,5.36199
"1884_017.5_Vis1AL_Home1A",5,115134,-0.0611721,8.65794,5.17749
"1884_017.5_Vis1AL_Home1A",5,115167,-0.0309285,4.55511,4.9827
"1884_017.5_Vis1AL_Home1A",5,115200,-0.01325349,0.487521,4.77759
