"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1884_074_Vis1AU_Home1A",1,1054,-0.2695503,53.3511,5.97552
"1884_074_Vis1AU_Home1A",1,1104,-0.1667277,46.6398,5.62464
"1884_074_Vis1AU_Home1A",1,1154,-0.0826119,39.9924,5.24313
"1884_074_Vis1AU_Home1A",1,1204,-0.01720221,33.4089,4.83105
"1884_074_Vis1AU_Home1A",1,1254,0.02950158,26.88915,4.38837
"1884_074_Vis1AU_Home1A",1,1304,0.0574992,20.43315,3.91509
"1884_074_Vis1AU_Home1A",1,1354,0.0667911,14.04096,3.41121
"1884_074_Vis1AU_Home1A",1,1404,0.0573768,7.71261,2.876715
"1884_074_Vis1AU_Home1A",1,1454,0.02925642,1.448064,2.311632
"1884_074_Vis1AU_Home1A",1,1504,1.062678,8.02662,4.58166
"1884_074_Vis1AU_Home1A",1,1554,2.472927,13.51812,7.42581
"1884_074_Vis1AU_Home1A",1,1604,3.88491,18.96312,10.19709
"1884_074_Vis1AU_Home1A",1,1654,5.29863,24.36156,12.89556
"1884_074_Vis1AU_Home1A",1,1704,6.71409,29.71347,15.52119
"1884_074_Vis1AU_Home1A",1,1754,8.13129,35.019,18.07398
"1884_074_Vis1AU_Home1A",1,1804,9.55023,40.2777,20.55393
"1884_074_Vis1AU_Home1A",1,1854,10.97091,45.4902,22.96104
"1884_074_Vis1AU_Home1A",1,1904,12.39333,50.6559,25.29534
"1884_074_Vis1AU_Home1A",1,1954,13.81746,55.7751,27.55677
"1884_074_Vis1AU_Home1A",1,2004,15.24333,60.8481,29.74536
"1884_074_Vis1AU_Home1A",1,2054,16.67094,65.8743,31.8612
"1884_074_Vis1AU_Home1A",1,2104,18.10032,70.854,33.9042
"1884_074_Vis1AU_Home1A",1,2154,19.53141,75.7872,35.8743
"1884_074_Vis1AU_Home1A",1,2204,20.96424,80.6739,37.7715
"1884_074_Vis1AU_Home1A",1,2254,22.39878,85.5141,39.5958
"1884_074_Vis1AU_Home1A",1,2304,23.83509,90.3075,41.3475
"1884_074_Vis1AU_Home1A",1,2354,25.27314,95.0547,43.0263
"1884_074_Vis1AU_Home1A",1,2404,26.7129,99.7554,44.6322
"1884_074_Vis1AU_Home1A",1,2454,28.1544,104.4093,46.1652
"1884_074_Vis1AU_Home1A",1,2504,29.59764,109.0167,47.6253
"1884_074_Vis1AU_Home1A",1,2554,31.0425,113.5779,49.0128
"1884_074_Vis1AU_Home1A",1,2604,32.4894,118.0923,50.3274
"1884_074_Vis1AU_Home1A",1,2654,33.9378,122.5602,51.5691
"1884_074_Vis1AU_Home1A",1,2704,35.388,126.9816,52.7379
"1884_074_Vis1AU_Home1A",1,2754,36.84,131.3565,53.8341
"1884_074_Vis1AU_Home1A",1,2804,38.2935,135.6849,54.8574
"1884_074_Vis1AU_Home1A",1,2854,39.7491,139.9668,55.8078
"1884_074_Vis1AU_Home1A",1,2904,41.2062,144.2022,56.6853
"1884_074_Vis1AU_Home1A",1,2954,42.6651,148.3908,57.4899
"1884_074_Vis1AU_Home1A",1,3004,44.1255,152.5332,58.2219
"1884_074_Vis1AU_Home1A",1,3054,45.588,156.6288,58.881
"1884_074_Vis1AU_Home1A",1,3104,47.052,160.6782,59.4672
"1884_074_Vis1AU_Home1A",1,3154,48.5178,164.6808,59.9805
"1884_074_Vis1AU_Home1A",1,3204,49.9854,168.6369,60.4209
"1884_074_Vis1AU_Home1A",1,3254,51.4548,172.5465,60.7887
"1884_074_Vis1AU_Home1A",1,3304,52.9257,176.4096,61.0836
"1884_074_Vis1AU_Home1A",1,3354,54.3984,180.2262,61.3056
"1884_074_Vis1AU_Home1A",1,3404,55.8729,183.9963,61.4547
"1884_074_Vis1AU_Home1A",1,3454,57.3492,187.7199,61.5312
"1884_074_Vis1AU_Home1A",1,3504,58.8273,191.397,61.5345
"1884_074_Vis1AU_Home1A",1,3554,60.3069,195.0273,61.4652
"1884_074_Vis1AU_Home1A",1,3604,61.7883,198.6114,61.323
"1884_074_Vis1AU_Home1A",1,3654,63.2715,202.149,61.1082
"1884_074_Vis1AU_Home1A",1,3704,64.7565,205.6398,60.8202
"1884_074_Vis1AU_Home1A",1,3754,66.2433,209.0841,60.4596
"1884_074_Vis1AU_Home1A",1,3804,67.7316,212.4819,60.0261
"1884_074_Vis1AU_Home1A",1,3854,69.2217,215.8335,59.5197
"1884_074_Vis1AU_Home1A",1,3904,70.7136,219.1383,58.9407
"1884_074_Vis1AU_Home1A",1,3954,72.2073,222.3966,58.2885
"1884_074_Vis1AU_Home1A",1,4004,73.7025,225.6081,57.5637
"1884_074_Vis1AU_Home1A",1,4054,75.1995,228.7734,56.766
"1884_074_Vis1AU_Home1A",1,4104,76.6983,231.8922,55.8954
"1884_074_Vis1AU_Home1A",1,4154,78.1989,234.9645,54.9522
"1884_074_Vis1AU_Home1A",1,4204,79.7013,237.99,53.9358
"1884_074_Vis1AU_Home1A",1,4254,81.2052,240.9693,52.8468
"1884_074_Vis1AU_Home1A",1,4304,82.7112,243.9018,51.6849
"1884_074_Vis1AU_Home1A",1,4354,84.2187,246.7878,50.4504
"1884_074_Vis1AU_Home1A",1,4404,85.7277,249.6273,49.1427
"1884_074_Vis1AU_Home1A",1,4454,87.2388,252.4206,47.7624
"1884_074_Vis1AU_Home1A",1,4504,88.7514,255.1671,46.3092
"1884_074_Vis1AU_Home1A",1,4554,90.2658,257.8671,44.7831
"1884_074_Vis1AU_Home1A",1,4604,91.782,260.5206,43.1841
"1884_074_Vis1AU_Home1A",1,4654,93.3,263.1273,41.5125
"1884_074_Vis1AU_Home1A",1,4704,94.8198,265.6878,39.768
"1884_074_Vis1AU_Home1A",1,4754,96.3411,268.2018,37.9506
"1884_074_Vis1AU_Home1A",1,4804,97.8642,270.669,36.0603
"1884_074_Vis1AU_Home1A",1,4854,99.3891,273.09,34.0971
"1884_074_Vis1AU_Home1A",1,4904,100.9158,275.4642,32.0613
"1884_074_Vis1AU_Home1A",1,4954,102.444,277.7919,29.95257
"1884_074_Vis1AU_Home1A",1,5004,103.974,280.0731,27.771
