"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1884_043.5_Vis2AK_Home2A",1,36324,1.274601,56.1669,6.28923
"1884_043.5_Vis2AK_Home2A",1,36357,1.110684,51.9555,6.10302
"1884_043.5_Vis2AK_Home2A",1,36390,0.953616,47.7669,5.90139
"1884_043.5_Vis2AK_Home2A",1,36423,0.803391,43.6008,5.68437
"1884_043.5_Vis2AK_Home2A",1,36456,0.660012,39.4572,5.45193
"1884_043.5_Vis2AK_Home2A",1,36489,0.523479,35.3364,5.20407
"1884_043.5_Vis2AK_Home2A",1,36522,0.393792,31.2381,4.94082
"1884_043.5_Vis2AK_Home2A",1,36555,0.2709489,27.16233,4.66215
"1884_043.5_Vis2AK_Home2A",1,36588,0.1549521,23.10924,4.36806
"1884_043.5_Vis2AK_Home2A",1,36621,0.0458007,19.07877,4.05855
"1884_043.5_Vis2AK_Home2A",1,36654,-0.056505,15.07092,3.73365
"1884_043.5_Vis2AK_Home2A",1,36687,-0.1519656,11.08566,3.39333
"1884_043.5_Vis2AK_Home2A",1,36720,-0.2405805,7.12299,3.03762
"1884_043.5_Vis2AK_Home2A",1,36753,-0.32235,3.18294,2.666478
"1884_043.5_Vis2AK_Home2A",1,36786,-0.397275,-0.734505,2.279931
"1884_043.5_Vis2AK_Home2A",2,52329,1.10307,53.9202,6.05241
"1884_043.5_Vis2AK_Home2A",2,52362,1.002768,49.5966,5.79327
"1884_043.5_Vis2AK_Home2A",2,52395,0.903453,45.3,5.51646
"1884_043.5_Vis2AK_Home2A",2,52428,0.805119,41.0307,5.22198
"1884_043.5_Vis2AK_Home2A",2,52461,0.707769,36.7881,4.90989
"1884_043.5_Vis2AK_Home2A",2,52494,0.611403,32.5728,4.58013
"1884_043.5_Vis2AK_Home2A",2,52527,0.516021,28.38423,4.23273
"1884_043.5_Vis2AK_Home2A",2,52560,0.421623,24.22278,3.86769
"1884_043.5_Vis2AK_Home2A",2,52593,0.328209,20.08833,3.48498
"1884_043.5_Vis2AK_Home2A",2,52626,0.2357805,15.98088,3.08463
"1884_043.5_Vis2AK_Home2A",2,52659,0.1443348,11.90046,2.666628
"1884_043.5_Vis2AK_Home2A",2,52692,0.0538728,7.84701,2.230983
"1884_043.5_Vis2AK_Home2A",2,52725,-0.0356052,3.82059,1.777686
"1884_043.5_Vis2AK_Home2A",2,52758,-0.1240992,-0.1788405,1.306743
"1884_043.5_Vis2AK_Home2A",2,52791,0.0423561,8.29611,1.970481
"1884_043.5_Vis2AK_Home2A",2,52824,0.1365015,12.26187,2.16432
"1884_043.5_Vis2AK_Home2A",2,52857,0.2376558,16.19472,2.326416
"1884_043.5_Vis2AK_Home2A",2,52890,0.345819,20.09463,2.456769
