"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1884_019_Vis3AI_Home3A",1,52093,1.962339,55.0167,6.06306
"1884_019_Vis3AI_Home3A",1,52143,1.660599,48.3816,5.835
"1884_019_Vis3AI_Home3A",1,52193,1.402602,41.8482,5.55951
"1884_019_Vis3AI_Home3A",1,52243,1.188348,35.4168,5.23668
"1884_019_Vis3AI_Home3A",1,52293,1.017834,29.08707,4.86645
"1884_019_Vis3AI_Home3A",1,52343,0.891063,22.85943,4.44882
"1884_019_Vis3AI_Home3A",1,52393,0.808035,16.7337,3.98382
"1884_019_Vis3AI_Home3A",1,52443,0.76875,10.70985,3.47145
"1884_019_Vis3AI_Home3A",1,52493,0.773205,4.78794,2.911677
"1884_019_Vis3AI_Home3A",1,52543,0.821406,-1.032117,2.304525
"1884_019_Vis3AI_Home3A",2,69143,1.86093,55.9275,6.20196
"1884_019_Vis3AI_Home3A",2,69193,1.651155,49.3296,5.93367
"1884_019_Vis3AI_Home3A",2,69243,1.471014,42.8106,5.62884
"1884_019_Vis3AI_Home3A",2,69293,1.320501,36.3702,5.28747
"1884_019_Vis3AI_Home3A",2,69343,1.199625,30.0084,4.90953
"1884_019_Vis3AI_Home3A",2,69393,1.108377,23.72568,4.49505
"1884_019_Vis3AI_Home3A",2,69443,1.046766,17.52159,4.04403
"1884_019_Vis3AI_Home3A",2,69493,1.014783,11.39625,3.55644
"1884_019_Vis3AI_Home3A",2,69543,1.012434,5.34969,3.03231
"1884_019_Vis3AI_Home3A",2,69593,1.039716,-0.618108,2.471646
"1884_019_Vis3AI_Home3A",3,85793,2.316765,57.5484,6.43695
"1884_019_Vis3AI_Home3A",3,85843,1.995471,51.2922,5.90784
"1884_019_Vis3AI_Home3A",3,85893,1.671081,45.0924,5.32626
"1884_019_Vis3AI_Home3A",3,85943,1.343601,38.9493,4.69221
"1884_019_Vis3AI_Home3A",3,85993,1.013025,32.8629,4.00572
"1884_019_Vis3AI_Home3A",3,86043,0.679356,26.83311,3.26676
"1884_019_Vis3AI_Home3A",3,86093,0.342597,20.86002,2.475372
"1884_019_Vis3AI_Home3A",3,86143,0.002741031,14.9436,1.631517
"1884_019_Vis3AI_Home3A",3,86193,-0.340206,9.08385,0.735207
"1884_019_Vis3AI_Home3A",3,86243,-0.686247,3.28077,-0.2135568
"1884_019_Vis3AI_Home3A",3,86293,-1.035384,-2.465673,-1.214781
"1884_019_Vis3AI_Home3A",4,107393,1.45389,56.1294,6.30672
"1884_019_Vis3AI_Home3A",4,107443,1.265928,49.4091,5.90763
"1884_019_Vis3AI_Home3A",4,107493,1.089615,42.7602,5.46843
"1884_019_Vis3AI_Home3A",4,107543,0.924948,36.1827,4.98915
"1884_019_Vis3AI_Home3A",4,107593,0.771933,29.67615,4.46973
"1884_019_Vis3AI_Home3A",4,107643,0.630567,23.24091,3.91023
"1884_019_Vis3AI_Home3A",4,107693,0.50085,16.87686,3.31062
"1884_019_Vis3AI_Home3A",4,107743,0.382782,10.584,2.670927
"1884_019_Vis3AI_Home3A",4,107793,0.2763642,4.36236,1.991118
"1884_019_Vis3AI_Home3A",5,127393,2.002284,56.4258,6.15876
"1884_019_Vis3AI_Home3A",5,127443,1.898781,50.1495,6.05904
"1884_019_Vis3AI_Home3A",5,127493,1.799538,43.9296,5.89686
"1884_019_Vis3AI_Home3A",5,127543,1.704561,37.7658,5.67228
"1884_019_Vis3AI_Home3A",5,127593,1.613847,31.6581,5.38524
"1884_019_Vis3AI_Home3A",5,127643,1.527393,25.60695,5.03577
"1884_019_Vis3AI_Home3A",5,127693,1.445205,19.61196,4.62387
"1884_019_Vis3AI_Home3A",5,127743,1.367277,13.67322,4.14951
"1884_019_Vis3AI_Home3A",5,127793,1.293615,7.79073,3.61272
"1884_019_Vis3AI_Home3A",5,127843,1.224213,1.964505,3.0135
"1884_019_Vis3AI_Home3A",5,127893,1.159077,-3.80547,2.351853
"1884_019_Vis3AI_Home3A",6,142293,1.364301,51.6567,6.03996
"1884_019_Vis3AI_Home3A",6,142343,1.258413,44.9556,5.55822
"1884_019_Vis3AI_Home3A",6,142393,1.158498,38.3337,5.04594
"1884_019_Vis3AI_Home3A",6,142443,1.064559,31.791,4.50312
"1884_019_Vis3AI_Home3A",6,142493,0.976593,25.32783,3.92976
"1884_019_Vis3AI_Home3A",6,142543,0.894603,18.94386,3.32583
"1884_019_Vis3AI_Home3A",6,142593,0.818589,12.63924,2.69139
