"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1884_109_Vis3AR_Home3A",1,34740,1.242051,54.0693,6.16371
"1884_109_Vis3AR_Home3A",1,34790,1.001742,47.6061,6.04521
"1884_109_Vis3AR_Home3A",1,34840,0.781524,41.2065,5.83536
"1884_109_Vis3AR_Home3A",1,34890,0.581394,34.8705,5.53413
"1884_109_Vis3AR_Home3A",1,34940,0.401355,28.5981,5.14158
"1884_109_Vis3AR_Home3A",1,34990,0.2414016,22.38936,4.65765
"1884_109_Vis3AR_Home3A",1,35040,0.101538,16.24419,4.08234
"1884_109_Vis3AR_Home3A",1,35090,-0.01823646,10.16265,3.41571
"1884_109_Vis3AR_Home3A",1,35140,-0.1179222,4.14477,2.657718
"1884_109_Vis3AR_Home3A",1,35190,-0.1975191,-1.809513,1.808364
"1884_109_Vis3AR_Home3A",1,35240,-0.2570271,-7.70016,0.867657
"1884_109_Vis3AR_Home3A",2,50790,1.047057,55.6941,6.56313
"1884_109_Vis3AR_Home3A",2,50840,0.945429,50.0826,6.45288
"1884_109_Vis3AR_Home3A",2,50890,0.826221,44.5392,6.24423
"1884_109_Vis3AR_Home3A",2,50940,0.68943,39.0639,5.93718
"1884_109_Vis3AR_Home3A",2,50990,0.535056,33.657,5.53176
"1884_109_Vis3AR_Home3A",2,51040,0.363102,28.31838,5.02794
"1884_109_Vis3AR_Home3A",2,51090,0.1735653,23.04795,4.42575
"1884_109_Vis3AR_Home3A",2,51140,-0.0335532,17.8458,3.72516
"1884_109_Vis3AR_Home3A",2,51190,-0.2582535,12.71187,2.926164
"1884_109_Vis3AR_Home3A",2,51240,-0.500535,7.64619,2.028792
"1884_109_Vis3AR_Home3A",2,51290,-0.760401,2.648757,1.033026
"1884_109_Vis3AR_Home3A",2,51340,-1.037847,-2.280411,-0.0611259
"1884_109_Vis3AR_Home3A",3,68190,1.314453,52.6329,6.13344
"1884_109_Vis3AR_Home3A",3,68240,1.129341,46.5147,5.70129
"1884_109_Vis3AR_Home3A",3,68290,0.941673,40.446,5.18892
"1884_109_Vis3AR_Home3A",3,68340,0.751455,34.4274,4.59627
"1884_109_Vis3AR_Home3A",3,68390,0.558687,28.45887,3.92337
"1884_109_Vis3AR_Home3A",3,68440,0.363366,22.54008,3.17019
"1884_109_Vis3AR_Home3A",3,68490,0.1654926,16.67121,2.336778
"1884_109_Vis3AR_Home3A",3,68540,-0.034932,10.85217,1.423092
