"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1884_053_Vis4AS_Home4A",1,3467,1.796121,54.159,5.67804
"1884_053_Vis4AS_Home4A",1,3517,1.314798,47.1807,5.4126
"1884_053_Vis4AS_Home4A",1,3567,0.867276,40.2801,5.11008
"1884_053_Vis4AS_Home4A",1,3617,0.453558,33.4572,4.77054
"1884_053_Vis4AS_Home4A",1,3667,0.073638,26.71218,4.39395
"1884_053_Vis4AS_Home4A",1,3717,-0.272481,20.04492,3.98031
"1884_053_Vis4AS_Home4A",1,3767,-0.584802,13.45536,3.52965
"1884_053_Vis4AS_Home4A",1,3817,-0.863319,6.94362,3.04191
"1884_053_Vis4AS_Home4A",1,3867,-1.108035,0.509652,2.51715
"1884_053_Vis4AS_Home4A",1,3917,-1.318953,-5.84655,1.95534
"1884_053_Vis4AS_Home4A",2,13617,1.977306,57.6036,5.75274
"1884_053_Vis4AS_Home4A",2,13667,1.610043,50.6859,5.61678
"1884_053_Vis4AS_Home4A",2,13717,1.261761,43.8345,5.4363
"1884_053_Vis4AS_Home4A",2,13767,0.932457,37.0488,5.21127
"1884_053_Vis4AS_Home4A",2,13817,0.622137,30.3294,4.94172
"1884_053_Vis4AS_Home4A",2,13867,0.330798,23.67627,4.62765
"1884_053_Vis4AS_Home4A",2,13917,0.0584403,17.08917,4.26906
"1884_053_Vis4AS_Home4A",2,13967,-0.194937,10.56816,3.86592
"1884_053_Vis4AS_Home4A",2,14017,-0.429336,4.11324,3.41826
"1884_053_Vis4AS_Home4A",2,14067,-0.644751,-2.275539,2.926086
"1884_053_Vis4AS_Home4A",3,24267,1.831032,52.8996,5.6367
"1884_053_Vis4AS_Home4A",3,24317,1.491237,46.1421,5.34396
"1884_053_Vis4AS_Home4A",3,24367,1.177923,39.4557,5.01645
"1884_053_Vis4AS_Home4A",3,24417,0.891087,32.8404,4.6542
"1884_053_Vis4AS_Home4A",3,24467,0.630729,26.29599,4.25721
"1884_053_Vis4AS_Home4A",3,24517,0.396849,19.82259,3.82545
"1884_053_Vis4AS_Home4A",3,24567,0.1894503,13.42023,3.35892
"1884_053_Vis4AS_Home4A",3,24617,0.00852891,7.08891,2.857656
"1884_053_Vis4AS_Home4A",3,24667,-0.145914,0.828576,2.321634
