"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1884_115_Vis4BA_Home4A",1,34221,3.02817,58.3668,5.88489
"1884_115_Vis4BA_Home4A",1,34271,2.566623,51.6864,5.71302
"1884_115_Vis4BA_Home4A",1,34321,2.147778,45.0726,5.48517
"1884_115_Vis4BA_Home4A",1,34371,1.771638,38.5254,5.2014
"1884_115_Vis4BA_Home4A",1,34421,1.438206,32.0448,4.86165
"1884_115_Vis4BA_Home4A",1,34471,1.147482,25.63092,4.46592
"1884_115_Vis4BA_Home4A",1,34521,0.899463,19.28373,4.01427
"1884_115_Vis4BA_Home4A",1,34571,0.694152,13.00317,3.50664
"1884_115_Vis4BA_Home4A",1,34621,0.531546,6.78921,2.943063
"1884_115_Vis4BA_Home4A",1,34671,0.411648,0.641955,2.323524
"1884_115_Vis4BA_Home4A",1,34721,0.334455,-5.43867,1.648026
"1884_115_Vis4BA_Home4A",2,48421,2.828187,56.4249,5.79774
"1884_115_Vis4BA_Home4A",2,48471,2.520375,50.6118,5.76639
"1884_115_Vis4BA_Home4A",2,48521,2.207991,44.8512,5.6628
"1884_115_Vis4BA_Home4A",2,48571,1.891029,39.1428,5.48697
"1884_115_Vis4BA_Home4A",2,48621,1.569492,33.4872,5.23893
"1884_115_Vis4BA_Home4A",2,48671,1.24338,27.88428,4.91862
"1884_115_Vis4BA_Home4A",2,48721,0.912693,22.3338,4.5261
"1884_115_Vis4BA_Home4A",2,48771,0.577431,16.83588,4.06131
"1884_115_Vis4BA_Home4A",2,48821,0.2375952,11.39049,3.52431
"1884_115_Vis4BA_Home4A",2,48871,-0.1068183,5.99763,2.915076
"1884_115_Vis4BA_Home4A",2,48921,-0.455805,0.657378,2.233599
"1884_115_Vis4BA_Home4A",2,48971,-1.946541,8.63418,5.58921
"1884_115_Vis4BA_Home4A",2,49021,-3.11586,14.23782,8.29074
"1884_115_Vis4BA_Home4A",2,49071,-4.27287,19.79958,10.91922
"1884_115_Vis4BA_Home4A",2,49121,-5.41758,25.31946,13.47465
"1884_115_Vis4BA_Home4A",2,49171,-6.54993,30.7974,15.957
"1884_115_Vis4BA_Home4A",2,49221,-7.66995,36.2334,18.3663
"1884_115_Vis4BA_Home4A",2,49271,-8.77767,41.6277,20.70255
"1884_115_Vis4BA_Home4A",2,49321,-9.87306,46.98,22.96575
"1884_115_Vis4BA_Home4A",2,49371,-10.95612,52.2906,25.1559
"1884_115_Vis4BA_Home4A",2,49421,-12.02688,57.5589,27.27297
"1884_115_Vis4BA_Home4A",2,49471,-13.08528,62.7858,29.31699
"1884_115_Vis4BA_Home4A",2,49521,-14.13138,67.9704,31.2879
"1884_115_Vis4BA_Home4A",2,49571,-15.16515,73.1133,33.1857
"1884_115_Vis4BA_Home4A",2,49621,-16.18659,78.2142,35.0106
"1884_115_Vis4BA_Home4A",2,49671,-17.19573,83.2734,36.7626
"1884_115_Vis4BA_Home4A",2,49721,-18.19251,88.2906,38.4411
"1884_115_Vis4BA_Home4A",2,49771,-19.17699,93.2658,40.047
"1884_115_Vis4BA_Home4A",2,49821,-20.14914,98.1993,41.5794
"1884_115_Vis4BA_Home4A",2,49871,-21.10899,103.0908,43.0392
"1884_115_Vis4BA_Home4A",2,49921,-22.05648,107.9406,44.4255
"1884_115_Vis4BA_Home4A",2,49971,-22.99167,112.7484,45.7389
"1884_115_Vis4BA_Home4A",2,50021,-23.9145,117.5142,46.9794
"1884_115_Vis4BA_Home4A",2,50071,-24.82503,122.238,48.1467
"1884_115_Vis4BA_Home4A",2,50121,-25.72326,126.9201,49.2411
"1884_115_Vis4BA_Home4A",2,50171,-26.60913,131.5605,50.2623
"1884_115_Vis4BA_Home4A",2,50221,-27.4827,136.1586,51.2103
"1884_115_Vis4BA_Home4A",2,50271,-28.34394,140.7153,52.0854
"1884_115_Vis4BA_Home4A",2,50321,-29.19285,145.2297,52.8876
"1884_115_Vis4BA_Home4A",2,50371,-30.0294,149.7024,53.6166
"1884_115_Vis4BA_Home4A",2,50421,-30.8538,154.1331,54.2724
"1884_115_Vis4BA_Home4A",2,50471,-31.6656,158.5221,54.8553
"1884_115_Vis4BA_Home4A",2,50521,-32.4654,162.8691,55.365
"1884_115_Vis4BA_Home4A",2,50571,-33.2526,167.1741,55.8018
"1884_115_Vis4BA_Home4A",2,50621,-34.0275,171.4374,56.1657
"1884_115_Vis4BA_Home4A",2,50671,-34.7901,175.6587,56.4561
"1884_115_Vis4BA_Home4A",2,50721,-35.5404,179.838,56.6739
"1884_115_Vis4BA_Home4A",2,50771,-36.2784,183.9756,56.8182
"1884_115_Vis4BA_Home4A",2,50821,-37.0041,188.0712,56.8899
"1884_115_Vis4BA_Home4A",2,50871,-37.7175,192.1251,56.8881
"1884_115_Vis4BA_Home4A",2,50921,-38.4186,196.137,56.8137
"1884_115_Vis4BA_Home4A",2,50971,-39.1071,200.1069,56.6658
"1884_115_Vis4BA_Home4A",2,51021,-39.7836,204.0348,56.445
"1884_115_Vis4BA_Home4A",2,51071,-40.4478,207.921,56.1513
"1884_115_Vis4BA_Home4A",2,51121,-41.0994,211.7655,55.7844
"1884_115_Vis4BA_Home4A",2,51171,-41.7387,215.568,55.3446
"1884_115_Vis4BA_Home4A",2,51221,-42.366,219.3285,54.8316
"1884_115_Vis4BA_Home4A",2,51271,-42.9807,223.047,54.2454
"1884_115_Vis4BA_Home4A",2,51321,-43.5831,226.7238,53.5863
"1884_115_Vis4BA_Home4A",2,51371,-44.1732,230.3586,52.8543
"1884_115_Vis4BA_Home4A",2,51421,-44.751,233.9517,52.0491
"1884_115_Vis4BA_Home4A",2,51471,-45.3165,237.5028,51.1707
"1884_115_Vis4BA_Home4A",2,51521,-45.8697,241.0119,50.2194
"1884_115_Vis4BA_Home4A",2,51571,-46.4103,244.4793,49.1949
"1884_115_Vis4BA_Home4A",2,51621,-46.9389,247.9047,48.0975
"1884_115_Vis4BA_Home4A",2,51671,-47.4552,251.2884,46.9269
"1884_115_Vis4BA_Home4A",2,51721,-47.9589,254.6298,45.6834
"1884_115_Vis4BA_Home4A",2,51771,-48.4503,257.9298,44.3667
"1884_115_Vis4BA_Home4A",2,51821,-48.9297,261.1875,42.9771
"1884_115_Vis4BA_Home4A",2,51871,-49.3965,264.4035,41.5143
"1884_115_Vis4BA_Home4A",2,51921,-49.851,267.5778,39.9786
"1884_115_Vis4BA_Home4A",2,51971,-50.2932,270.7098,38.3697
"1884_115_Vis4BA_Home4A",2,52021,-50.7231,273.8001,36.6879
"1884_115_Vis4BA_Home4A",2,52071,-51.1407,276.8487,34.9329
"1884_115_Vis4BA_Home4A",2,52121,-51.546,279.8553,33.105
"1884_115_Vis4BA_Home4A",2,52171,-51.939,282.8199,31.2039
"1884_115_Vis4BA_Home4A",2,52221,-52.3194,285.7425,29.22966
"1884_115_Vis4BA_Home4A",2,52271,-52.6878,288.6234,27.18249
"1884_115_Vis4BA_Home4A",2,52321,-53.0439,291.4623,25.06224
