"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1884_141_Vis4BE_Home4A",1,51952,-1.962207,57.5808,5.89491
"1884_141_Vis4BE_Home4A",1,52002,-1.684284,51.1029,5.67075
"1884_141_Vis4BE_Home4A",1,52052,-1.432005,44.6976,5.39994
"1884_141_Vis4BE_Home4A",1,52102,-1.205367,38.3652,5.08254
"1884_141_Vis4BE_Home4A",1,52152,-1.004373,32.1054,4.71855
"1884_141_Vis4BE_Home4A",1,52202,-0.82902,25.91847,4.30794
"1884_141_Vis4BE_Home4A",1,52252,-0.679311,19.80414,3.85071
"1884_141_Vis4BE_Home4A",1,52302,-0.555243,13.76253,3.34686
"1884_141_Vis4BE_Home4A",1,52352,-0.456819,7.79361,2.796402
"1884_141_Vis4BE_Home4A",1,52402,-0.384036,1.897413,2.199339
"1884_141_Vis4BE_Home4A",1,52452,2.523807,8.16036,3.73278
"1884_141_Vis4BE_Home4A",1,52502,5.41632,13.4409,4.6764
"1884_141_Vis4BE_Home4A",1,52552,8.30298,18.64071,5.51559
"1884_141_Vis4BE_Home4A",1,52602,11.18376,23.75976,6.25026
"1884_141_Vis4BE_Home4A",1,52652,14.05863,28.79805,6.88047
"1884_141_Vis4BE_Home4A",1,52702,16.92765,33.7557,7.40619
"1884_141_Vis4BE_Home4A",1,52752,19.79079,38.6322,7.82745
"1884_141_Vis4BE_Home4A",1,52802,22.64805,43.4283,8.14422
"1884_141_Vis4BE_Home4A",1,52852,25.49943,48.1437,8.3565
"1884_141_Vis4BE_Home4A",1,52902,28.34496,52.7781,8.46429
"1884_141_Vis4BE_Home4A",1,52952,31.1847,57.3318,8.46762
"1884_141_Vis4BE_Home4A",1,53002,34.0182,61.8048,8.36646
"1884_141_Vis4BE_Home4A",1,53052,36.8463,66.1971,8.16081
"1884_141_Vis4BE_Home4A",1,53102,39.6681,70.5084,7.8507
"1884_141_Vis4BE_Home4A",1,53152,42.4842,74.7393,7.4361
"1884_141_Vis4BE_Home4A",1,53202,45.2946,78.8892,6.91701
"1884_141_Vis4BE_Home4A",1,53252,48.099,82.9584,6.29346
"1884_141_Vis4BE_Home4A",1,53302,50.8974,86.9466,5.56542
"1884_141_Vis4BE_Home4A",1,53352,53.6901,90.8544,4.73289
"1884_141_Vis4BE_Home4A",1,53402,56.4768,94.6812,3.7959
"1884_141_Vis4BE_Home4A",1,53452,59.2575,98.4273,2.754414
"1884_141_Vis4BE_Home4A",1,53502,62.0325,102.0927,1.608453
"1884_141_Vis4BE_Home4A",1,53552,64.8018,105.6774,0.358008
"1884_141_Vis4BE_Home4A",1,53602,67.5648,109.1814,-0.996921
"1884_141_Vis4BE_Home4A",1,53652,68.8671,111.7371,1.060755
"1884_141_Vis4BE_Home4A",1,53702,70.7271,114.6231,1.611018
"1884_141_Vis4BE_Home4A",1,53752,72.5781,117.4608,2.065572
"1884_141_Vis4BE_Home4A",1,53802,74.4201,120.2508,2.42442
"1884_141_Vis4BE_Home4A",1,53852,76.2528,122.9925,2.687562
"1884_141_Vis4BE_Home4A",1,53902,78.0768,125.6865,2.854992
"1884_141_Vis4BE_Home4A",1,53952,79.8918,128.3325,2.926716
"1884_141_Vis4BE_Home4A",1,54002,81.6975,130.9302,2.902731
"1884_141_Vis4BE_Home4A",1,54052,83.4945,133.4802,2.78304
"1884_141_Vis4BE_Home4A",1,54102,85.2822,135.9819,2.56764
"1884_141_Vis4BE_Home4A",1,54152,87.0609,138.4356,2.256531
"1884_141_Vis4BE_Home4A",1,54202,88.8309,140.8416,1.849716
"1884_141_Vis4BE_Home4A",1,54252,90.5916,143.1993,1.347192
