"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"1883_024_Vis2AB_Home2A",1,1,1,8598,1,1
"1883_024_Vis2AB_Home2A",1,1,1,9098,0,5
"1883_024_Vis2AB_Home2A",1,1,1,9098,2,2
"1883_024_Vis2AB_Home2A",2,1,2,19598,1,1
"1883_024_Vis2AB_Home2A",2,1,2,19998,10,4
"1883_024_Vis2AB_Home2A",2,1,2,21048,255,16
"1883_024_Vis2AB_Home2A",2,1,2,21448,255,16
"1883_024_Vis2AB_Home2A",2,1,2,21748,255,16
"1883_024_Vis2AB_Home2A",2,1,2,21898,4,2
"1883_024_Vis2AB_Home2A",2,1,2,23148,4,3
"1883_024_Vis2AB_Home2A",2,1,2,23948,3,2
"1883_024_Vis2AB_Home2A",2,1,2,24498,0,5
"1883_024_Vis2AB_Home2A",3,2,3,50198,1,1
"1883_024_Vis2AB_Home2A",3,2,3,50648,0,5
"1883_024_Vis2AB_Home2A",3,2,3,50648,2,2
"1883_024_Vis2AB_Home2A",4,2,4,61048,1,1
"1883_024_Vis2AB_Home2A",4,2,4,61548,2,2
"1883_024_Vis2AB_Home2A",4,2,4,61548,0,5
"1883_024_Vis2AB_Home2A",5,2,5,74998,1,1
"1883_024_Vis2AB_Home2A",5,2,5,75498,2,2
"1883_024_Vis2AB_Home2A",5,2,5,75498,0,5
"1883_024_Vis2AB_Home2A",6,3,6,110798,1,1
"1883_024_Vis2AB_Home2A",6,3,6,111298,0,5
"1883_024_Vis2AB_Home2A",6,3,6,111298,2,2
"1883_024_Vis2AB_Home2A",7,3,7,124048,1,1
"1883_024_Vis2AB_Home2A",7,3,7,124548,2,2
"1883_024_Vis2AB_Home2A",7,3,7,124548,0,5
"1883_024_Vis2AB_Home2A",8,3,8,136398,1,1
"1883_024_Vis2AB_Home2A",8,3,8,136798,10,4
"1883_024_Vis2AB_Home2A",8,3,8,136948,0,5
"1883_024_Vis2AB_Home2A",9,3,9,160598,1,1
"1883_024_Vis2AB_Home2A",9,3,9,161048,10,4
"1883_024_Vis2AB_Home2A",9,3,9,161198,255,16
"1883_024_Vis2AB_Home2A",9,3,9,161798,255,16
"1883_024_Vis2AB_Home2A",9,3,9,162198,255,16
"1883_024_Vis2AB_Home2A",9,3,9,162498,255,16
"1883_024_Vis2AB_Home2A",9,3,9,162698,4,2
"1883_024_Vis2AB_Home2A",9,3,9,164098,4,3
"1883_024_Vis2AB_Home2A",9,3,9,164898,3,2
"1883_024_Vis2AB_Home2A",9,3,9,165948,0,5
"1883_024_Vis2AB_Home2A",10,4,10,318798,1,1
"1883_024_Vis2AB_Home2A",10,4,10,319298,2,2
"1883_024_Vis2AB_Home2A",10,4,10,319298,0,5
"1883_024_Vis2AB_Home2A",11,4,11,330498,1,1
"1883_024_Vis2AB_Home2A",11,4,11,330998,2,2
"1883_024_Vis2AB_Home2A",11,4,11,330998,0,5
"1883_024_Vis2AB_Home2A",12,4,12,343348,1,1
"1883_024_Vis2AB_Home2A",12,4,12,343748,10,4
"1883_024_Vis2AB_Home2A",12,4,12,343898,0,5
"1883_024_Vis2AB_Home2A",13,4,13,363398,1,1
"1883_024_Vis2AB_Home2A",13,4,13,363898,2,2
"1883_024_Vis2AB_Home2A",13,4,13,363898,0,5
"1883_024_Vis2AB_Home2A",14,4,14,378748,1,1
"1883_024_Vis2AB_Home2A",14,4,14,379148,10,4
"1883_024_Vis2AB_Home2A",14,4,14,379298,0,5
"1883_024_Vis2AB_Home2A",15,4,15,395648,1,1
"1883_024_Vis2AB_Home2A",15,4,15,396098,0,5
"1883_024_Vis2AB_Home2A",15,4,15,396098,2,2
"1883_024_Vis2AB_Home2A",16,4,16,410798,1,1
"1883_024_Vis2AB_Home2A",16,4,16,411248,0,5
"1883_024_Vis2AB_Home2A",16,4,16,411248,2,2
"1883_024_Vis2AB_Home2A",17,5,17,446398,1,1
"1883_024_Vis2AB_Home2A",17,5,17,446848,10,4
"1883_024_Vis2AB_Home2A",17,5,17,452948,6,2
"1883_024_Vis2AB_Home2A",17,5,17,454798,6,3
"1883_024_Vis2AB_Home2A",17,5,17,456648,5,2
"1883_024_Vis2AB_Home2A",17,5,17,457198,0,5
"1883_024_Vis2AB_Home2A",18,6,18,493048,1,1
"1883_024_Vis2AB_Home2A",18,6,18,493498,0,5
"1883_024_Vis2AB_Home2A",18,6,18,493498,2,2
"1883_024_Vis2AB_Home2A",19,NA,19,514298,1,6
"1883_024_Vis2AB_Home2A",19,NA,19,514748,255,16
"1883_024_Vis2AB_Home2A",19,NA,19,514898,3,9
"1883_024_Vis2AB_Home2A",19,NA,19,515698,255,10
"1883_024_Vis2AB_Home2A",19,NA,19,517148,255,16
"1883_024_Vis2AB_Home2A",19,NA,19,517798,255,16
"1883_024_Vis2AB_Home2A",19,NA,19,518148,255,16
"1883_024_Vis2AB_Home2A",19,NA,19,518398,255,16
"1883_024_Vis2AB_Home2A",19,NA,19,519648,4,2
"1883_024_Vis2AB_Home2A",19,NA,19,520948,4,3
"1883_024_Vis2AB_Home2A",19,NA,19,522798,1,2
"1883_024_Vis2AB_Home2A",19,NA,19,523198,0,5
"1883_024_Vis2AB_Home2A",20,6,20,569398,1,1
"1883_024_Vis2AB_Home2A",20,6,20,569798,10,4
"1883_024_Vis2AB_Home2A",20,6,20,570548,255,16
"1883_024_Vis2AB_Home2A",20,6,20,571198,255,16
"1883_024_Vis2AB_Home2A",20,6,20,571648,255,16
"1883_024_Vis2AB_Home2A",20,6,20,571948,255,16
"1883_024_Vis2AB_Home2A",20,6,20,572398,255,10
"1883_024_Vis2AB_Home2A",20,6,20,572998,255,16
"1883_024_Vis2AB_Home2A",20,6,20,573348,255,16
"1883_024_Vis2AB_Home2A",20,6,20,574548,7,2
"1883_024_Vis2AB_Home2A",20,6,20,575848,7,3
"1883_024_Vis2AB_Home2A",20,6,20,577648,255,16
"1883_024_Vis2AB_Home2A",20,6,20,577748,4,9
"1883_024_Vis2AB_Home2A",20,6,20,579648,255,16
"1883_024_Vis2AB_Home2A",20,6,20,580248,255,16
"1883_024_Vis2AB_Home2A",20,6,20,580998,4,2
"1883_024_Vis2AB_Home2A",20,6,20,581048,0,5
"1883_024_Vis2AB_Home2A",21,7,21,625198,1,1
"1883_024_Vis2AB_Home2A",21,7,21,625698,0,5
"1883_024_Vis2AB_Home2A",21,7,21,625698,2,2
"1883_024_Vis2AB_Home2A",22,7,22,650748,1,1
"1883_024_Vis2AB_Home2A",22,7,22,651198,2,2
"1883_024_Vis2AB_Home2A",22,7,22,651198,0,5
"1883_024_Vis2AB_Home2A",23,7,23,674798,1,1
"1883_024_Vis2AB_Home2A",23,7,23,675198,10,4
"1883_024_Vis2AB_Home2A",23,7,23,675348,0,5
"1883_024_Vis2AB_Home2A",24,7,24,708848,1,1
"1883_024_Vis2AB_Home2A",24,7,24,709248,10,4
"1883_024_Vis2AB_Home2A",24,7,24,709398,0,5
"1883_024_Vis2AB_Home2A",25,7,25,738748,1,1
"1883_024_Vis2AB_Home2A",25,7,25,739148,10,4
"1883_024_Vis2AB_Home2A",25,7,25,739298,0,5
"1883_024_Vis2AB_Home2A",26,7,26,764448,1,1
"1883_024_Vis2AB_Home2A",26,7,26,764948,2,2
"1883_024_Vis2AB_Home2A",26,7,26,764948,0,5
"1883_024_Vis2AB_Home2A",27,7,27,805898,1,1
"1883_024_Vis2AB_Home2A",27,7,27,806348,10,4
"1883_024_Vis2AB_Home2A",27,7,27,806848,0,5
"1883_024_Vis2AB_Home2A",28,7,28,836698,1,1
"1883_024_Vis2AB_Home2A",28,7,28,837098,10,4
"1883_024_Vis2AB_Home2A",28,7,28,838198,255,16
"1883_024_Vis2AB_Home2A",28,7,28,838998,255,16
"1883_024_Vis2AB_Home2A",28,7,28,839448,255,16
"1883_024_Vis2AB_Home2A",28,7,28,839898,255,16
"1883_024_Vis2AB_Home2A",28,7,28,840348,7,2
"1883_024_Vis2AB_Home2A",28,7,28,841648,7,3
"1883_024_Vis2AB_Home2A",28,7,28,843098,5,2
"1883_024_Vis2AB_Home2A",28,7,28,843598,0,5
"1883_024_Vis2AB_Home2A",29,8,29,935898,1,1
"1883_024_Vis2AB_Home2A",29,8,29,936398,2,2
"1883_024_Vis2AB_Home2A",29,8,29,941198,0,5
"1883_024_Vis2AB_Home2A",30,8,30,981048,1,1
"1883_024_Vis2AB_Home2A",30,8,30,981498,10,4
"1883_024_Vis2AB_Home2A",30,8,30,981648,0,5
"1883_024_Vis2AB_Home2A",31,8,31,1004698,1,1
"1883_024_Vis2AB_Home2A",31,8,31,1005148,10,4
"1883_024_Vis2AB_Home2A",31,8,31,1006598,4,2
"1883_024_Vis2AB_Home2A",31,8,31,1007048,0,5
"1883_024_Vis2AB_Home2A",32,9,32,1159048,1,1
"1883_024_Vis2AB_Home2A",32,9,32,1159498,0,5
"1883_024_Vis2AB_Home2A",32,9,32,1159498,2,2
"1883_024_Vis2AB_Home2A",33,9,33,1170198,1,1
"1883_024_Vis2AB_Home2A",33,9,33,1170648,10,4
"1883_024_Vis2AB_Home2A",33,9,33,1170748,0,5
"1883_024_Vis2AB_Home2A",34,9,34,1201248,1,1
"1883_024_Vis2AB_Home2A",34,9,34,1201798,2,2
"1883_024_Vis2AB_Home2A",34,9,34,1201798,0,5
"1883_024_Vis2AB_Home2A",35,9,35,1214798,1,1
"1883_024_Vis2AB_Home2A",35,9,35,1215298,0,5
"1883_024_Vis2AB_Home2A",35,9,35,1215298,2,2
"1883_024_Vis2AB_Home2A",36,9,36,1231198,1,1
"1883_024_Vis2AB_Home2A",36,9,36,1231648,2,2
"1883_024_Vis2AB_Home2A",36,9,36,1231648,0,5
"1883_024_Vis2AB_Home2A",37,9,37,1253548,1,1
"1883_024_Vis2AB_Home2A",37,9,37,1253998,10,4
"1883_024_Vis2AB_Home2A",37,9,37,1254398,0,5
"1883_024_Vis2AB_Home2A",38,9,38,1275748,1,1
"1883_024_Vis2AB_Home2A",38,9,38,1276198,10,4
"1883_024_Vis2AB_Home2A",38,9,38,1276298,255,16
"1883_024_Vis2AB_Home2A",38,9,38,1277248,255,16
"1883_024_Vis2AB_Home2A",38,9,38,1277948,255,16
"1883_024_Vis2AB_Home2A",38,9,38,1278448,4,2
"1883_024_Vis2AB_Home2A",38,9,38,1279398,4,3
"1883_024_Vis2AB_Home2A",38,9,38,1280148,3,2
"1883_024_Vis2AB_Home2A",38,9,38,1280848,0,5
"1883_024_Vis2AB_Home2A",39,10,39,1313148,1,1
"1883_024_Vis2AB_Home2A",39,10,39,1313648,0,5
"1883_024_Vis2AB_Home2A",39,10,39,1313648,2,2
"1883_024_Vis2AB_Home2A",40,10,40,1326898,1,1
"1883_024_Vis2AB_Home2A",40,10,40,1327398,0,5
"1883_024_Vis2AB_Home2A",40,10,40,1327398,2,2
"1883_024_Vis2AB_Home2A",41,10,41,1341048,1,1
"1883_024_Vis2AB_Home2A",41,10,41,1341548,2,2
"1883_024_Vis2AB_Home2A",41,10,41,1341548,0,5
"1883_024_Vis2AB_Home2A",42,10,42,1356198,1,1
"1883_024_Vis2AB_Home2A",42,10,42,1356748,2,9
"1883_024_Vis2AB_Home2A",42,10,42,1357248,255,16
"1883_024_Vis2AB_Home2A",42,10,42,1359648,2,2
"1883_024_Vis2AB_Home2A",42,10,42,1360348,2,3
"1883_024_Vis2AB_Home2A",42,10,42,1360948,3,2
"1883_024_Vis2AB_Home2A",42,10,42,1361698,0,5
"1883_024_Vis2AB_Home2A",43,11,43,1389098,1,1
"1883_024_Vis2AB_Home2A",43,11,43,1389548,0,5
"1883_024_Vis2AB_Home2A",43,11,43,1389548,2,2
"1883_024_Vis2AB_Home2A",44,11,44,1401048,1,1
"1883_024_Vis2AB_Home2A",44,11,44,1401548,0,5
"1883_024_Vis2AB_Home2A",44,11,44,1401548,2,2
"1883_024_Vis2AB_Home2A",45,11,45,1415948,1,1
"1883_024_Vis2AB_Home2A",45,11,45,1416448,2,2
"1883_024_Vis2AB_Home2A",45,11,45,1416448,0,5
"1883_024_Vis2AB_Home2A",46,11,46,1436348,1,1
"1883_024_Vis2AB_Home2A",46,11,46,1436798,10,4
"1883_024_Vis2AB_Home2A",46,11,46,1436948,0,5
"1883_024_Vis2AB_Home2A",47,11,47,1458698,1,1
"1883_024_Vis2AB_Home2A",47,11,47,1459198,0,5
"1883_024_Vis2AB_Home2A",47,11,47,1459198,2,2
"1883_024_Vis2AB_Home2A",48,11,48,1481798,1,1
"1883_024_Vis2AB_Home2A",48,11,48,1482198,10,4
