"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"1884_008_Vis1AK_Home1A",1,22,1,42828,1,1
"1884_008_Vis1AK_Home1A",1,22,1,43228,10,4
"1884_008_Vis1AK_Home1A",1,22,1,43428,0,5
"1884_008_Vis1AK_Home1A",2,22,2,60878,1,1
"1884_008_Vis1AK_Home1A",2,22,2,61328,10,4
"1884_008_Vis1AK_Home1A",2,22,2,61578,0,5
"1884_008_Vis1AK_Home1A",3,22,3,74628,1,1
"1884_008_Vis1AK_Home1A",3,22,3,75228,2,2
"1884_008_Vis1AK_Home1A",3,22,3,75228,0,5
"1884_008_Vis1AK_Home1A",4,22,4,88378,1,1
"1884_008_Vis1AK_Home1A",4,22,4,88778,10,4
"1884_008_Vis1AK_Home1A",4,22,4,92978,255,16
"1884_008_Vis1AK_Home1A",4,22,4,93078,9,9
"1884_008_Vis1AK_Home1A",4,22,4,93778,255,16
"1884_008_Vis1AK_Home1A",4,22,4,95378,9,2
"1884_008_Vis1AK_Home1A",4,22,4,96478,9,3
"1884_008_Vis1AK_Home1A",4,22,4,97678,255,16
"1884_008_Vis1AK_Home1A",4,22,4,98428,255,16
"1884_008_Vis1AK_Home1A",4,22,4,98928,255,16
"1884_008_Vis1AK_Home1A",4,22,4,99228,5,2
"1884_008_Vis1AK_Home1A",4,22,4,99928,0,5
"1884_008_Vis1AK_Home1A",5,23,5,140478,1,1
"1884_008_Vis1AK_Home1A",5,23,5,140878,10,4
"1884_008_Vis1AK_Home1A",5,23,5,142828,255,16
"1884_008_Vis1AK_Home1A",5,23,5,143428,255,16
"1884_008_Vis1AK_Home1A",5,23,5,143778,255,16
"1884_008_Vis1AK_Home1A",5,23,5,144028,255,16
"1884_008_Vis1AK_Home1A",5,23,5,147028,0,5
"1884_008_Vis1AK_Home1A",5,23,5,147028,1,2
"1884_008_Vis1AK_Home1A",6,24,6,290678,1,1
"1884_008_Vis1AK_Home1A",6,24,6,291078,10,4
"1884_008_Vis1AK_Home1A",6,24,6,296628,8,2
"1884_008_Vis1AK_Home1A",6,24,6,297678,8,3
"1884_008_Vis1AK_Home1A",6,24,6,299428,255,16
"1884_008_Vis1AK_Home1A",6,24,6,299578,6,2
"1884_008_Vis1AK_Home1A",6,24,6,301228,0,5
"1884_008_Vis1AK_Home1A",7,25,7,345028,1,1
"1884_008_Vis1AK_Home1A",7,25,7,345628,2,2
"1884_008_Vis1AK_Home1A",7,25,7,345628,0,5
"1884_008_Vis1AK_Home1A",8,25,8,363278,1,1
"1884_008_Vis1AK_Home1A",8,25,8,363828,0,5
"1884_008_Vis1AK_Home1A",8,25,8,363828,2,2
"1884_008_Vis1AK_Home1A",9,25,9,391228,1,1
"1884_008_Vis1AK_Home1A",9,25,9,391728,0,5
"1884_008_Vis1AK_Home1A",9,25,9,391728,2,2
"1884_008_Vis1AK_Home1A",10,25,10,429878,1,1
"1884_008_Vis1AK_Home1A",10,25,10,430378,10,4
"1884_008_Vis1AK_Home1A",10,25,10,430778,0,5
"1884_008_Vis1AK_Home1A",11,25,11,458228,1,1
"1884_008_Vis1AK_Home1A",11,25,11,458728,0,5
"1884_008_Vis1AK_Home1A",11,25,11,458728,2,2
"1884_008_Vis1AK_Home1A",12,25,12,480428,1,1
"1884_008_Vis1AK_Home1A",12,25,12,480928,255,16
"1884_008_Vis1AK_Home1A",12,25,12,480978,2,9
"1884_008_Vis1AK_Home1A",12,25,12,481978,2,2
"1884_008_Vis1AK_Home1A",12,25,12,483628,2,3
"1884_008_Vis1AK_Home1A",12,25,12,484628,3,2
"1884_008_Vis1AK_Home1A",12,25,12,484828,0,5
"1884_008_Vis1AK_Home1A",13,26,13,527428,1,1
"1884_008_Vis1AK_Home1A",13,26,13,527928,0,5
"1884_008_Vis1AK_Home1A",13,26,13,527928,2,2
"1884_008_Vis1AK_Home1A",14,26,14,547178,1,1
"1884_008_Vis1AK_Home1A",14,26,14,547628,2,2
"1884_008_Vis1AK_Home1A",14,26,14,547628,0,5
"1884_008_Vis1AK_Home1A",15,26,15,573878,1,1
"1884_008_Vis1AK_Home1A",15,26,15,574278,10,4
"1884_008_Vis1AK_Home1A",15,26,15,574428,0,5
"1884_008_Vis1AK_Home1A",16,26,16,641228,1,1
"1884_008_Vis1AK_Home1A",16,26,16,641728,0,5
"1884_008_Vis1AK_Home1A",16,26,16,641728,2,2
"1884_008_Vis1AK_Home1A",17,26,17,674828,1,1
"1884_008_Vis1AK_Home1A",17,26,17,675228,10,4
"1884_008_Vis1AK_Home1A",17,26,17,675728,0,5
"1884_008_Vis1AK_Home1A",18,26,18,726628,1,1
"1884_008_Vis1AK_Home1A",18,26,18,727078,2,2
"1884_008_Vis1AK_Home1A",18,26,18,727078,0,5
"1884_008_Vis1AK_Home1A",19,27,19,764128,1,1
"1884_008_Vis1AK_Home1A",19,27,19,764628,0,5
"1884_008_Vis1AK_Home1A",19,27,19,764628,2,2
"1884_008_Vis1AK_Home1A",20,27,20,789578,1,1
"1884_008_Vis1AK_Home1A",20,27,20,789978,10,4
"1884_008_Vis1AK_Home1A",20,27,20,790228,0,5
"1884_008_Vis1AK_Home1A",21,27,21,810328,1,1
"1884_008_Vis1AK_Home1A",21,27,21,810778,10,4
"1884_008_Vis1AK_Home1A",21,27,21,810978,0,5
"1884_008_Vis1AK_Home1A",22,27,22,832378,1,1
"1884_008_Vis1AK_Home1A",22,27,22,832928,0,5
"1884_008_Vis1AK_Home1A",22,27,22,832928,2,2
"1884_008_Vis1AK_Home1A",23,28,23,971478,1,1
"1884_008_Vis1AK_Home1A",23,28,23,971978,2,2
"1884_008_Vis1AK_Home1A",23,28,23,971978,0,5
"1884_008_Vis1AK_Home1A",24,28,24,983728,1,1
"1884_008_Vis1AK_Home1A",24,28,24,984178,2,2
"1884_008_Vis1AK_Home1A",24,28,24,984178,0,5
"1884_008_Vis1AK_Home1A",25,28,25,997828,1,1
"1884_008_Vis1AK_Home1A",25,28,25,998378,0,5
"1884_008_Vis1AK_Home1A",25,28,25,998378,2,2
"1884_008_Vis1AK_Home1A",26,28,26,1011428,1,1
"1884_008_Vis1AK_Home1A",26,28,26,1011928,2,2
"1884_008_Vis1AK_Home1A",26,28,26,1011928,0,5
"1884_008_Vis1AK_Home1A",27,28,27,1026978,1,1
"1884_008_Vis1AK_Home1A",27,28,27,1027428,2,2
"1884_008_Vis1AK_Home1A",27,28,27,1027428,0,5
"1884_008_Vis1AK_Home1A",28,29,28,1063478,1,1
"1884_008_Vis1AK_Home1A",28,29,28,1063928,10,4
"1884_008_Vis1AK_Home1A",28,29,28,1064128,0,5
"1884_008_Vis1AK_Home1A",29,29,29,1086078,1,6
"1884_008_Vis1AK_Home1A",29,29,29,1086728,3,2
"1884_008_Vis1AK_Home1A",29,29,29,1087078,0,5
"1884_008_Vis1AK_Home1A",30,29,30,1106928,1,1
"1884_008_Vis1AK_Home1A",30,29,30,1107478,2,2
"1884_008_Vis1AK_Home1A",30,29,30,1107478,0,5
"1884_008_Vis1AK_Home1A",31,29,31,1126778,1,1
"1884_008_Vis1AK_Home1A",31,29,31,1127178,10,4
"1884_008_Vis1AK_Home1A",31,29,31,1127378,0,5
"1884_008_Vis1AK_Home1A",32,29,32,1152728,1,1
"1884_008_Vis1AK_Home1A",32,29,32,1153178,0,5
"1884_008_Vis1AK_Home1A",32,29,32,1153178,2,2
"1884_008_Vis1AK_Home1A",33,29,33,1176378,1,1
"1884_008_Vis1AK_Home1A",33,29,33,1176928,2,2
