"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"1884_009.5_Vis1AK_Home1A",1,4,1,45848,1,1
"1884_009.5_Vis1AK_Home1A",1,4,1,46298,10,4
"1884_009.5_Vis1AK_Home1A",1,4,1,49848,9,2
"1884_009.5_Vis1AK_Home1A",1,4,1,49898,0,5
"1884_009.5_Vis1AK_Home1A",2,5,2,79148,1,1
"1884_009.5_Vis1AK_Home1A",2,5,2,79748,2,2
"1884_009.5_Vis1AK_Home1A",2,5,2,79748,0,5
"1884_009.5_Vis1AK_Home1A",3,5,3,92948,1,1
"1884_009.5_Vis1AK_Home1A",3,5,3,93498,0,5
"1884_009.5_Vis1AK_Home1A",3,5,3,93498,2,2
"1884_009.5_Vis1AK_Home1A",4,5,4,108448,1,1
"1884_009.5_Vis1AK_Home1A",4,5,4,108898,0,5
"1884_009.5_Vis1AK_Home1A",4,5,4,108898,2,2
"1884_009.5_Vis1AK_Home1A",5,5,5,123448,1,1
"1884_009.5_Vis1AK_Home1A",5,5,5,123848,10,4
"1884_009.5_Vis1AK_Home1A",5,5,5,124248,0,5
"1884_009.5_Vis1AK_Home1A",6,5,6,144098,1,1
"1884_009.5_Vis1AK_Home1A",6,5,6,144698,0,5
"1884_009.5_Vis1AK_Home1A",6,5,6,144698,2,2
"1884_009.5_Vis1AK_Home1A",7,5,7,158548,1,1
"1884_009.5_Vis1AK_Home1A",7,5,7,158948,10,4
"1884_009.5_Vis1AK_Home1A",7,5,7,159098,0,5
"1884_009.5_Vis1AK_Home1A",8,5,8,177398,1,1
"1884_009.5_Vis1AK_Home1A",8,5,8,177798,10,4
"1884_009.5_Vis1AK_Home1A",8,5,8,178048,0,5
"1884_009.5_Vis1AK_Home1A",9,5,9,197448,1,1
"1884_009.5_Vis1AK_Home1A",9,5,9,197898,10,4
"1884_009.5_Vis1AK_Home1A",9,5,9,198998,0,5
"1884_009.5_Vis1AK_Home1A",10,5,10,230948,1,1
"1884_009.5_Vis1AK_Home1A",10,5,10,231398,10,4
"1884_009.5_Vis1AK_Home1A",10,5,10,237348,7,2
"1884_009.5_Vis1AK_Home1A",10,5,10,237348,0,5
"1884_009.5_Vis1AK_Home1A",11,6,11,268698,1,1
"1884_009.5_Vis1AK_Home1A",11,6,11,269148,10,4
"1884_009.5_Vis1AK_Home1A",11,6,11,270198,255,16
"1884_009.5_Vis1AK_Home1A",11,6,11,271048,255,16
"1884_009.5_Vis1AK_Home1A",11,6,11,271448,255,16
"1884_009.5_Vis1AK_Home1A",11,6,11,271698,5,2
"1884_009.5_Vis1AK_Home1A",11,6,11,273098,0,5
"1884_009.5_Vis1AK_Home1A",12,7,12,309948,1,1
"1884_009.5_Vis1AK_Home1A",12,7,12,310348,10,4
"1884_009.5_Vis1AK_Home1A",12,7,12,310498,0,5
"1884_009.5_Vis1AK_Home1A",13,7,13,336598,1,6
"1884_009.5_Vis1AK_Home1A",13,7,13,337248,0,5
"1884_009.5_Vis1AK_Home1A",13,7,13,337248,3,2
"1884_009.5_Vis1AK_Home1A",14,8,14,354998,1,1
"1884_009.5_Vis1AK_Home1A",14,8,14,355498,10,4
"1884_009.5_Vis1AK_Home1A",14,8,14,355598,255,16
"1884_009.5_Vis1AK_Home1A",14,8,14,356448,255,16
"1884_009.5_Vis1AK_Home1A",14,8,14,356948,255,16
"1884_009.5_Vis1AK_Home1A",14,8,14,357248,6,2
"1884_009.5_Vis1AK_Home1A",14,8,14,358848,6,3
"1884_009.5_Vis1AK_Home1A",14,8,14,359798,255,16
"1884_009.5_Vis1AK_Home1A",14,8,14,360048,3,9
"1884_009.5_Vis1AK_Home1A",14,8,14,361848,255,10
"1884_009.5_Vis1AK_Home1A",14,8,14,364548,3,2
"1884_009.5_Vis1AK_Home1A",14,8,14,366998,0,5
"1884_009.5_Vis1AK_Home1A",15,9,15,407048,1,1
"1884_009.5_Vis1AK_Home1A",15,9,15,407648,2,2
"1884_009.5_Vis1AK_Home1A",15,9,15,407648,0,5
"1884_009.5_Vis1AK_Home1A",16,9,16,423748,1,1
"1884_009.5_Vis1AK_Home1A",16,9,16,424198,10,4
"1884_009.5_Vis1AK_Home1A",16,9,16,427448,255,10
"1884_009.5_Vis1AK_Home1A",16,9,16,429448,7,2
"1884_009.5_Vis1AK_Home1A",16,9,16,430848,7,3
"1884_009.5_Vis1AK_Home1A",16,9,16,433448,255,16
"1884_009.5_Vis1AK_Home1A",16,9,16,434048,4,2
"1884_009.5_Vis1AK_Home1A",16,9,16,434248,0,5
"1884_009.5_Vis1AK_Home1A",17,9,17,468698,1,1
"1884_009.5_Vis1AK_Home1A",17,9,17,469148,10,4
"1884_009.5_Vis1AK_Home1A",17,9,17,469248,0,5
"1884_009.5_Vis1AK_Home1A",18,9,18,491048,1,1
"1884_009.5_Vis1AK_Home1A",18,9,18,491598,0,5
"1884_009.5_Vis1AK_Home1A",18,9,18,491598,2,2
"1884_009.5_Vis1AK_Home1A",19,9,19,510348,1,1
"1884_009.5_Vis1AK_Home1A",19,9,19,510848,0,5
"1884_009.5_Vis1AK_Home1A",19,9,19,510848,2,2
"1884_009.5_Vis1AK_Home1A",20,9,20,546998,1,1
"1884_009.5_Vis1AK_Home1A",20,9,20,547398,10,4
"1884_009.5_Vis1AK_Home1A",20,9,20,549998,255,16
"1884_009.5_Vis1AK_Home1A",20,9,20,551098,255,16
"1884_009.5_Vis1AK_Home1A",20,9,20,551648,255,16
"1884_009.5_Vis1AK_Home1A",20,9,20,551848,255,10
"1884_009.5_Vis1AK_Home1A",20,9,20,552498,255,16
"1884_009.5_Vis1AK_Home1A",20,9,20,553348,7,2
"1884_009.5_Vis1AK_Home1A",20,9,20,554398,7,3
"1884_009.5_Vis1AK_Home1A",20,9,20,559148,4,2
"1884_009.5_Vis1AK_Home1A",20,9,20,559198,0,5
"1884_009.5_Vis1AK_Home1A",21,10,21,641098,1,1
"1884_009.5_Vis1AK_Home1A",21,10,21,641698,2,2
"1884_009.5_Vis1AK_Home1A",21,10,21,641698,0,5
"1884_009.5_Vis1AK_Home1A",22,10,22,657798,1,1
"1884_009.5_Vis1AK_Home1A",22,10,22,658248,10,4
"1884_009.5_Vis1AK_Home1A",22,10,22,658498,0,5
"1884_009.5_Vis1AK_Home1A",23,10,23,677198,1,1
"1884_009.5_Vis1AK_Home1A",23,10,23,677598,10,4
"1884_009.5_Vis1AK_Home1A",23,10,23,677848,0,5
"1884_009.5_Vis1AK_Home1A",24,10,24,703198,1,1
"1884_009.5_Vis1AK_Home1A",24,10,24,703748,2,2
"1884_009.5_Vis1AK_Home1A",24,10,24,703748,0,5
"1884_009.5_Vis1AK_Home1A",25,10,25,722848,1,1
"1884_009.5_Vis1AK_Home1A",25,10,25,723348,2,2
"1884_009.5_Vis1AK_Home1A",25,10,25,723348,0,5
"1884_009.5_Vis1AK_Home1A",26,10,26,743998,1,1
"1884_009.5_Vis1AK_Home1A",26,10,26,744548,0,5
"1884_009.5_Vis1AK_Home1A",26,10,26,744548,2,2
"1884_009.5_Vis1AK_Home1A",27,11,27,877648,1,1
"1884_009.5_Vis1AK_Home1A",27,11,27,878098,0,5
"1884_009.5_Vis1AK_Home1A",27,11,27,878098,2,2
"1884_009.5_Vis1AK_Home1A",28,11,28,891548,1,1
"1884_009.5_Vis1AK_Home1A",28,11,28,892048,2,2
"1884_009.5_Vis1AK_Home1A",28,11,28,892048,0,5
"1884_009.5_Vis1AK_Home1A",29,11,29,903548,1,1
"1884_009.5_Vis1AK_Home1A",29,11,29,904048,0,5
"1884_009.5_Vis1AK_Home1A",29,11,29,904048,2,2
"1884_009.5_Vis1AK_Home1A",30,11,30,918398,1,1
"1884_009.5_Vis1AK_Home1A",30,11,30,918948,0,5
"1884_009.5_Vis1AK_Home1A",30,11,30,918948,2,2
"1884_009.5_Vis1AK_Home1A",31,12,31,947998,1,1
"1884_009.5_Vis1AK_Home1A",31,12,31,948498,2,2
"1884_009.5_Vis1AK_Home1A",31,12,31,948498,0,5
"1884_009.5_Vis1AK_Home1A",32,12,32,958848,1,1
"1884_009.5_Vis1AK_Home1A",32,12,32,959298,2,2
"1884_009.5_Vis1AK_Home1A",32,12,32,959298,0,5
"1884_009.5_Vis1AK_Home1A",33,12,33,974048,1,1
"1884_009.5_Vis1AK_Home1A",33,12,33,974498,0,5
"1884_009.5_Vis1AK_Home1A",33,12,33,974498,2,2
"1884_009.5_Vis1AK_Home1A",34,12,34,985948,1,1
"1884_009.5_Vis1AK_Home1A",34,12,34,986448,2,2
"1884_009.5_Vis1AK_Home1A",34,12,34,986448,0,5
"1884_009.5_Vis1AK_Home1A",35,12,35,1013748,1,1
"1884_009.5_Vis1AK_Home1A",35,12,35,1014298,2,2
"1884_009.5_Vis1AK_Home1A",35,12,35,1014298,0,5
"1884_009.5_Vis1AK_Home1A",36,13,36,1041748,1,1
"1884_009.5_Vis1AK_Home1A",36,13,36,1042248,0,5
"1884_009.5_Vis1AK_Home1A",36,13,36,1042248,2,2
"1884_009.5_Vis1AK_Home1A",37,13,37,1052998,1,1
"1884_009.5_Vis1AK_Home1A",37,13,37,1053398,10,4
"1884_009.5_Vis1AK_Home1A",37,13,37,1053548,0,5
"1884_009.5_Vis1AK_Home1A",38,13,38,1068098,1,1
"1884_009.5_Vis1AK_Home1A",38,13,38,1068598,2,2
"1884_009.5_Vis1AK_Home1A",38,13,38,1068598,0,5
"1884_009.5_Vis1AK_Home1A",39,13,39,1079398,1,1
"1884_009.5_Vis1AK_Home1A",39,13,39,1079898,0,5
"1884_009.5_Vis1AK_Home1A",39,13,39,1079898,2,2
"1884_009.5_Vis1AK_Home1A",40,13,40,1101498,1,1
"1884_009.5_Vis1AK_Home1A",40,13,40,1101998,10,4
"1884_009.5_Vis1AK_Home1A",40,13,40,1102498,0,5
"1884_009.5_Vis1AK_Home1A",41,13,41,1119698,1,1
"1884_009.5_Vis1AK_Home1A",41,13,41,1120098,10,4
"1884_009.5_Vis1AK_Home1A",41,13,41,1120348,0,5
"1884_009.5_Vis1AK_Home1A",42,13,42,1140298,1,1
"1884_009.5_Vis1AK_Home1A",42,13,42,1140798,0,5
"1884_009.5_Vis1AK_Home1A",42,13,42,1140798,2,2
"1884_009.5_Vis1AK_Home1A",43,13,43,1157698,1,1
"1884_009.5_Vis1AK_Home1A",43,13,43,1158148,10,4
"1884_009.5_Vis1AK_Home1A",43,13,43,1159248,0,5
"1884_009.5_Vis1AK_Home1A",44,13,44,1181648,1,1
"1884_009.5_Vis1AK_Home1A",44,13,44,1182048,10,4
"1884_009.5_Vis1AK_Home1A",44,13,44,1187648,6,2
"1884_009.5_Vis1AK_Home1A",44,13,44,1187798,0,5
"1884_009.5_Vis1AK_Home1A",45,14,45,1348848,1,1
"1884_009.5_Vis1AK_Home1A",45,14,45,1349448,2,2
"1884_009.5_Vis1AK_Home1A",45,14,45,1349448,0,5
"1884_009.5_Vis1AK_Home1A",46,14,46,1370998,1,1
"1884_009.5_Vis1AK_Home1A",46,14,46,1371498,2,2
"1884_009.5_Vis1AK_Home1A",46,14,46,1371498,0,5
"1884_009.5_Vis1AK_Home1A",47,14,47,1387948,1,1
"1884_009.5_Vis1AK_Home1A",47,14,47,1388448,10,4
"1884_009.5_Vis1AK_Home1A",47,14,47,1389448,0,5
"1884_009.5_Vis1AK_Home1A",48,14,48,1407948,1,1
"1884_009.5_Vis1AK_Home1A",48,14,48,1408448,0,5
"1884_009.5_Vis1AK_Home1A",48,14,48,1408448,2,2
"1884_009.5_Vis1AK_Home1A",49,14,49,1421798,1,1
"1884_009.5_Vis1AK_Home1A",49,14,49,1422248,2,2
"1884_009.5_Vis1AK_Home1A",49,14,49,1422248,0,5
"1884_009.5_Vis1AK_Home1A",50,15,50,1455248,1,1
"1884_009.5_Vis1AK_Home1A",50,15,50,1455798,0,5
"1884_009.5_Vis1AK_Home1A",50,15,50,1455798,2,2
"1884_009.5_Vis1AK_Home1A",51,15,51,1476798,1,1
"1884_009.5_Vis1AK_Home1A",51,15,51,1477298,0,5
"1884_009.5_Vis1AK_Home1A",51,15,51,1477298,2,2
"1884_009.5_Vis1AK_Home1A",52,15,52,1497048,1,1
"1884_009.5_Vis1AK_Home1A",52,15,52,1497598,2,2
"1884_009.5_Vis1AK_Home1A",52,15,52,1497598,0,5
"1884_009.5_Vis1AK_Home1A",53,15,53,1517948,1,1
"1884_009.5_Vis1AK_Home1A",53,15,53,1518498,2,2
"1884_009.5_Vis1AK_Home1A",53,15,53,1518498,0,5
"1884_009.5_Vis1AK_Home1A",54,16,54,1539648,1,6
"1884_009.5_Vis1AK_Home1A",54,16,54,1540198,3,2
"1884_009.5_Vis1AK_Home1A",54,16,54,1540348,0,5
"1884_009.5_Vis1AK_Home1A",55,16,55,1560148,1,1
"1884_009.5_Vis1AK_Home1A",55,16,55,1560698,2,2
"1884_009.5_Vis1AK_Home1A",55,16,55,1560698,0,5
"1884_009.5_Vis1AK_Home1A",56,16,56,1578748,1,1
"1884_009.5_Vis1AK_Home1A",56,16,56,1579248,2,2
"1884_009.5_Vis1AK_Home1A",56,16,56,1579248,0,5
"1884_009.5_Vis1AK_Home1A",57,16,57,1633498,1,1
"1884_009.5_Vis1AK_Home1A",57,16,57,1634048,0,5
"1884_009.5_Vis1AK_Home1A",57,16,57,1634048,2,2
"1884_009.5_Vis1AK_Home1A",58,17,58,1684198,1,1
"1884_009.5_Vis1AK_Home1A",58,17,58,1684698,10,4
