"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"1884_044.5_Vis1AP_Home1A",1,1,1,4041,1,1
"1884_044.5_Vis1AP_Home1A",1,1,1,4441,10,4
"1884_044.5_Vis1AP_Home1A",1,1,1,7191,255,16
"1884_044.5_Vis1AP_Home1A",1,1,1,8291,255,16
"1884_044.5_Vis1AP_Home1A",1,1,1,8491,7,2
"1884_044.5_Vis1AP_Home1A",1,1,1,9991,7,3
"1884_044.5_Vis1AP_Home1A",1,1,1,11441,6,2
"1884_044.5_Vis1AP_Home1A",1,1,1,11841,0,5
"1884_044.5_Vis1AP_Home1A",2,2,2,60091,1,1
"1884_044.5_Vis1AP_Home1A",2,2,2,60591,2,2
"1884_044.5_Vis1AP_Home1A",2,2,2,61291,2,3
"1884_044.5_Vis1AP_Home1A",2,2,2,62491,4,2
"1884_044.5_Vis1AP_Home1A",2,2,2,63141,0,5
"1884_044.5_Vis1AP_Home1A",3,2,3,86841,1,1
"1884_044.5_Vis1AP_Home1A",3,2,3,87241,10,4
"1884_044.5_Vis1AP_Home1A",3,2,3,87441,0,5
"1884_044.5_Vis1AP_Home1A",4,2,4,105991,1,1
"1884_044.5_Vis1AP_Home1A",4,2,4,106491,10,4
"1884_044.5_Vis1AP_Home1A",4,2,4,106691,0,5
"1884_044.5_Vis1AP_Home1A",5,2,5,133741,1,1
"1884_044.5_Vis1AP_Home1A",5,2,5,134191,0,5
"1884_044.5_Vis1AP_Home1A",5,2,5,134191,2,2
"1884_044.5_Vis1AP_Home1A",6,2,6,155491,1,1
"1884_044.5_Vis1AP_Home1A",6,2,6,155991,10,4
"1884_044.5_Vis1AP_Home1A",6,2,6,158441,255,16
"1884_044.5_Vis1AP_Home1A",6,2,6,159291,255,16
"1884_044.5_Vis1AP_Home1A",6,2,6,159791,255,16
"1884_044.5_Vis1AP_Home1A",6,2,6,160091,255,16
"1884_044.5_Vis1AP_Home1A",6,2,6,160391,9,2
"1884_044.5_Vis1AP_Home1A",6,2,6,162991,9,3
"1884_044.5_Vis1AP_Home1A",6,2,6,164891,6,2
"1884_044.5_Vis1AP_Home1A",6,2,6,164991,0,5
"1884_044.5_Vis1AP_Home1A",7,3,7,200941,1,1
"1884_044.5_Vis1AP_Home1A",7,3,7,201441,0,5
"1884_044.5_Vis1AP_Home1A",7,3,7,201441,2,2
"1884_044.5_Vis1AP_Home1A",8,3,8,222241,1,1
"1884_044.5_Vis1AP_Home1A",8,3,8,222691,0,5
"1884_044.5_Vis1AP_Home1A",8,3,8,222691,2,2
"1884_044.5_Vis1AP_Home1A",9,3,9,246041,1,6
"1884_044.5_Vis1AP_Home1A",9,3,9,246641,3,2
"1884_044.5_Vis1AP_Home1A",9,3,9,246641,0,5
"1884_044.5_Vis1AP_Home1A",10,3,10,262691,1,1
"1884_044.5_Vis1AP_Home1A",10,3,10,263141,10,4
"1884_044.5_Vis1AP_Home1A",10,3,10,263241,255,16
"1884_044.5_Vis1AP_Home1A",10,3,10,264241,3,2
"1884_044.5_Vis1AP_Home1A",10,3,10,264991,3,3
"1884_044.5_Vis1AP_Home1A",10,3,10,265691,6,2
"1884_044.5_Vis1AP_Home1A",10,3,10,266541,6,3
"1884_044.5_Vis1AP_Home1A",10,3,10,267441,4,2
"1884_044.5_Vis1AP_Home1A",10,3,10,267591,0,5
"1884_044.5_Vis1AP_Home1A",11,4,11,316641,1,1
"1884_044.5_Vis1AP_Home1A",11,4,11,317041,10,4
"1884_044.5_Vis1AP_Home1A",11,4,11,317241,0,5
"1884_044.5_Vis1AP_Home1A",12,4,12,343541,1,1
"1884_044.5_Vis1AP_Home1A",12,4,12,344091,0,5
"1884_044.5_Vis1AP_Home1A",12,4,12,344091,2,2
"1884_044.5_Vis1AP_Home1A",13,4,13,366641,1,1
"1884_044.5_Vis1AP_Home1A",13,4,13,367091,2,2
