"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"1884_112_Vis1AZ_Home1A",1,1,1,18366,1,1
"1884_112_Vis1AZ_Home1A",1,1,1,18816,0,5
"1884_112_Vis1AZ_Home1A",1,1,1,18816,2,2
"1884_112_Vis1AZ_Home1A",2,1,3,48216,1,1
"1884_112_Vis1AZ_Home1A",2,1,3,48666,2,2
"1884_112_Vis1AZ_Home1A",2,1,3,48666,0,5
"1884_112_Vis1AZ_Home1A",3,1,4,63916,1,1
"1884_112_Vis1AZ_Home1A",3,1,4,64416,2,2
"1884_112_Vis1AZ_Home1A",3,1,4,64416,0,5
"1884_112_Vis1AZ_Home1A",4,1,5,76466,1,1
"1884_112_Vis1AZ_Home1A",4,1,5,76916,10,4
"1884_112_Vis1AZ_Home1A",4,1,5,77016,0,5
"1884_112_Vis1AZ_Home1A",5,1,6,95566,1,1
"1884_112_Vis1AZ_Home1A",5,1,6,95966,10,4
"1884_112_Vis1AZ_Home1A",5,1,6,96116,0,5
"1884_112_Vis1AZ_Home1A",6,1,7,113466,1,1
"1884_112_Vis1AZ_Home1A",6,1,7,113866,10,4
"1884_112_Vis1AZ_Home1A",6,1,7,119366,4,2
"1884_112_Vis1AZ_Home1A",6,1,7,119716,0,5
"1884_112_Vis1AZ_Home1A",7,2,8,152666,1,1
"1884_112_Vis1AZ_Home1A",7,2,8,153116,2,2
"1884_112_Vis1AZ_Home1A",7,2,8,153116,0,5
"1884_112_Vis1AZ_Home1A",8,2,9,165216,1,1
"1884_112_Vis1AZ_Home1A",8,2,9,165616,10,4
"1884_112_Vis1AZ_Home1A",8,2,9,171166,6,2
"1884_112_Vis1AZ_Home1A",8,2,9,171366,0,5
"1884_112_Vis1AZ_Home1A",9,3,10,202966,1,1
"1884_112_Vis1AZ_Home1A",9,3,10,203466,2,2
"1884_112_Vis1AZ_Home1A",9,3,10,203466,0,5
"1884_112_Vis1AZ_Home1A",10,3,11,216966,1,1
"1884_112_Vis1AZ_Home1A",10,3,11,217416,0,5
"1884_112_Vis1AZ_Home1A",10,3,11,217416,2,2
"1884_112_Vis1AZ_Home1A",11,3,12,231316,1,1
"1884_112_Vis1AZ_Home1A",11,3,12,231766,10,4
"1884_112_Vis1AZ_Home1A",11,3,12,232016,0,5
"1884_112_Vis1AZ_Home1A",12,3,13,249366,1,1
"1884_112_Vis1AZ_Home1A",12,3,13,249866,2,2
"1884_112_Vis1AZ_Home1A",12,3,13,249866,0,5
"1884_112_Vis1AZ_Home1A",13,4,14,415066,1,1
"1884_112_Vis1AZ_Home1A",13,4,14,415516,10,4
"1884_112_Vis1AZ_Home1A",13,4,14,417966,255,16
"1884_112_Vis1AZ_Home1A",13,4,14,418966,255,16
"1884_112_Vis1AZ_Home1A",13,4,14,419516,255,16
