"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"1884_006_Vis4AL_Home4A",1,1,1,21753,1,1
"1884_006_Vis4AL_Home4A",1,1,1,22248,0,5
"1884_006_Vis4AL_Home4A",1,1,1,22248,2,2
"1884_006_Vis4AL_Home4A",2,1,2,36273,1,1
"1884_006_Vis4AL_Home4A",2,1,2,36768,0,5
"1884_006_Vis4AL_Home4A",2,1,2,36768,2,2
"1884_006_Vis4AL_Home4A",3,1,3,50529,1,1
"1884_006_Vis4AL_Home4A",3,1,3,50991,10,4
"1884_006_Vis4AL_Home4A",3,1,3,51189,255,16
"1884_006_Vis4AL_Home4A",3,1,3,51618,255,16
"1884_006_Vis4AL_Home4A",3,1,3,52014,255,16
"1884_006_Vis4AL_Home4A",3,1,3,52377,255,16
"1884_006_Vis4AL_Home4A",3,1,3,52509,255,16
"1884_006_Vis4AL_Home4A",3,1,3,52608,6,2
"1884_006_Vis4AL_Home4A",3,1,3,53796,6,3
"1884_006_Vis4AL_Home4A",3,1,3,54852,3,2
"1884_006_Vis4AL_Home4A",3,1,3,55743,0,5
"1884_006_Vis4AL_Home4A",4,2,4,82242,1,1
"1884_006_Vis4AL_Home4A",4,2,4,82737,2,2
"1884_006_Vis4AL_Home4A",4,2,4,82737,0,5
"1884_006_Vis4AL_Home4A",5,2,5,97851,1,1
"1884_006_Vis4AL_Home4A",5,2,5,98346,2,2
"1884_006_Vis4AL_Home4A",5,2,5,98346,0,5
"1884_006_Vis4AL_Home4A",6,2,6,115143,1,1
"1884_006_Vis4AL_Home4A",6,2,6,115605,0,5
"1884_006_Vis4AL_Home4A",6,2,6,115605,2,2
"1884_006_Vis4AL_Home4A",7,3,7,141510,1,1
"1884_006_Vis4AL_Home4A",7,3,7,141972,0,5
"1884_006_Vis4AL_Home4A",7,3,7,141972,2,2
"1884_006_Vis4AL_Home4A",8,3,8,155304,1,1
"1884_006_Vis4AL_Home4A",8,3,8,155733,10,4
"1884_006_Vis4AL_Home4A",8,3,8,155799,0,5
"1884_006_Vis4AL_Home4A",9,3,9,171639,1,1
"1884_006_Vis4AL_Home4A",9,3,9,172101,0,5
"1884_006_Vis4AL_Home4A",9,3,9,172101,2,2
"1884_006_Vis4AL_Home4A",10,3,10,187215,1,1
"1884_006_Vis4AL_Home4A",10,3,10,187644,10,4
"1884_006_Vis4AL_Home4A",10,3,10,187677,0,5
"1884_006_Vis4AL_Home4A",11,3,11,205728,1,1
"1884_006_Vis4AL_Home4A",11,3,11,206289,2,2
"1884_006_Vis4AL_Home4A",11,3,11,206289,0,5
"1884_006_Vis4AL_Home4A",12,4,12,346308,1,1
"1884_006_Vis4AL_Home4A",12,4,12,346803,2,2
"1884_006_Vis4AL_Home4A",12,4,12,346803,0,5
"1884_006_Vis4AL_Home4A",13,4,13,358386,1,1
"1884_006_Vis4AL_Home4A",13,4,13,358881,0,5
"1884_006_Vis4AL_Home4A",13,4,13,358881,2,2
"1884_006_Vis4AL_Home4A",14,4,14,372279,1,1
"1884_006_Vis4AL_Home4A",14,4,14,372708,10,4
"1884_006_Vis4AL_Home4A",14,4,14,375249,7,2
"1884_006_Vis4AL_Home4A",14,4,14,375381,0,5
"1884_006_Vis4AL_Home4A",15,5,15,402540,1,1
"1884_006_Vis4AL_Home4A",15,5,15,403035,0,5
"1884_006_Vis4AL_Home4A",15,5,15,403035,2,2
"1884_006_Vis4AL_Home4A",16,5,16,413793,1,1
"1884_006_Vis4AL_Home4A",16,5,16,414288,10,4
"1884_006_Vis4AL_Home4A",16,5,16,414354,255,16
"1884_006_Vis4AL_Home4A",16,5,16,414948,255,16
"1884_006_Vis4AL_Home4A",16,5,16,415410,255,16
"1884_006_Vis4AL_Home4A",16,5,16,415839,255,16
"1884_006_Vis4AL_Home4A",16,5,16,416136,6,2
"1884_006_Vis4AL_Home4A",16,5,16,416928,6,3
"1884_006_Vis4AL_Home4A",16,5,16,418281,3,2
"1884_006_Vis4AL_Home4A",16,5,16,418809,0,5
"1884_006_Vis4AL_Home4A",17,6,17,444813,1,1
"1884_006_Vis4AL_Home4A",17,6,17,445275,0,5
"1884_006_Vis4AL_Home4A",17,6,17,445275,2,2
"1884_006_Vis4AL_Home4A",18,6,18,456099,1,1
"1884_006_Vis4AL_Home4A",18,6,18,456594,0,5
"1884_006_Vis4AL_Home4A",18,6,18,456594,2,2
"1884_006_Vis4AL_Home4A",19,6,19,467682,1,1
"1884_006_Vis4AL_Home4A",19,6,19,468111,10,4
"1884_006_Vis4AL_Home4A",19,6,19,468804,255,16
"1884_006_Vis4AL_Home4A",19,6,19,469332,255,16
"1884_006_Vis4AL_Home4A",19,6,19,469728,255,16
"1884_006_Vis4AL_Home4A",19,6,19,470256,255,16
"1884_006_Vis4AL_Home4A",19,6,19,471015,255,16
"1884_006_Vis4AL_Home4A",19,6,19,471939,8,2
"1884_006_Vis4AL_Home4A",19,6,19,473853,8,3
"1884_006_Vis4AL_Home4A",19,6,19,475371,255,16
