"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"1884_126_Vis4BC_Home4A",1,1,1,30146,1,1
"1884_126_Vis4BC_Home4A",1,1,1,30596,10,4
"1884_126_Vis4BC_Home4A",1,1,1,30646,0,5
"1884_126_Vis4BC_Home4A",2,1,2,46446,1,1
"1884_126_Vis4BC_Home4A",2,1,2,46996,10,4
"1884_126_Vis4BC_Home4A",2,1,2,47046,0,5
"1884_126_Vis4BC_Home4A",3,1,3,68446,1,1
"1884_126_Vis4BC_Home4A",3,1,3,68846,10,4
"1884_126_Vis4BC_Home4A",3,1,3,74146,5,2
"1884_126_Vis4BC_Home4A",3,1,3,74246,0,5
"1884_126_Vis4BC_Home4A",4,2,4,104846,1,1
"1884_126_Vis4BC_Home4A",4,2,4,105346,0,5
"1884_126_Vis4BC_Home4A",4,2,4,105346,2,2
"1884_126_Vis4BC_Home4A",5,2,5,117796,1,1
"1884_126_Vis4BC_Home4A",5,2,5,118296,2,2
"1884_126_Vis4BC_Home4A",5,2,5,118296,0,5
"1884_126_Vis4BC_Home4A",6,2,6,131046,1,1
"1884_126_Vis4BC_Home4A",6,2,6,131496,10,4
"1884_126_Vis4BC_Home4A",6,2,6,131546,0,5
"1884_126_Vis4BC_Home4A",7,2,7,148396,1,1
"1884_126_Vis4BC_Home4A",7,2,7,148896,0,5
"1884_126_Vis4BC_Home4A",7,2,7,148896,2,2
"1884_126_Vis4BC_Home4A",8,2,8,165596,1,1
"1884_126_Vis4BC_Home4A",8,2,8,165996,10,4
"1884_126_Vis4BC_Home4A",8,2,8,172346,8,2
"1884_126_Vis4BC_Home4A",8,2,8,172396,0,5
"1884_126_Vis4BC_Home4A",9,3,9,201096,1,1
"1884_126_Vis4BC_Home4A",9,3,9,201496,10,4
"1884_126_Vis4BC_Home4A",9,3,9,201546,0,5
"1884_126_Vis4BC_Home4A",10,3,10,218196,1,1
"1884_126_Vis4BC_Home4A",10,3,10,218696,2,2
"1884_126_Vis4BC_Home4A",10,3,10,218696,0,5
"1884_126_Vis4BC_Home4A",11,3,11,232146,1,1
"1884_126_Vis4BC_Home4A",11,3,11,232696,0,5
"1884_126_Vis4BC_Home4A",11,3,11,232696,2,2
"1884_126_Vis4BC_Home4A",12,3,12,250196,1,1
"1884_126_Vis4BC_Home4A",12,3,12,250646,10,4
"1884_126_Vis4BC_Home4A",12,3,12,250696,0,5
"1884_126_Vis4BC_Home4A",13,3,13,271346,1,1
"1884_126_Vis4BC_Home4A",13,3,13,271846,2,2
"1884_126_Vis4BC_Home4A",13,3,13,271846,0,5
"1884_126_Vis4BC_Home4A",14,3,14,288346,1,1
"1884_126_Vis4BC_Home4A",14,3,14,288796,10,4
"1884_126_Vis4BC_Home4A",14,3,14,289746,0,5
"1884_126_Vis4BC_Home4A",14,3,14,289746,5,2
"1884_126_Vis4BC_Home4A",15,4,15,432996,1,1
"1884_126_Vis4BC_Home4A",15,4,15,433446,10,4
"1884_126_Vis4BC_Home4A",15,4,15,433496,0,5
"1884_126_Vis4BC_Home4A",16,4,16,447146,1,1
"1884_126_Vis4BC_Home4A",16,4,16,447646,0,5
"1884_126_Vis4BC_Home4A",16,4,16,447646,2,2
"1884_126_Vis4BC_Home4A",17,4,17,459246,1,1
"1884_126_Vis4BC_Home4A",17,4,17,459746,0,5
"1884_126_Vis4BC_Home4A",17,4,17,459746,2,2
"1884_126_Vis4BC_Home4A",18,4,18,471596,1,1
"1884_126_Vis4BC_Home4A",18,4,18,471996,10,4
"1884_126_Vis4BC_Home4A",18,4,18,472046,0,5
"1884_126_Vis4BC_Home4A",19,4,19,495246,1,1
"1884_126_Vis4BC_Home4A",19,4,19,495746,2,2
"1884_126_Vis4BC_Home4A",19,4,19,495746,0,5
"1884_126_Vis4BC_Home4A",20,4,20,507446,1,1
"1884_126_Vis4BC_Home4A",20,4,20,507846,10,4
"1884_126_Vis4BC_Home4A",20,4,20,512796,7,2
"1884_126_Vis4BC_Home4A",20,4,20,512796,0,5
"1884_126_Vis4BC_Home4A",21,5,21,539746,1,1
