"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",1,1,1,"top",683,647,807,513,856,993,594,495,537,7377,NA,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",1,2,1,"top",683,647,807,513,856,993,594,495,537,7377,NA,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",1,3,1,"top",683,647,807,513,856,993,594,495,537,7377,NA,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",1,4,1,"top",683,647,807,513,856,993,594,495,537,7377,NA,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",2,5,1,"top",683,647,807,513,856,993,594,495,537,4944,NA,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",2,6,1,"top",683,647,807,513,856,993,594,495,537,4944,NA,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",2,7,1,"top",683,647,807,513,856,993,594,495,537,4944,NA,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",2,8,1,"top",683,647,807,513,856,993,594,495,537,4944,NA,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",3,9,1,"top",683,647,807,513,856,993,594,495,537,6129,NA,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",3,10,1,"top",683,647,807,513,856,993,594,495,537,6129,NA,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",3,11,1,"top",683,647,807,513,856,993,594,495,537,6129,NA,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",3,12,1,"top",683,647,807,513,856,993,594,495,537,6129,NA,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",4,13,1,"top",683,647,807,513,856,993,594,495,537,9048,6129,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",4,14,1,"top",683,647,807,513,856,993,594,495,537,9048,6129,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",4,15,1,"top",683,647,807,513,856,993,594,495,537,9048,6129,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",5,16,1,"top",683,647,807,513,856,993,594,495,537,7133,NA,9048,6129
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",5,17,1,"top",683,647,807,513,856,993,594,495,537,7133,NA,9048,6129
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",5,18,1,"top",683,647,807,513,856,993,594,495,537,7133,NA,9048,6129
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",5,19,1,"top",683,647,807,513,856,993,594,495,537,7133,NA,9048,6129
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",5,20,1,"top",683,647,807,513,856,993,594,495,537,7133,NA,9048,6129
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",5,21,1,"top",683,647,807,513,856,993,594,495,537,7133,NA,9048,6129
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",5,22,1,"top",683,647,807,513,856,993,594,495,537,7133,NA,9048,6129
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",6,23,1,"bottom",9441,9048,7133,7084,6129,2356,4944,7377,7464,993,NA,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",7,24,1,"bottom",9441,9048,7133,7084,6129,2356,4944,7377,7464,495,NA,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",7,25,1,"bottom",9441,9048,7133,7084,6129,2356,4944,7377,7464,495,NA,NA,NA
"1883_003_Vis1AB_Home1A","Home1A","Vis1AB",7,26,1,"bottom",9441,9048,7133,7084,6129,2356,4944,7377,7464,495,NA,NA,NA
