"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",1,1,1,"top",642,647,702,394,798,993,637,651,975,9340,NA,NA,NA
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",1,2,1,"top",642,647,702,394,798,993,637,651,975,9340,NA,NA,NA
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",NA,3,0,"",923,647,702,394,798,993,637,651,975,3282,9340,NA,NA
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",2,4,1,"top",642,647,702,394,798,993,637,651,975,3282,9340,NA,NA
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",2,5,1,"top",642,647,702,394,798,993,637,651,975,3282,9340,NA,NA
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",3,6,1,"top",923,647,702,394,798,993,637,651,975,3244,3282,9340,NA
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",3,7,1,"top",923,647,702,394,798,993,637,651,975,3244,3282,9340,NA
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",3,8,1,"top",923,647,702,394,798,993,637,651,975,3244,3282,9340,NA
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",3,9,1,"top",923,647,702,394,798,993,637,651,975,3244,3282,9340,NA
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",4,10,1,"top",923,647,702,394,798,993,637,651,975,7004,3282,9340,NA
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",4,11,1,"top",923,647,702,394,798,993,637,651,975,7004,3282,9340,NA
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",4,12,1,"top",923,647,702,394,798,993,637,651,975,7004,3282,9340,NA
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",4,13,1,"top",923,647,702,394,798,993,637,651,975,7004,3282,9340,NA
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",4,14,1,"top",923,647,702,394,798,993,637,651,975,7004,3282,9340,NA
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",4,15,1,"top",923,647,702,394,798,993,637,651,975,7004,3282,9340,NA
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",5,16,1,"top",923,647,702,394,798,993,637,651,975,6073,NA,3282,9340
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",5,17,1,"top",923,647,702,394,798,993,637,651,975,6073,NA,3282,9340
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",5,18,1,"top",923,647,702,394,798,993,637,651,975,6073,NA,3282,9340
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",5,19,1,"top",923,647,702,394,798,993,637,651,975,6073,NA,3282,9340
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",6,20,1,"top",923,647,702,394,798,993,637,651,975,4761,6073,3282,9340
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",6,21,1,"top",923,647,702,394,798,993,637,651,975,4761,6073,3282,9340
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",6,22,1,"top",923,647,702,394,798,993,637,651,975,4761,6073,3282,9340
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",6,23,1,"top",923,647,702,394,798,993,637,651,975,4761,6073,3282,9340
"1883_035_Vis2AC_Home2A","Home2A","Vis2AC",7,24,1,"bottom",8415,6073,7004,8585,3409,3282,3244,9340,4761,993,NA,NA,NA
