"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",1,1,1,"top",322,544,702,394,442,334,637,827,975,4653,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",1,2,1,"top",322,544,702,394,442,334,637,827,975,4653,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",1,3,1,"top",322,544,702,394,442,334,637,827,975,4653,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",1,4,1,"top",322,544,702,394,442,334,637,827,975,4653,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",1,5,1,"top",322,544,702,394,442,334,637,827,975,4653,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",2,6,1,"top",322,544,702,394,442,334,637,827,975,2036,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",2,7,1,"top",322,544,702,394,442,334,637,827,975,2036,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",2,8,1,"top",322,544,702,394,442,334,637,827,975,2036,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",2,9,1,"top",322,544,702,394,442,334,637,827,975,2036,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",2,10,1,"top",322,544,702,394,442,334,637,827,975,2036,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",3,11,1,"top",322,544,702,394,442,334,637,827,975,3819,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",3,12,1,"top",322,544,702,394,442,334,637,827,975,3819,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",3,13,1,"top",322,544,702,394,442,334,637,827,975,3819,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",3,14,1,"top",322,544,702,394,442,334,637,827,975,3819,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",4,15,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,334,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",4,16,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,334,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",4,17,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,334,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",4,18,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,334,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",4,19,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,334,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",5,20,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,442,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",5,21,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,442,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",5,22,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,442,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",5,23,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,442,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",5,24,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,442,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",6,25,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,975,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",6,26,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,975,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",6,27,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,975,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",6,28,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,975,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",6,29,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,975,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",7,30,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,798,975,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",7,31,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,798,NA,975,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",7,32,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,798,NA,975,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",7,33,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,798,NA,975,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",7,34,1,"bottom",2280,2758,3819,9967,2134,3145,2106,2036,4653,798,NA,975,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",8,35,2,"top",322,544,702,394,442,334,637,827,975,4510,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",8,36,2,"top",322,544,702,394,442,334,637,827,975,4510,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",8,37,2,"top",322,544,702,394,442,334,637,827,975,4510,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",8,38,2,"top",322,544,702,394,442,334,637,827,975,4510,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",8,39,2,"top",322,544,702,394,442,334,637,827,975,4510,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",8,40,2,"top",322,544,702,394,442,334,637,827,975,4510,NA,NA,NA
"1883_041.5_Vis2AD_Home2A","Home2A","Vis2AD",8,41,2,"top",322,544,702,394,442,334,637,827,975,4510,NA,NA,NA
