"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",1,1,1,"top",308,647,442,394,798,993,637,827,975,6824,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",1,2,1,"top",308,647,442,394,798,993,637,827,975,6824,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",1,3,1,"top",308,647,442,394,798,993,637,827,975,6824,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",1,4,1,"top",308,647,442,394,798,993,637,827,975,6824,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",2,5,1,"top",308,647,442,394,798,993,637,827,975,7520,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",3,6,1,"top",308,647,442,394,798,993,637,827,975,3704,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",3,7,1,"top",308,647,442,394,798,993,637,827,975,3704,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",3,8,1,"top",308,647,442,394,798,993,637,827,975,3704,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",3,9,1,"top",308,647,442,394,798,993,637,827,975,3704,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",4,10,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,993,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",4,11,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,993,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",4,12,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,993,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",4,13,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,993,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",4,14,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,993,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",4,15,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,993,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",5,16,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,442,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",5,17,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,442,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",5,18,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,442,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",6,19,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,975,442,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",6,20,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,975,NA,442,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",6,21,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,975,NA,442,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",6,22,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,975,NA,442,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",6,23,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,975,NA,442,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",6,24,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,975,NA,442,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",7,25,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,798,975,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",7,26,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,798,975,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",7,27,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,798,975,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",NA,28,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",8,29,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,637,975,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",8,30,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,637,975,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",8,31,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,637,975,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",8,32,1,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,637,NA,975,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",9,33,2,"top",308,647,442,394,798,993,637,827,975,7139,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",9,34,2,"top",308,647,442,394,798,993,637,827,975,7139,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",10,35,2,"top",308,647,442,394,798,993,637,827,975,8007,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",11,36,2,"top",308,647,442,394,798,993,637,827,975,9834,8007,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",11,37,2,"top",308,647,442,394,798,993,637,827,975,9834,8007,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",11,38,2,"top",308,647,442,394,798,993,637,827,975,9834,8007,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",11,39,2,"top",308,647,442,394,798,993,637,827,975,9834,8007,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",11,40,2,"top",308,647,442,394,798,993,637,827,975,9834,8007,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",11,41,2,"top",308,647,442,394,798,993,637,827,975,9834,8007,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",12,42,2,"top",308,647,442,394,798,993,637,827,975,3981,9834,8007,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",12,43,2,"top",308,647,442,394,798,993,637,827,975,3981,9834,8007,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",12,44,2,"top",308,647,442,394,798,993,637,827,975,3981,9834,8007,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",12,45,2,"top",308,647,442,394,798,993,637,827,975,3981,9834,8007,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",13,46,2,"top",308,647,442,394,798,993,637,827,975,3092,9834,8007,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",14,47,2,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,334,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",14,48,2,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,334,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",14,49,2,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,334,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",15,50,2,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,394,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",15,51,2,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,394,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",15,52,2,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,394,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",15,53,2,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,394,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",15,54,2,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,394,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",15,55,2,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,394,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",16,56,2,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,827,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",16,57,2,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,827,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",16,58,2,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,827,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",16,59,2,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,827,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",16,60,2,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,827,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",17,61,3,"top",308,647,442,394,798,993,637,827,975,9318,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",18,62,3,"top",308,647,442,394,798,993,637,827,975,6824,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",18,63,3,"top",308,647,442,394,798,993,637,827,975,6824,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",18,64,3,"top",308,647,442,394,798,993,637,827,975,6824,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",18,65,3,"top",308,647,442,394,798,993,637,827,975,6824,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",18,66,3,"top",308,647,442,394,798,993,637,827,975,6824,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",18,67,3,"top",308,647,442,394,798,993,637,827,975,6824,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",19,68,3,"top",308,647,442,394,798,993,637,827,975,7520,6824,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",19,69,3,"top",308,647,442,394,798,993,637,827,975,7520,6824,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",NA,70,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",19,71,3,"top",308,647,442,394,798,993,637,827,975,7520,6824,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",19,72,3,"top",308,647,442,394,798,993,637,827,975,7520,6824,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",20,73,3,"top",308,647,442,394,798,993,637,827,975,3704,7520,6824,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",20,74,3,"top",308,647,442,394,798,993,637,827,975,3704,NA,7520,6824
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",21,75,3,"top",308,647,442,394,798,993,637,827,975,7139,NA,NA,7520
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",21,76,3,"top",308,647,442,394,798,993,637,827,975,7139,NA,NA,7520
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",22,77,3,"top",308,647,442,394,798,993,637,827,975,8007,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",22,78,3,"top",308,647,442,394,798,993,637,827,975,8007,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",22,79,3,"top",308,647,442,394,798,993,637,827,975,8007,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",22,80,3,"top",308,647,442,394,798,993,637,827,975,8007,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",23,81,3,"top",308,647,442,394,798,993,637,827,975,9834,8007,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",23,82,3,"top",308,647,442,394,798,993,637,827,975,9834,8007,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",23,83,3,"top",308,647,442,394,798,993,637,827,975,9834,8007,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",23,84,3,"top",308,647,442,394,798,993,637,827,975,9834,8007,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",23,85,3,"top",308,647,442,394,798,993,637,827,975,9834,8007,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",24,86,3,"top",308,647,442,394,798,993,637,827,975,3981,9834,8007,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",24,87,3,"top",308,647,442,394,798,993,637,827,975,3981,9834,8007,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",25,88,3,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,647,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",25,89,3,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,647,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",25,90,3,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,647,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",25,91,3,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,647,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",26,92,3,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,993,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",26,93,3,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,993,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",26,94,3,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,993,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",26,95,3,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,993,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",26,96,3,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,993,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",26,97,3,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,993,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",26,98,3,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,993,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",26,99,3,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,993,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",26,100,3,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,993,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",27,101,3,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,442,993,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",28,102,4,"top",308,647,442,394,798,993,637,827,975,3092,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",28,103,4,"top",308,647,442,394,798,993,637,827,975,3092,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",28,104,4,"top",308,647,442,394,798,993,637,827,975,3092,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",28,105,4,"top",308,647,442,394,798,993,637,827,975,3092,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",28,106,4,"top",308,647,442,394,798,993,637,827,975,3092,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",28,107,4,"top",308,647,442,394,798,993,637,827,975,3092,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",29,108,4,"top",308,647,442,394,798,993,637,827,975,9318,3092,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",NA,109,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",29,110,4,"top",308,647,442,394,798,993,637,827,975,9318,3092,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",29,111,4,"top",308,647,442,394,798,993,637,827,975,9318,3092,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",29,112,4,"top",308,647,442,394,798,993,637,827,975,9318,3092,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",29,113,4,"top",308,647,442,394,798,993,637,827,975,9318,3092,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",30,114,4,"top",308,647,442,394,798,993,637,827,975,6824,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",30,115,4,"top",308,647,442,394,798,993,637,827,975,6824,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",30,116,4,"top",308,647,442,394,798,993,637,827,975,6824,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",31,117,4,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,975,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",31,118,4,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,975,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",31,119,4,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,975,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",32,120,4,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,798,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",32,121,4,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,798,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",32,122,4,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,798,NA,NA,NA
"1883_047.5_Vis2AE_Home2A","Home2A","Vis2AE",32,123,4,"bottom",8880,9834,8007,9318,3092,7520,3704,6824,3981,798,NA,NA,NA
