"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",1,1,1,"top",645,920,547,337,769,345,427,461,460,9554,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",2,2,1,"top",645,920,547,337,769,345,427,461,460,7277,NA,9554,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",2,3,1,"top",645,920,547,337,769,345,427,461,460,7277,NA,9554,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",2,4,1,"top",645,920,547,337,769,345,427,461,460,7277,NA,9554,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",3,5,1,"top",645,920,547,337,769,345,427,461,460,6664,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",3,6,1,"top",645,920,547,337,769,345,427,461,460,6664,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",3,7,1,"top",645,920,547,337,769,345,427,461,460,6664,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",4,8,1,"top",645,920,547,337,769,345,427,461,460,7875,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",4,9,1,"top",645,920,547,337,769,345,427,461,460,7875,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",5,10,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,345,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",5,11,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,345,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",5,12,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,345,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",6,13,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,337,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",6,14,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,337,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",6,15,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,337,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",6,16,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,337,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",6,17,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,337,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",7,18,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,427,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",7,19,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,427,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",7,20,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,427,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",8,21,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,769,427,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",8,22,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,769,427,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",8,23,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,769,427,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",8,24,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,769,427,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",8,25,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,769,427,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",9,26,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,547,769,NA,427
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",9,27,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,547,769,NA,427
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",9,28,1,"bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",9,29,1,"bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",9,30,1,"bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",9,31,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,547,769,NA,427
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",9,32,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,547,769,NA,427
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",9,33,1,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,547,769,NA,427
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",10,34,2,"top",645,920,547,337,769,345,427,461,460,5683,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",10,35,2,"top",645,920,547,337,769,345,427,461,460,5683,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",10,36,2,"top",645,920,547,337,769,345,427,461,460,5683,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",11,37,2,"top",645,920,547,337,769,345,427,461,460,4134,5683,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",11,38,2,"top",645,920,547,337,769,345,427,461,460,4134,5683,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",11,39,2,"top",645,920,547,337,769,345,427,461,460,4134,5683,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",11,40,2,"top",645,920,547,337,769,345,427,461,460,4134,5683,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",11,41,2,"top",645,920,547,337,769,345,427,461,460,4134,5683,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",11,42,2,"top",645,920,547,337,769,345,427,461,460,4134,5683,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",11,43,2,"top",645,920,547,337,769,345,427,461,460,4134,5683,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",11,44,2,"top",645,920,547,337,769,345,427,461,460,4134,5683,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",12,45,2,"top",645,920,547,337,769,345,427,461,460,6694,4134,NA,5683
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",12,46,2,"top",645,920,547,337,769,345,427,461,460,6694,4134,NA,5683
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",12,47,2,"top",645,920,547,337,769,345,427,461,460,6694,4134,NA,5683
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",13,48,2,"top",645,920,547,337,769,345,427,461,460,3252,NA,4134,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",13,49,2,"top",645,920,547,337,769,345,427,461,460,3252,NA,4134,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",14,50,2,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,547,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",14,51,2,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,547,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",14,52,2,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,547,NA,NA,NA
"1883_043_Vis3AF_Home3A","Home3A","Vis3AF",14,53,2,"bottom",6366,4134,7277,7875,6664,3714,9554,3252,5683,547,NA,NA,NA
