"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",1,1,1,"top",983,652,991,586,721,636,467,624,383,2173,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",1,2,1,"top",983,652,991,586,721,636,467,624,383,2173,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",2,3,1,"top",983,652,991,586,721,636,467,624,383,5146,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",2,4,1,"top",983,652,991,586,721,636,467,624,383,5146,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",2,5,1,"top",983,652,991,586,721,636,467,624,383,5146,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",2,6,1,"top",983,652,991,586,721,636,467,624,383,5146,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",2,7,1,"top",983,652,991,586,721,636,467,624,383,5146,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",3,8,1,"top",983,652,991,586,721,636,467,624,383,7431,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",3,9,1,"top",983,652,991,586,721,636,467,624,383,7431,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",3,10,1,"top",983,652,991,586,721,636,467,624,383,7431,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",3,11,1,"top",983,652,991,586,721,636,467,624,383,7431,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",4,12,1,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,624,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",4,13,1,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,624,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",4,14,1,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,624,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",5,15,1,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,636,624,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",NA,16,0,"",9832,4741,9603,5146,8622,2755,5882,2173,7420,636,624,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",5,17,1,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,636,624,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",6,18,1,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,467,624,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",NA,19,0,"",9832,4741,9603,5146,8622,2755,5882,2173,7420,467,624,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",6,20,1,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,467,624,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",NA,21,0,"",9832,4741,9603,5146,8622,2755,5882,2173,7420,467,624,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",6,22,1,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,467,624,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",6,23,1,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,467,624,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",NA,24,0,"",9832,4741,9603,5146,8622,2755,5882,2173,7420,467,624,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",6,25,1,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,467,624,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",6,26,1,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,467,NA,624,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",7,27,1,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,383,NA,624,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",7,28,1,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,383,NA,624,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",8,29,2,"top",983,652,991,586,721,636,467,624,383,5882,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",8,30,2,"top",983,652,991,586,721,636,467,624,383,5882,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",8,31,2,"top",983,652,991,586,721,636,467,624,383,5882,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",8,32,2,"top",983,652,991,586,721,636,467,624,383,5882,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",8,33,2,"top",983,652,991,586,721,636,467,624,383,5882,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",8,34,2,"top",983,652,991,586,721,636,467,624,383,5882,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",8,35,2,"top",983,652,991,586,721,636,467,624,383,5882,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",9,36,2,"top",983,652,991,586,721,636,467,624,383,4741,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",9,37,2,"top",983,652,991,586,721,636,467,624,383,4741,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",9,38,2,"top",983,652,991,586,721,636,467,624,383,4741,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",10,39,2,"top",983,652,991,586,721,636,467,624,383,9603,4741,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",10,40,2,"top",983,652,991,586,721,636,467,624,383,9603,4741,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",10,41,2,"top",983,652,991,586,721,636,467,624,383,9603,4741,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",10,42,2,"top",983,652,991,586,721,636,467,624,383,9603,NA,4741,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",10,43,2,"top",983,652,991,586,721,636,467,624,383,9603,NA,4741,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",10,44,2,"top",983,652,991,586,721,636,467,624,383,9603,NA,4741,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",10,45,2,"top",983,652,991,586,721,636,467,624,383,9603,NA,4741,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",11,46,2,"top",983,652,991,586,721,636,467,624,383,8622,NA,4741,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",11,47,2,"top",983,652,991,586,721,636,467,624,383,8622,NA,4741,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",12,48,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,409,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",12,49,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,409,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",12,50,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,409,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",12,51,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,409,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",12,52,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,409,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",13,53,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,991,409,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",14,54,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,652,991,409,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",14,55,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,652,991,409,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",14,56,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,652,991,409,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",14,57,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,652,NA,991,409
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",14,58,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,652,NA,991,409
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",14,59,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,652,NA,991,409
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",15,60,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,586,652,NA,991
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",15,61,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,586,652,NA,991
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",15,62,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,586,652,NA,991
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",15,63,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,586,652,NA,991
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",16,64,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,721,NA,652,991
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",16,65,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,721,NA,652,991
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",16,66,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,721,NA,652,991
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",16,67,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,721,NA,652,991
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",17,68,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,624,NA,NA,721
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",17,69,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,624,NA,NA,721
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",17,70,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,624,NA,NA,721
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",18,71,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,636,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",18,72,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,636,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",18,73,2,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,636,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",19,74,3,"top",983,652,991,586,721,636,467,624,383,7420,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",19,75,3,"top",983,652,991,586,721,636,467,624,383,7420,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",19,76,3,"top",983,652,991,586,721,636,467,624,383,7420,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",20,77,3,"top",983,652,991,586,721,636,467,624,383,2755,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",20,78,3,"top",983,652,991,586,721,636,467,624,383,2755,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",20,79,3,"top",983,652,991,586,721,636,467,624,383,2755,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",21,80,3,"top",983,652,991,586,721,636,467,624,383,2173,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",21,81,3,"top",983,652,991,586,721,636,467,624,383,2173,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",21,82,3,"top",983,652,991,586,721,636,467,624,383,2173,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",21,83,3,"top",983,652,991,586,721,636,467,624,383,2173,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",21,84,3,"top",983,652,991,586,721,636,467,624,383,2173,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",21,85,3,"top",983,652,991,586,721,636,467,624,383,2173,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",NA,86,0,"",983,652,991,586,721,636,467,624,383,5146,2173,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",22,87,3,"top",983,652,991,586,721,636,467,624,383,5146,2173,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",NA,88,0,"",983,652,991,586,721,636,467,624,383,5146,2173,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",22,89,3,"top",983,652,991,586,721,636,467,624,383,5146,2173,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",22,90,3,"top",983,652,991,586,721,636,467,624,383,5146,2173,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",NA,91,0,"",983,652,991,586,721,636,467,624,383,5146,2173,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",22,92,3,"top",983,652,991,586,721,636,467,624,383,5146,2173,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",22,93,3,"top",983,652,991,586,721,636,467,624,383,5146,2173,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",23,94,3,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,467,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",23,95,3,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,467,NA,NA,NA
"1883_009_Vis4AD_Home4A","Home4A","Vis4AD",23,96,3,"bottom",9832,4741,9603,5146,8622,2755,5882,2173,7420,467,NA,NA,NA
