"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_009.5_Vis1AK_Home1A","Home1A","Vis1AK",4,1,1,"bottom",5991,2712,8466,4794,7908,2819,8034,5599,8743,753,NA,NA,NA
"1884_009.5_Vis1AK_Home1A","Home1A","Vis1AK",5,2,1,"bottom",5991,2712,8466,4794,7908,2819,8034,5599,8743,963,NA,NA,NA
"1884_009.5_Vis1AK_Home1A","Home1A","Vis1AK",5,3,1,"bottom",5991,2712,8466,4794,7908,2819,8034,5599,8743,963,NA,NA,NA
"1884_009.5_Vis1AK_Home1A","Home1A","Vis1AK",5,4,1,"bottom",5991,2712,8466,4794,7908,2819,8034,5599,8743,963,NA,NA,NA
"1884_009.5_Vis1AK_Home1A","Home1A","Vis1AK",5,5,1,"bottom",5991,2712,8466,4794,7908,2819,8034,5599,8743,963,NA,NA,NA
"1884_009.5_Vis1AK_Home1A","Home1A","Vis1AK",5,6,1,"bottom",5991,2712,8466,4794,7908,2819,8034,5599,8743,963,NA,NA,NA
"1884_009.5_Vis1AK_Home1A","Home1A","Vis1AK",5,7,1,"bottom",5991,2712,8466,4794,7908,2819,8034,5599,8743,963,NA,NA,NA
"1884_009.5_Vis1AK_Home1A","Home1A","Vis1AK",5,8,1,"bottom",5991,2712,8466,4794,7908,2819,8034,5599,8743,963,NA,NA,NA
"1884_009.5_Vis1AK_Home1A","Home1A","Vis1AK",5,9,1,"bottom",5991,2712,8466,4794,7908,2819,8034,5599,8743,963,NA,NA,NA
"1884_009.5_Vis1AK_Home1A","Home1A","Vis1AK",5,10,1,"bottom",5991,2712,8466,4794,7908,2819,8034,5599,8743,963,NA,NA,NA
"1884_009.5_Vis1AK_Home1A","Home1A","Vis1AK",6,11,1,"bottom",5991,2712,8466,4794,7908,2819,8034,5599,8743,626,NA,NA,NA
"1884_009.5_Vis1AK_Home1A","Home1A","Vis1AK",7,12,1,"bottom",5991,2712,8466,4794,7908,2819,8034,5599,8743,598,626,NA,NA
"1884_009.5_Vis1AK_Home1A","Home1A","Vis1AK",7,13,1,"bottom",5991,2712,8466,4794,7908,2819,8034,5599,8743,598,626,NA,NA
"1884_009.5_Vis1AK_Home1A","Home1A","Vis1AK",8,14,1,"bottom",5991,2712,8466,4794,7908,2819,8034,5599,8743,630,NA,598,NA
"1884_009.5_Vis1AK_Home1A","Home1A","Vis1AK",9,15,1,"bottom",5991,2712,8466,4794,7908,2819,8034,5599,8743,892,NA,630,NA
"1884_009.5_Vis1AK_Home1A","Home1A","Vis1AK",9,16,1,"bottom",5991,2712,8466,4794,7908,2819,8034,5599,8743,892,NA,630,NA
