"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",1,1,1,"top",814,598,877,753,630,626,892,963,435,3378,NA,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",1,2,1,"top",814,598,877,753,630,626,892,963,435,3378,NA,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",1,3,1,"top",814,598,877,753,630,626,892,963,435,3378,NA,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",1,4,1,"top",814,598,877,753,630,626,892,963,435,3378,NA,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",2,5,1,"top",814,598,877,753,630,626,892,963,435,9893,NA,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",2,6,1,"top",814,598,877,753,630,626,892,963,435,9893,NA,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",3,7,1,"top",814,598,877,753,630,626,892,963,435,8659,NA,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",3,8,1,"top",814,598,877,753,630,626,892,963,435,8659,NA,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",3,9,1,"top",814,598,877,753,630,626,892,963,435,8659,NA,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",3,10,1,"top",814,598,877,753,630,626,892,963,435,8659,NA,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",4,11,1,"top",814,598,877,753,630,626,892,963,435,8509,8659,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",4,12,1,"top",814,598,877,753,630,626,892,963,435,8509,8659,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",4,13,1,"top",814,598,877,753,630,626,892,963,435,8509,8659,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",4,14,1,"top",814,598,877,753,630,626,892,963,435,8509,8659,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",5,15,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,753,NA,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",5,16,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,753,NA,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",5,17,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,753,NA,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",5,18,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,753,NA,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",5,19,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,753,NA,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",6,20,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,630,753,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",6,21,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,630,753,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",6,22,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,630,753,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",6,23,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,630,753,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",6,24,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,630,753,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",6,25,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,630,NA,753,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",6,26,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,630,NA,NA,753
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",6,27,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,630,NA,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",7,28,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,626,630,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",7,29,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,626,630,NA,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",8,30,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,639,NA,626,630
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",8,31,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,639,NA,626,630
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",8,32,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,639,NA,626,630
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",8,33,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,639,NA,626,630
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",8,34,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,639,NA,626,630
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",8,35,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,639,NA,626,630
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",8,36,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,639,NA,626,630
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",8,37,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,639,NA,626,630
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",9,38,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,598,NA,626,630
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",9,39,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,598,NA,626,630
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",9,40,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,598,NA,626,630
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",10,41,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,892,NA,598,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",10,42,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,892,NA,598,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",10,43,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,892,NA,598,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",11,44,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,877,NA,598,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",11,45,1,"bottom",8231,8509,5838,7712,8659,9893,3378,2158,4938,877,NA,598,NA
"1884_017.5_Vis1AL_Home1A","Home1A","Vis1AL",12,46,2,"top",814,598,877,753,630,626,892,963,435,5838,NA,NA,NA
