"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",1,1,1,"top",741,598,877,753,856,630,892,963,435,2052,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",2,2,1,"top",741,598,877,753,856,630,892,963,435,8537,2052,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",2,3,1,"top",741,598,877,753,856,630,892,963,435,8537,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",2,4,1,"top",741,598,877,753,856,630,892,963,435,8537,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",2,5,1,"top",741,598,877,753,856,630,892,963,435,8537,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",2,6,1,"top",741,598,877,753,856,630,892,963,435,8537,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",3,7,1,"top",741,598,877,753,856,630,892,963,435,7626,8537,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",3,8,1,"top",741,598,877,753,856,630,892,963,435,7626,8537,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",3,9,1,"top",741,598,877,753,856,630,892,963,435,7626,8537,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",3,10,1,"top",741,598,877,753,856,630,892,963,435,7626,8537,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",4,11,1,"top",741,598,877,753,856,630,892,963,435,4816,7626,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",4,12,1,"top",741,598,877,753,856,630,892,963,435,4816,7626,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",4,13,1,"top",741,598,877,753,856,630,892,963,435,4816,7626,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",5,14,1,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,753,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",5,15,1,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,753,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",5,16,1,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,753,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",6,17,1,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,626,NA,753,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",6,18,1,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,626,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",6,19,1,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,626,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",6,20,1,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,626,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",7,21,1,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,630,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",7,22,1,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,630,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",7,23,1,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,630,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",8,24,1,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,598,630,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",8,25,1,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,598,630,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",8,26,1,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,598,630,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",8,27,1,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,598,630,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",9,28,2,"top",741,598,877,753,856,630,892,963,435,6908,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",9,29,2,"top",741,598,877,753,856,630,892,963,435,6908,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",9,30,2,"top",741,598,877,753,856,630,892,963,435,6908,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",9,31,2,"top",741,598,877,753,856,630,892,963,435,6908,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",9,32,2,"top",741,598,877,753,856,630,892,963,435,6908,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",10,33,2,"top",741,598,877,753,856,630,892,963,435,3333,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",10,34,2,"top",741,598,877,753,856,630,892,963,435,3333,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",10,35,2,"top",741,598,877,753,856,630,892,963,435,3333,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",10,36,2,"top",741,598,877,753,856,630,892,963,435,3333,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",10,37,2,"top",741,598,877,753,856,630,892,963,435,3333,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",10,38,2,"top",741,598,877,753,856,630,892,963,435,3333,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",11,39,2,"top",741,598,877,753,856,630,892,963,435,7184,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",12,40,2,"top",741,598,877,753,856,630,892,963,435,9878,NA,7184,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",12,41,2,"top",741,598,877,753,856,630,892,963,435,9878,NA,7184,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",12,42,2,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",13,43,2,"top",741,598,877,753,856,630,892,963,435,7588,9878,7184,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",13,44,2,"top",741,598,877,753,856,630,892,963,435,7588,9878,7184,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",13,45,2,"top",741,598,877,753,856,630,892,963,435,7588,9878,7184,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",14,46,2,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,892,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",14,47,2,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,892,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",14,48,2,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,892,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",14,49,2,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,892,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",14,50,2,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,892,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",15,51,2,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,877,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",15,52,2,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,877,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",15,53,2,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,877,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",15,54,2,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,877,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",15,55,2,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,877,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",16,56,2,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,963,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",16,57,2,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,963,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",16,58,2,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,963,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",16,59,2,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,963,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",16,60,2,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,963,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",16,61,2,"bottom",6926,7184,7626,8537,9878,7588,3333,2052,4816,963,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",17,62,3,"top",741,598,877,753,856,630,892,963,435,2052,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",18,63,3,"top",741,598,877,753,856,630,892,963,435,8537,NA,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",19,64,3,"top",741,598,877,753,856,630,892,963,435,7626,8537,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",19,65,3,"top",741,598,877,753,856,630,892,963,435,7626,8537,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",19,66,3,"top",741,598,877,753,856,630,892,963,435,7626,8537,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",20,67,3,"top",741,598,877,753,856,630,892,963,435,4816,8537,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",20,68,3,"top",741,598,877,753,856,630,892,963,435,4816,8537,NA,NA
"1884_044.5_Vis1AP_Home1A","Home1A","Vis1AP",20,69,3,"top",741,598,877,753,856,630,892,963,435,4816,8537,NA,NA
