"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",1,1,1,"top",523,598,423,753,856,630,892,963,435,8337,NA,NA,NA
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",1,2,1,"top",523,598,423,753,856,630,892,963,435,8337,NA,NA,NA
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",1,3,1,"top",523,598,423,753,856,630,892,963,435,8337,NA,NA,NA
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",2,4,1,"top",523,598,423,753,856,630,892,963,435,9966,NA,NA,NA
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",2,5,1,"top",523,598,423,753,856,630,892,963,435,9966,NA,NA,NA
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",2,6,1,"top",523,598,423,753,856,630,892,963,435,9966,NA,NA,NA
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",2,7,1,"top",523,598,423,753,856,630,892,963,435,9966,NA,NA,NA
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",3,8,1,"top",523,598,423,753,856,630,892,963,435,2560,9966,NA,NA
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",3,9,1,"top",523,598,423,753,856,630,892,963,435,2560,9966,NA,NA
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",3,10,1,"top",523,598,423,753,856,630,892,963,435,2560,9966,NA,NA
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",3,11,1,"top",523,598,423,753,856,630,892,963,435,2560,9966,NA,NA
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",4,12,1,"top",523,598,423,753,856,630,892,963,435,3471,2560,NA,9966
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",4,13,1,"top",523,598,423,753,856,630,892,963,435,3471,2560,NA,9966
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",4,14,1,"top",523,598,423,753,856,630,892,963,435,3471,2560,NA,9966
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",4,15,1,"top",523,598,423,753,856,630,892,963,435,3471,2560,NA,9966
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",4,16,1,"top",523,598,423,753,856,630,892,963,435,3471,2560,NA,9966
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",4,17,1,"top",523,598,423,753,856,630,892,963,435,3471,2560,NA,9966
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",5,18,1,"bottom",2455,5900,9966,9473,5898,8337,3471,9919,2560,753,NA,NA,NA
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",5,19,1,"bottom",2455,5900,9966,9473,5898,8337,3471,9919,2560,753,NA,NA,NA
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",5,20,1,"bottom",2455,5900,9966,9473,5898,8337,3471,9919,2560,753,NA,NA,NA
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",5,21,1,"bottom",2455,5900,9966,9473,5898,8337,3471,9919,2560,753,NA,NA,NA
"1884_060_Vis1AS_Home1A","Home1A","Vis1AS",5,22,1,"bottom",2455,5900,9966,9473,5898,8337,3471,9919,2560,753,NA,NA,NA
