"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",1,1,1,"top",364,953,877,423,959,626,435,787,892,3103,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",1,2,1,"top",364,953,877,423,959,626,435,787,892,3103,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",2,3,1,"top",364,953,877,423,959,626,435,787,892,6665,3103,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",3,4,1,"top",364,953,877,423,959,626,435,787,892,7704,3103,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",3,5,1,"top",364,953,877,423,959,626,435,787,892,7704,3103,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",3,6,1,"top",364,953,877,423,959,626,435,787,892,7704,3103,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",3,7,1,"top",364,953,877,423,959,626,435,787,892,7704,3103,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",3,8,1,"top",364,953,877,423,959,626,435,787,892,7704,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",3,9,1,"top",364,953,877,423,959,626,435,787,892,7704,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",4,10,1,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,626,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",4,11,1,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,626,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",4,12,1,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,626,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",4,13,1,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,626,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",4,14,1,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,626,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",5,15,1,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,892,626,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",5,16,1,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,892,626,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",5,17,1,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,892,626,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",5,18,1,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,892,626,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",5,19,1,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,892,626,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",5,20,1,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,892,626,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",5,21,1,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,892,626,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",6,22,1,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,423,626,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",6,23,1,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,423,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",6,24,1,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,423,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",7,25,2,"top",364,953,877,423,959,626,435,787,892,2018,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",8,26,2,"top",364,953,877,423,959,626,435,787,892,2982,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",8,27,2,"top",364,953,877,423,959,626,435,787,892,2982,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",8,28,2,"top",364,953,877,423,959,626,435,787,892,2982,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",8,29,2,"top",364,953,877,423,959,626,435,787,892,2982,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",8,30,2,"top",364,953,877,423,959,626,435,787,892,2982,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",9,31,2,"top",364,953,877,423,959,626,435,787,892,2739,NA,2982,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",9,32,2,"top",364,953,877,423,959,626,435,787,892,2739,NA,2982,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",9,33,2,"top",364,953,877,423,959,626,435,787,892,2739,NA,2982,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",10,34,2,"top",364,953,877,423,959,626,435,787,892,2067,NA,NA,2982
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",10,35,2,"top",364,953,877,423,959,626,435,787,892,2067,NA,NA,2982
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",10,36,2,"top",364,953,877,423,959,626,435,787,892,2067,NA,NA,2982
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",10,37,2,"top",364,953,877,423,959,626,435,787,892,2067,NA,NA,2982
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",10,38,2,"top",364,953,877,423,959,626,435,787,892,2067,NA,NA,2982
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",11,39,2,"top",364,953,877,423,959,626,435,787,892,8708,NA,NA,2982
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",11,40,2,"top",364,953,877,423,959,626,435,787,892,8708,NA,NA,2982
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",11,41,2,"top",364,953,877,423,959,626,435,787,892,8708,NA,NA,2982
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",11,42,2,"top",364,953,877,423,959,626,435,787,892,8708,NA,NA,2982
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",12,43,2,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,877,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",12,44,2,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,877,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",12,45,2,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,877,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",12,46,2,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,877,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",12,47,2,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,877,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",13,48,2,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,630,877,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",13,49,2,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,630,877,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",14,50,2,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,959,877,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",14,51,2,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,959,877,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",14,52,2,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,959,877,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",14,53,2,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,959,877,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",15,54,2,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,953,877,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",15,55,2,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,953,877,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",15,56,2,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,953,877,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",15,57,2,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,953,877,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",15,58,2,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,953,877,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",16,59,3,"top",364,953,877,423,959,626,435,787,892,7739,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",16,60,3,"top",364,953,877,423,959,626,435,787,892,7739,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",16,61,3,"top",364,953,877,423,959,626,435,787,892,7739,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",16,62,3,"top",364,953,877,423,959,626,435,787,892,7739,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",16,63,3,"top",364,953,877,423,959,626,435,787,892,7739,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",16,64,3,"top",364,953,877,423,959,626,435,787,892,7739,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",17,65,3,"top",364,953,877,423,959,626,435,787,892,3103,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",18,66,3,"top",364,953,877,423,959,626,435,787,892,6665,3103,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",18,67,3,"top",364,953,877,423,959,626,435,787,892,6665,3103,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",18,68,3,"top",364,953,877,423,959,626,435,787,892,6665,3103,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",19,69,3,"top",364,953,877,423,959,626,435,787,892,7704,3103,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",19,70,3,"top",364,953,877,423,959,626,435,787,892,7704,3103,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",19,71,3,"top",364,953,877,423,959,626,435,787,892,7704,3103,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",19,72,3,"top",364,953,877,423,959,626,435,787,892,7704,3103,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",19,73,3,"top",364,953,877,423,959,626,435,787,892,7704,3103,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",20,74,3,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,787,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",21,75,3,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,435,NA,NA,787
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",21,76,3,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,435,NA,NA,787
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",21,77,3,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,435,NA,NA,787
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",21,78,3,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,435,NA,NA,787
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",21,79,3,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,435,NA,NA,787
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",22,80,3,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,626,435,NA,787
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",23,81,3,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,892,NA,NA,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",24,82,3,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,423,NA,892,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",24,83,3,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,423,NA,892,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",24,84,3,"bottom",8586,7704,2018,7739,2067,6665,3103,2982,2739,423,NA,892,NA
"1884_131_Vis1BB_Home1A","Home1A","Vis1BB",25,85,4,"top",364,953,877,423,959,626,435,787,892,7704,NA,NA,NA
