"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",1,1,1,"top",549,557,702,513,838,993,471,787,492,5332,NA,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",1,2,1,"top",549,557,702,513,838,993,471,787,492,5332,NA,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",2,3,1,"top",549,557,702,513,838,993,471,787,492,9669,NA,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",2,4,1,"top",549,557,702,513,838,993,471,787,492,9669,NA,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",2,5,1,"top",549,557,702,513,838,993,471,787,492,9669,NA,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",2,6,1,"top",549,557,702,513,838,993,471,787,492,9669,NA,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",2,7,1,"top",549,557,702,513,838,993,471,787,492,9669,NA,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",3,8,1,"top",549,557,702,513,838,993,471,787,492,5679,9669,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",3,9,1,"top",549,557,702,513,838,993,471,787,492,5679,9669,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",3,10,1,"top",549,557,702,513,838,993,471,787,492,5679,9669,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",3,11,1,"top",549,557,702,513,838,993,471,787,492,5679,9669,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",3,12,1,"top",549,557,702,513,838,993,471,787,492,5679,9669,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",4,13,1,"top",549,557,702,513,838,993,471,787,492,2391,9669,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",4,14,1,"top",549,557,702,513,838,993,471,787,492,2391,9669,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",4,15,1,"top",549,557,702,513,838,993,471,787,492,2391,9669,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",4,16,1,"top",549,557,702,513,838,993,471,787,492,2391,9669,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",4,17,1,"top",549,557,702,513,838,993,471,787,492,2391,9669,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",4,18,1,"top",549,557,702,513,838,993,471,787,492,2391,9669,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",5,19,1,"bottom",3393,7087,2371,2391,5679,5332,5886,6193,3817,993,NA,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",5,20,1,"bottom",3393,7087,2371,2391,5679,5332,5886,6193,3817,993,NA,NA,NA
"1884_015_Vis2AG_Home2A","Home2A","Vis2AG",5,21,1,"bottom",3393,7087,2371,2391,5679,5332,5886,6193,3817,993,NA,NA,NA
