"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",1,1,1,"top",550,544,639,334,798,993,471,492,637,7060,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",1,2,1,"top",550,544,639,334,798,993,471,492,637,7060,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",1,3,1,"top",550,544,639,334,798,993,471,492,637,7060,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",1,4,1,"top",550,544,639,334,798,993,471,492,637,7060,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",1,5,1,"top",550,544,639,334,798,993,471,492,637,7060,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",2,6,1,"top",550,544,639,334,798,993,471,492,637,5044,7060,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",3,7,1,"top",550,544,639,334,798,993,471,492,637,8200,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",3,8,1,"top",550,544,639,334,798,993,471,492,637,8200,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",3,9,1,"top",550,544,639,334,798,993,471,492,637,8200,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",4,10,1,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,993,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",4,11,1,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,993,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",5,12,1,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,639,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",5,13,1,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,639,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",5,14,1,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,639,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",5,15,1,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,639,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",6,16,1,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,471,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",6,17,1,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,471,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",6,18,1,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,471,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",6,19,1,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,471,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",7,20,2,"top",550,544,639,334,798,993,471,492,637,8229,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",7,21,2,"top",550,544,639,334,798,993,471,492,637,8229,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",7,22,2,"top",550,544,639,334,798,993,471,492,637,8229,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",7,23,2,"top",550,544,639,334,798,993,471,492,637,8229,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",8,24,2,"top",550,544,639,334,798,993,471,492,637,3125,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",8,25,2,"top",550,544,639,334,798,993,471,492,637,3125,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",8,26,2,"top",550,544,639,334,798,993,471,492,637,3125,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",9,27,2,"top",550,544,639,334,798,993,471,492,637,5667,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",9,28,2,"top",550,544,639,334,798,993,471,492,637,5667,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",9,29,2,"top",550,544,639,334,798,993,471,492,637,5667,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",9,30,2,"top",550,544,639,334,798,993,471,492,637,5667,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",9,31,2,"top",550,544,639,334,798,993,471,492,637,5667,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",9,32,2,"top",550,544,639,334,798,993,471,492,637,5667,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",10,33,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,702,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",10,34,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,702,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",10,35,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,702,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",10,36,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,702,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",10,37,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,702,NA,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",11,38,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,492,702,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",11,39,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,492,702,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",11,40,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,492,702,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",11,41,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,492,702,NA,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",13,42,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,334,544,702,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",13,43,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,334,544,702,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",13,44,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,334,544,702,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",13,45,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,334,544,702,NA
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",14,46,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,798,334,544,702
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",14,47,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,798,334,544,702
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",14,48,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,798,334,544,702
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",14,49,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,798,334,544,702
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",14,50,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,798,334,544,702
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",14,51,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,798,334,544,702
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",14,52,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,798,334,544,702
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",15,53,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,637,334,544,702
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",15,54,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,637,334,544,702
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",15,55,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,637,334,544,702
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",15,56,2,"bottom",4719,3125,5667,9061,2382,8229,7060,5044,7354,637,334,544,702
"1884_039_Vis2AJ_Home2A","Home2A","Vis2AJ",18,58,3,"top",550,544,639,334,798,993,471,492,637,2382,NA,NA,NA
