game_str,home_team,away_team,at_bat,play_per_game,inning,top_bottom,pitcher,catcher,first_base,second_base,third_base,shortstop,left_field,center_field,right_field,batter,first_baserunner,second_baserunner,third_baserunner
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,1,1,1,top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,1,2,1,top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,2,3,1,top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,2,4,1,top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,2,5,1,top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,2,6,1,top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,2,7,1,top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,2,8,1,top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,3,9,1,top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,4,10,1,top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,1,11,1,top,961,408,639,973,334,993,471,495,513,7678,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,1,12,1,top,961,408,639,973,334,993,471,495,513,7678,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,5,13,1,top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,5,14,1,top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,2,15,1,top,961,408,639,973,334,993,471,495,513,8698,7678,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,3,16,1,top,961,408,639,973,334,993,471,495,513,7298,NA,NA,7678
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,7,17,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,7,18,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,7,19,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,7,20,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,4,21,1,top,961,408,639,973,334,993,471,495,513,4296,7298,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,8,22,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,8,23,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,8,24,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,8,25,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,5,26,1,top,7481,5843,4296,7886,6258,7298,9485,7678,8698,993,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,5,27,1,top,7481,5843,4296,7886,6258,7298,9485,7678,8698,993,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,5,28,1,top,7481,5843,4296,7886,6258,7298,9485,7678,8698,993,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,5,29,1,top,7481,5843,4296,7886,6258,7298,9485,7678,8698,993,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,9,30,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,10,31,1,bottom,7481,5843,4296,7886,6258,7298,9485,7678,8698,495,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,10,32,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,10,33,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,10,34,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,10,35,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,10,36,1,bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,7,37,1,bottom,7481,5843,4296,7886,6258,7298,9485,7678,8698,334,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,7,38,1,bottom,7481,5843,4296,7886,6258,7298,9485,7678,8698,334,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,7,39,1,bottom,7481,5843,4296,7886,6258,7298,9485,7678,8698,334,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,7,40,1,bottom,7481,5843,4296,7886,6258,7298,9485,7678,8698,334,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,7,41,1,bottom,7481,5843,4296,7886,6258,7298,9485,7678,8698,334,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,11,42,2,top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884_043.5_Vis2AK_Home2A,Home2A,Vis2AK,8,43,1,bottom,961,408,639,973,334,993,471,495,513,9732,NA,NA,NA
