"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_072.5_Vis2AN_Home2A","Home2A","Vis2AN",1,1,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_072.5_Vis2AN_Home2A","Home2A","Vis2AN",1,2,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_072.5_Vis2AN_Home2A","Home2A","Vis2AN",1,3,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_072.5_Vis2AN_Home2A","Home2A","Vis2AN",2,4,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_072.5_Vis2AN_Home2A","Home2A","Vis2AN",2,5,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_072.5_Vis2AN_Home2A","Home2A","Vis2AN",2,6,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_072.5_Vis2AN_Home2A","Home2A","Vis2AN",2,7,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_072.5_Vis2AN_Home2A","Home2A","Vis2AN",3,8,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_072.5_Vis2AN_Home2A","Home2A","Vis2AN",4,9,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_072.5_Vis2AN_Home2A","Home2A","Vis2AN",4,10,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_072.5_Vis2AN_Home2A","Home2A","Vis2AN",4,11,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_072.5_Vis2AN_Home2A","Home2A","Vis2AN",4,12,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_072.5_Vis2AN_Home2A","Home2A","Vis2AN",4,13,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_072.5_Vis2AN_Home2A","Home2A","Vis2AN",5,14,1,"bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_072.5_Vis2AN_Home2A","Home2A","Vis2AN",5,15,1,"bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_072.5_Vis2AN_Home2A","Home2A","Vis2AN",5,16,1,"bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
