"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",1,1,1,"top",733,557,471,565,798,993,513,495,492,7538,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",1,2,1,"top",733,557,471,565,798,993,513,495,492,7538,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",1,3,1,"top",733,557,471,565,798,993,513,495,492,7538,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",1,4,1,"top",733,557,471,565,798,993,513,495,492,7538,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",2,5,1,"top",733,557,471,565,798,993,513,495,492,3448,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",2,6,1,"top",733,557,471,565,798,993,513,495,492,3448,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",2,7,1,"top",733,557,471,565,798,993,513,495,492,3448,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",3,8,1,"top",733,557,471,565,798,993,513,495,492,5817,3448,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",3,9,1,"top",733,557,471,565,798,993,513,495,492,5817,3448,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",4,10,1,"top",733,557,471,565,798,993,513,495,492,3391,5817,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",4,11,1,"top",733,557,471,565,798,993,513,495,492,3391,NA,5817,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",4,12,1,"top",733,557,471,565,798,993,513,495,492,3391,NA,5817,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",5,13,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",5,14,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",5,15,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",5,16,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",5,17,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",5,18,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",5,19,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",6,20,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,495,993,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",7,21,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,471,495,993,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",7,22,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,471,495,993,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",8,23,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,973,471,495,993
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",8,24,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,973,471,495,993
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",8,25,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,973,471,495,993
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",8,26,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,973,471,495,993
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",9,27,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,492,471,495,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",9,28,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,492,471,495,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",9,29,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,492,471,495,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",9,30,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,492,471,495,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",9,31,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,492,471,495,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",9,32,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,492,471,495,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",10,33,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,565,471,495,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",10,34,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,565,NA,471,495
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",10,35,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,565,NA,471,495
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",10,36,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,565,NA,471,495
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",10,37,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,565,NA,471,495
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",11,38,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,557,NA,NA,565
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",11,39,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,557,NA,NA,565
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",12,40,1,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,798,557,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",13,41,2,"top",733,557,471,565,798,993,513,495,492,9390,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",13,42,2,"top",733,557,471,565,798,993,513,495,492,9390,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",13,43,2,"top",733,557,471,565,798,993,513,495,492,9390,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",13,44,2,"top",733,557,471,565,798,993,513,495,492,9390,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",13,45,2,"top",733,557,471,565,798,993,513,495,492,9390,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",14,46,2,"top",733,557,471,565,798,993,513,495,492,5379,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",14,47,2,"top",733,557,471,565,798,993,513,495,492,5379,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",14,48,2,"top",733,557,471,565,798,993,513,495,492,5379,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",14,49,2,"top",733,557,471,565,798,993,513,495,492,5379,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",15,50,2,"top",733,557,471,565,798,993,513,495,492,6886,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",15,51,2,"top",733,557,471,565,798,993,513,495,492,6886,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",15,52,2,"top",733,557,471,565,798,993,513,495,492,6886,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",15,53,2,"top",733,557,471,565,798,993,513,495,492,6886,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",16,54,2,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,513,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",16,55,2,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,513,NA,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",17,56,2,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,513,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",17,57,2,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,513,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",17,58,2,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,513,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",17,59,2,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,513,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",17,60,2,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,513,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",17,61,2,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,513,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",17,62,2,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,513,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",17,63,2,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,513,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",17,64,2,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,513,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",17,65,2,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,513,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",17,66,2,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,513,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",17,67,2,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,513,NA,NA
"1884_109.5_Vis2AR_Home2A","Home2A","Vis2AR",17,68,2,"bottom",9339,670409,6886,7015,9390,3448,7538,5817,5379,993,513,NA,NA
