"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",1,1,1,"top",674,786,719,572,879,565,404,651,475,8191,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",1,2,1,"top",674,786,719,572,879,565,404,651,475,8191,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",1,3,1,"top",674,786,719,572,879,565,404,651,475,8191,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",1,4,1,"top",674,786,719,572,879,565,404,651,475,8191,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",1,5,1,"top",674,786,719,572,879,565,404,651,475,8191,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",1,6,1,"top",674,786,719,572,879,565,404,651,475,8191,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",1,7,1,"top",674,786,719,572,879,565,404,651,475,8191,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",2,8,1,"top",674,786,719,572,879,565,404,651,475,8136,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",2,9,1,"top",674,786,719,572,879,565,404,651,475,8136,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",2,10,1,"top",674,786,719,572,879,565,404,651,475,8136,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",2,11,1,"top",674,786,719,572,879,565,404,651,475,8136,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",2,12,1,"top",674,786,719,572,879,565,404,651,475,8136,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",3,13,1,"top",674,786,719,572,879,565,404,651,475,4841,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",3,14,1,"top",674,786,719,572,879,565,404,651,475,4841,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",4,15,1,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,572,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",4,16,1,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,572,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",4,17,1,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,572,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",5,18,1,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,879,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",5,19,1,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,879,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",5,20,1,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,879,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",5,21,1,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,879,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",5,22,1,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,879,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",6,23,1,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,404,NA,879,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",6,24,1,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,404,NA,879,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",7,25,1,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,547,NA,NA,879
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",7,26,1,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,547,NA,NA,879
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",7,27,1,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,547,NA,NA,879
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",7,28,1,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,547,NA,NA,879
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",7,29,1,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,547,NA,NA,879
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",7,30,1,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,547,NA,NA,879
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",8,31,2,"top",674,786,719,572,879,565,404,651,475,2659,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",8,32,2,"top",674,786,719,572,879,565,404,651,475,2659,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",9,33,2,"top",674,786,719,572,879,565,404,651,475,7811,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",9,34,2,"top",674,786,719,572,879,565,404,651,475,7811,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",9,35,2,"top",674,786,719,572,879,565,404,651,475,7811,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",9,36,2,"top",674,786,719,572,879,565,404,651,475,7811,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",9,37,2,"top",674,786,719,572,879,565,404,651,475,7811,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",10,38,2,"top",674,786,719,572,879,565,404,651,475,3310,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",11,39,2,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,475,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",11,40,2,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,475,NA,NA,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",12,41,2,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,565,NA,475,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",12,42,2,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,565,NA,475,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",12,43,2,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,565,NA,475,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",12,44,2,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,565,NA,475,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",12,45,2,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,565,NA,475,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",12,46,2,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,565,NA,475,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",12,47,2,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,565,NA,475,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",13,48,2,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,786,NA,475,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",14,49,2,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,719,NA,475,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",14,50,2,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,719,NA,475,NA
"1884_010_Vis3AH_Home3A","Home3A","Vis3AH",14,51,2,"bottom",2298,7811,2659,3571,4841,8191,8136,4269,4437,719,NA,475,NA
