"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",1,1,1,"top",433,786,547,572,345,565,404,475,975,7114,NA,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",1,2,1,"top",433,786,547,572,345,565,404,475,975,7114,NA,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",1,3,1,"top",433,786,547,572,345,565,404,475,975,7114,NA,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",1,4,1,"top",433,786,547,572,345,565,404,475,975,7114,NA,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",1,5,1,"top",433,786,547,572,345,565,404,475,975,7114,NA,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",1,6,1,"top",433,786,547,572,345,565,404,475,975,7114,NA,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",2,7,1,"top",433,786,547,572,345,565,404,475,975,6318,NA,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",2,8,1,"top",433,786,547,572,345,565,404,475,975,6318,NA,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",2,9,1,"top",433,786,547,572,345,565,404,475,975,6318,NA,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",2,10,1,"top",433,786,547,572,345,565,404,475,975,6318,NA,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",3,11,1,"top",433,786,547,572,345,565,404,475,975,8675,NA,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",3,12,1,"top",433,786,547,572,345,565,404,475,975,8675,NA,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",3,13,1,"top",433,786,547,572,345,565,404,475,975,8675,NA,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",3,14,1,"top",433,786,547,572,345,565,404,475,975,8675,NA,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",3,15,1,"top",433,786,547,572,345,565,404,475,975,8675,NA,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",3,16,1,"top",433,786,547,572,345,565,404,475,975,8675,NA,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",4,17,1,"top",433,786,547,572,345,565,404,475,975,9849,8675,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",4,18,1,"top",433,786,547,572,345,565,404,475,975,9849,8675,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",4,19,1,"top",433,786,547,572,345,565,404,475,975,9849,8675,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",4,20,1,"top",433,786,547,572,345,565,404,475,975,9849,8675,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",4,21,1,"top",433,786,547,572,345,565,404,475,975,9849,8675,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",4,22,1,"top",433,786,547,572,345,565,404,475,975,9849,8675,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",4,23,1,"top",433,786,547,572,345,565,404,475,975,9849,8675,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",4,24,1,"top",433,786,547,572,345,565,404,475,975,9849,8675,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",4,25,1,"top",433,786,547,572,345,565,404,475,975,9849,8675,NA,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",5,26,1,"top",433,786,547,572,345,565,404,475,975,8657,9849,8675,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",5,27,1,"top",433,786,547,572,345,565,404,475,975,8657,9849,8675,NA
"1884_051_Vis3AL_Home3A","Home3A","Vis3AL",6,28,1,"top",433,786,547,572,345,565,404,475,975,3757,8657,9849,8675
