"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",1,1,1,"top",966,544,702,442,719,334,547,572,475,9957,NA,NA,NA
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",1,2,1,"top",966,544,702,442,719,334,547,572,475,9957,NA,NA,NA
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",2,3,1,"top",966,544,702,442,719,334,547,572,475,7074,9957,NA,NA
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",2,4,1,"top",966,544,702,442,719,334,547,572,475,7074,9957,NA,NA
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",2,5,1,"top",966,544,702,442,719,334,547,572,475,7074,9957,NA,NA
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",2,6,1,"top",966,544,702,442,719,334,547,572,475,7074,9957,NA,NA
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",3,7,1,"top",966,544,702,442,719,334,547,572,475,2667,7074,9957,NA
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",3,8,1,"top",966,544,702,442,719,334,547,572,475,2667,7074,9957,NA
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",3,9,1,"top",966,544,702,442,719,334,547,572,475,2667,7074,9957,NA
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",3,10,1,"top",966,544,702,442,719,334,547,572,475,2667,7074,9957,NA
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",3,11,1,"top",966,544,702,442,719,334,547,572,475,2667,7074,9957,NA
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",4,12,1,"top",966,544,702,442,719,334,547,572,475,6071,2667,NA,7074
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",4,13,1,"top",966,544,702,442,719,334,547,572,475,6071,NA,NA,7074
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",4,14,1,"top",966,544,702,442,719,334,547,572,475,6071,NA,NA,7074
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",4,15,1,"top",966,544,702,442,719,334,547,572,475,6071,NA,NA,7074
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",4,16,1,"top",966,544,702,442,719,334,547,572,475,6071,NA,NA,7074
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",4,17,1,"top",966,544,702,442,719,334,547,572,475,6071,NA,NA,7074
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",5,18,1,"top",966,544,702,442,719,334,547,572,475,2692,6071,NA,7074
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",5,19,1,"top",966,544,702,442,719,334,547,572,475,2692,6071,NA,7074
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",5,20,1,"top",966,544,702,442,719,334,547,572,475,2692,6071,NA,7074
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",5,21,1,"top",966,544,702,442,719,334,547,572,475,2692,6071,NA,7074
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",5,22,1,"top",966,544,702,442,719,334,547,572,475,2692,6071,NA,7074
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",5,23,1,"top",966,544,702,442,719,334,547,572,475,2692,6071,NA,7074
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",5,24,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",6,25,1,"top",966,544,702,442,719,334,547,572,475,2893,6071,NA,NA
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",6,26,1,"top",966,544,702,442,719,334,547,572,475,2893,6071,NA,NA
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",6,27,1,"top",966,544,702,442,719,334,547,572,475,2893,6071,NA,NA
"1884_086_Vis3AP_Home3A","Home3A","Vis3AP",6,28,1,"top",966,544,702,442,719,334,547,572,475,2893,6071,NA,NA
