"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",1,1,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",1,2,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",1,3,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",1,4,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",1,5,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",1,6,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",2,7,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",3,8,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",3,9,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",4,10,1,"bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",4,11,1,"bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",5,12,1,"bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",5,13,1,"bottom",3342,8673,6299,5413,7216,9374,9626,2871,8799,467,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",5,14,1,"bottom",3342,8673,6299,5413,7216,9374,9626,2871,8799,467,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",5,15,1,"bottom",3342,8673,6299,5413,7216,9374,9626,2871,8799,467,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",6,16,1,"bottom",3342,8673,6299,5413,7216,9374,9626,2871,8799,636,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",6,17,1,"bottom",3342,8673,6299,5413,7216,9374,9626,2871,8799,636,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",6,18,1,"bottom",3342,8673,6299,5413,7216,9374,9626,2871,8799,636,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",6,19,1,"bottom",3342,8673,6299,5413,7216,9374,9626,2871,8799,636,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",6,20,1,"bottom",3342,8673,6299,5413,7216,9374,9626,2871,8799,636,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",7,21,1,"bottom",3342,8673,6299,5413,7216,9374,9626,2871,8799,427,636,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",7,22,1,"bottom",3342,8673,6299,5413,7216,9374,9626,2871,8799,427,636,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",8,23,2,"top",389,431,467,586,835,636,868,427,460,6299,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",8,24,2,"top",389,431,467,586,835,636,868,427,460,6299,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",8,25,2,"top",389,431,467,586,835,636,868,427,460,6299,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",8,26,2,"top",389,431,467,586,835,636,868,427,460,6299,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",8,27,2,"top",389,431,467,586,835,636,868,427,460,6299,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",9,28,2,"top",389,431,467,586,835,636,868,427,460,8799,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",9,29,2,"top",389,431,467,586,835,636,868,427,460,8799,NA,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",10,30,2,"top",389,431,467,586,835,636,868,427,460,4808,8799,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",10,31,2,"top",389,431,467,586,835,636,868,427,460,4808,8799,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",10,32,2,"top",389,431,467,586,835,636,868,427,460,4808,8799,NA,NA
"1884_028_Vis4AO_Home4A","Home4A","Vis4AO",11,33,2,"top",389,431,467,586,835,636,868,427,460,8673,8799,NA,NA
