"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",1,1,1,"top",674,920,998,404,835,337,502,868,460,2774,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",1,2,1,"top",674,920,998,404,835,337,502,868,460,2774,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",2,3,1,"top",674,920,998,404,835,337,502,868,460,4127,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",2,4,1,"top",674,920,998,404,835,337,502,868,460,4127,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",2,5,1,"top",674,920,998,404,835,337,502,868,460,4127,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",2,6,1,"top",674,920,998,404,835,337,502,868,460,4127,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",3,7,1,"top",674,920,998,404,835,337,502,868,460,8254,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",3,8,1,"top",674,920,998,404,835,337,502,868,460,8254,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",3,9,1,"top",674,920,998,404,835,337,502,868,460,8254,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",3,10,1,"top",674,920,998,404,835,337,502,868,460,8254,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",3,11,1,"top",674,920,998,404,835,337,502,868,460,8254,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",4,12,1,"bottom",2951,3305,8741,6298,9094,4127,8254,2774,6866,337,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",4,13,1,"bottom",2951,3305,8741,6298,9094,4127,8254,2774,6866,337,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",4,14,1,"bottom",2951,3305,8741,6298,9094,4127,8254,2774,6866,337,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",4,15,1,"bottom",2951,3305,8741,6298,9094,4127,8254,2774,6866,337,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",5,16,1,"bottom",2951,3305,8741,6298,9094,4127,8254,2774,6866,502,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",5,17,1,"bottom",2951,3305,8741,6298,9094,4127,8254,2774,6866,502,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",5,18,1,"bottom",2951,3305,8741,6298,9094,4127,8254,2774,6866,502,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",5,19,1,"bottom",2951,3305,8741,6298,9094,4127,8254,2774,6866,502,NA,NA,NA
"1884_080.5_Vis4AV_Home4A","Home4A","Vis4AV",6,20,1,"bottom",2951,3305,8741,6298,9094,4127,8254,2774,6866,404,502,NA,NA
