"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",1,1,1,"top",420,448,835,404,879,337,638,502,460,9287,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",1,2,1,"top",420,448,835,404,879,337,638,502,460,9287,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",1,3,1,"top",420,448,835,404,879,337,638,502,460,9287,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",2,4,1,"top",420,448,835,404,879,337,638,502,460,2778,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",3,5,1,"top",420,448,835,404,879,337,638,502,460,5425,2778,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",3,6,1,"top",420,448,835,404,879,337,638,502,460,5425,2778,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",3,7,1,"top",420,448,835,404,879,337,638,502,460,5425,2778,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",4,8,1,"top",420,448,835,404,879,337,638,502,460,2926,2778,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",4,9,1,"top",420,448,835,404,879,337,638,502,460,2926,2778,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",4,10,1,"top",420,448,835,404,879,337,638,502,460,2926,2778,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",4,11,1,"top",420,448,835,404,879,337,638,502,460,2926,2778,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",4,12,1,"top",420,448,835,404,879,337,638,502,460,2926,2778,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",5,13,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,337,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",5,14,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,337,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",5,15,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,337,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",5,16,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,337,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",5,17,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,337,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",5,18,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,337,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",6,19,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,502,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",6,20,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,502,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",7,21,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,404,502,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",7,22,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,404,502,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",8,23,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,460,NA,404,502
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",8,24,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,460,NA,404,502
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",9,25,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,835,NA,460,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",9,26,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,835,NA,460,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",9,27,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,835,NA,460,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",9,28,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,835,NA,460,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",9,29,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,835,NA,460,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",10,30,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,638,835,NA,460
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",10,31,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,638,835,NA,460
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",10,32,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,638,835,NA,460
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",11,33,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,920,835,NA,460
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",11,34,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,920,835,NA,460
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",11,35,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,920,835,NA,460
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",11,36,1,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,920,835,NA,460
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",12,37,2,"top",420,448,835,404,879,337,638,502,460,6684,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",12,38,2,"top",420,448,835,404,879,337,638,502,460,6684,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",12,39,2,"top",420,448,835,404,879,337,638,502,460,6684,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",12,40,2,"top",420,448,835,404,879,337,638,502,460,6684,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",12,41,2,"top",420,448,835,404,879,337,638,502,460,6684,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",13,42,2,"top",420,448,835,404,879,337,638,502,460,9286,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",13,43,2,"top",420,448,835,404,879,337,638,502,460,9286,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",13,44,2,"top",420,448,835,404,879,337,638,502,460,9286,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",13,45,2,"top",420,448,835,404,879,337,638,502,460,9286,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",14,46,2,"top",420,448,835,404,879,337,638,502,460,5151,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",14,47,2,"top",420,448,835,404,879,337,638,502,460,5151,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",15,48,2,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,448,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",16,49,2,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,879,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",16,50,2,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,879,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",16,51,2,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,879,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",16,52,2,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,879,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",16,53,2,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,879,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",16,54,2,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,879,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",16,55,2,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,879,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",17,56,2,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,337,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",17,57,2,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,337,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",17,58,2,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,337,NA,NA,NA
"1884_088_Vis4AW_Home4A","Home4A","Vis4AW",17,59,2,"bottom",3834,5151,6684,4073,2926,2212,2778,9287,9286,337,NA,NA,NA
