"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",1,1,1,"top",674,719,835,404,586,337,638,502,460,8875,NA,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",1,2,1,"top",674,719,835,404,586,337,638,502,460,8875,NA,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",1,3,1,"top",674,719,835,404,586,337,638,502,460,8875,NA,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",1,4,1,"top",674,719,835,404,586,337,638,502,460,8875,NA,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",2,5,1,"top",674,719,835,404,586,337,638,502,460,7631,8875,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",3,6,1,"top",674,719,835,404,586,337,638,502,460,9171,NA,8875,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",3,7,1,"top",674,719,835,404,586,337,638,502,460,9171,NA,8875,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",3,8,1,"top",674,719,835,404,586,337,638,502,460,9171,NA,8875,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",4,9,1,"top",674,719,835,404,586,337,638,502,460,6815,NA,8875,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",4,10,1,"top",674,719,835,404,586,337,638,502,460,6815,NA,8875,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",4,11,1,"top",674,719,835,404,586,337,638,502,460,6815,NA,8875,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",4,12,1,"top",674,719,835,404,586,337,638,502,460,6815,NA,8875,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",4,13,1,"top",674,719,835,404,586,337,638,502,460,6815,NA,8875,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",4,14,1,"top",674,719,835,404,586,337,638,502,460,6815,NA,8875,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",5,15,1,"top",674,719,835,404,586,337,638,502,460,3900,NA,6815,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",5,16,1,"top",674,719,835,404,586,337,638,502,460,3900,NA,NA,6815
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",5,17,1,"top",674,719,835,404,586,337,638,502,460,3900,NA,NA,6815
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",6,18,1,"top",674,719,835,404,586,337,638,502,460,2281,3900,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",6,19,1,"top",674,719,835,404,586,337,638,502,460,2281,3900,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",6,20,1,"top",674,719,835,404,586,337,638,502,460,2281,3900,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",7,21,1,"bottom",9299,9760,9171,6815,2658,7631,8875,2809,3900,586,NA,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",7,22,1,"bottom",9299,9760,9171,6815,2658,7631,8875,2809,3900,586,NA,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",8,23,1,"bottom",9299,9760,9171,6815,2658,7631,8875,2809,3900,901,586,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",8,24,1,"bottom",9299,9760,9171,6815,2658,7631,8875,2809,3900,901,586,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",8,25,1,"bottom",9299,9760,9171,6815,2658,7631,8875,2809,3900,901,586,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",8,26,1,"bottom",9299,9760,9171,6815,2658,7631,8875,2809,3900,901,586,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",9,27,1,"bottom",9299,9760,9171,6815,2658,7631,8875,2809,3900,404,586,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",9,28,1,"bottom",9299,9760,9171,6815,2658,7631,8875,2809,3900,404,586,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",10,29,2,"top",674,719,835,404,586,337,638,502,460,2809,NA,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",10,30,2,"top",674,719,835,404,586,337,638,502,460,2809,NA,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",10,31,2,"top",674,719,835,404,586,337,638,502,460,2809,NA,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",10,32,2,"top",674,719,835,404,586,337,638,502,460,2809,NA,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",11,33,2,"top",674,719,835,404,586,337,638,502,460,9760,NA,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",11,34,2,"top",674,719,835,404,586,337,638,502,460,9760,NA,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",11,35,2,"top",674,719,835,404,586,337,638,502,460,9760,NA,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",12,36,2,"top",674,719,835,404,586,337,638,502,460,2658,NA,NA,NA
"1884_104_Vis4AY_Home4A","Home4A","Vis4AY",12,37,2,"top",674,719,835,404,586,337,638,502,460,2658,NA,NA,NA
