"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_107_Vis4AZ_Home4A","Home4A","Vis4AZ",1,1,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_107_Vis4AZ_Home4A","Home4A","Vis4AZ",1,2,1,"top",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884_107_Vis4AZ_Home4A","Home4A","Vis4AZ",2,3,1,"top",843,719,835,586,901,337,460,776,502,8052,NA,NA,NA
"1884_107_Vis4AZ_Home4A","Home4A","Vis4AZ",2,4,1,"top",843,719,835,586,901,337,460,776,502,8052,NA,NA,NA
"1884_107_Vis4AZ_Home4A","Home4A","Vis4AZ",2,5,1,"top",843,719,835,586,901,337,460,776,502,8052,NA,NA,NA
"1884_107_Vis4AZ_Home4A","Home4A","Vis4AZ",2,6,1,"top",843,719,835,586,901,337,460,776,502,8052,NA,NA,NA
"1884_107_Vis4AZ_Home4A","Home4A","Vis4AZ",3,7,1,"top",843,719,835,586,901,337,460,776,502,6203,NA,NA,NA
"1884_107_Vis4AZ_Home4A","Home4A","Vis4AZ",3,8,1,"top",843,719,835,586,901,337,460,776,502,6203,NA,NA,NA
"1884_107_Vis4AZ_Home4A","Home4A","Vis4AZ",3,9,1,"top",843,719,835,586,901,337,460,776,502,6203,NA,NA,NA
"1884_107_Vis4AZ_Home4A","Home4A","Vis4AZ",3,10,1,"top",843,719,835,586,901,337,460,776,502,6203,NA,NA,NA
"1884_107_Vis4AZ_Home4A","Home4A","Vis4AZ",3,11,1,"top",843,719,835,586,901,337,460,776,502,6203,NA,NA,NA
"1884_107_Vis4AZ_Home4A","Home4A","Vis4AZ",3,12,1,"top",843,719,835,586,901,337,460,776,502,6203,NA,NA,NA
"1884_107_Vis4AZ_Home4A","Home4A","Vis4AZ",4,13,1,"bottom",2714,7094,8021,8052,4151,9918,9861,3549,5880,337,NA,NA,NA
"1884_107_Vis4AZ_Home4A","Home4A","Vis4AZ",4,14,1,"bottom",2714,7094,8021,8052,4151,9918,9861,3549,5880,337,NA,NA,NA
"1884_107_Vis4AZ_Home4A","Home4A","Vis4AZ",4,15,1,"bottom",2714,7094,8021,8052,4151,9918,9861,3549,5880,337,NA,NA,NA
