"game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1884_137_Vis4BD_Home4A","Home4A","Vis4BD",1,1,1,"top",674,719,702,586,835,345,776,427,638,3019,NA,NA,NA
"1884_137_Vis4BD_Home4A","Home4A","Vis4BD",2,2,1,"top",674,719,702,586,835,345,776,427,638,3527,NA,NA,NA
"1884_137_Vis4BD_Home4A","Home4A","Vis4BD",3,3,1,"top",674,719,702,586,835,345,776,427,638,3139,NA,NA,NA
"1884_137_Vis4BD_Home4A","Home4A","Vis4BD",4,4,1,"top",674,719,702,586,835,345,776,427,638,7014,3139,NA,NA
"1884_137_Vis4BD_Home4A","Home4A","Vis4BD",4,5,1,"top",674,719,702,586,835,345,776,427,638,7014,3139,NA,NA
"1884_137_Vis4BD_Home4A","Home4A","Vis4BD",4,6,1,"top",674,719,702,586,835,345,776,427,638,7014,3139,NA,NA
"1884_137_Vis4BD_Home4A","Home4A","Vis4BD",4,7,1,"top",674,719,702,586,835,345,776,427,638,7014,3139,NA,NA
"1884_137_Vis4BD_Home4A","Home4A","Vis4BD",4,8,1,"top",674,719,702,586,835,345,776,427,638,7014,NA,NA,3139
"1884_137_Vis4BD_Home4A","Home4A","Vis4BD",5,9,1,"bottom",6773,5363,7014,7839,6436,3527,3139,3019,8396,586,NA,NA,NA
"1884_137_Vis4BD_Home4A","Home4A","Vis4BD",6,10,1,"bottom",6773,5363,7014,7839,6436,3527,3139,3019,8396,427,586,NA,NA
"1884_137_Vis4BD_Home4A","Home4A","Vis4BD",6,11,1,"bottom",6773,5363,7014,7839,6436,3527,3139,3019,8396,427,586,NA,NA
"1884_137_Vis4BD_Home4A","Home4A","Vis4BD",6,12,1,"bottom",6773,5363,7014,7839,6436,3527,3139,3019,8396,427,NA,586,NA
"1884_137_Vis4BD_Home4A","Home4A","Vis4BD",7,13,1,"bottom",6773,5363,7014,7839,6436,3527,3139,3019,8396,702,NA,NA,586
