"game_str","play_id","timestamp","player_position","field_x","field_y"
"1883_026_Vis2AB_Home2A",1,48535,1,0.2232,55.6566
"1883_026_Vis2AB_Home2A",1,48535,2,0,-4.5
"1883_026_Vis2AB_Home2A",1,48535,3,51.0477,75.1665
"1883_026_Vis2AB_Home2A",1,48535,4,43.4253,143.1345
"1883_026_Vis2AB_Home2A",1,48535,5,-43.9758,69.3846
"1883_026_Vis2AB_Home2A",1,48535,6,-29.0403,149.2623
"1883_026_Vis2AB_Home2A",1,48535,7,-126.9195,232.4283
"1883_026_Vis2AB_Home2A",1,48535,8,6.3114,295.9701
"1883_026_Vis2AB_Home2A",1,48535,9,106.7352,243.7089
"1883_026_Vis2AB_Home2A",1,48535,10,2.1747,-0.6966
"1883_026_Vis2AB_Home2A",1,48535,14,0,-6.6
"1883_026_Vis2AB_Home2A",1,48535,18,85.8921,66.9222
"1883_026_Vis2AB_Home2A",1,48585,1,0.2304,55.5282
"1883_026_Vis2AB_Home2A",1,48585,2,0,-4.5
"1883_026_Vis2AB_Home2A",1,48585,3,51.0354,75.135
"1883_026_Vis2AB_Home2A",1,48585,4,43.3743,143.01
"1883_026_Vis2AB_Home2A",1,48585,5,-43.9722,69.3777
"1883_026_Vis2AB_Home2A",1,48585,6,-29.1441,149.256
"1883_026_Vis2AB_Home2A",1,48585,7,-126.8862,232.3794
"1883_026_Vis2AB_Home2A",1,48585,8,6.3453,295.9428
"1883_026_Vis2AB_Home2A",1,48585,9,106.6503,243.7644
"1883_026_Vis2AB_Home2A",1,48585,10,2.232,-0.5586
"1883_026_Vis2AB_Home2A",1,48585,14,0,-6.6
"1883_026_Vis2AB_Home2A",1,48585,18,85.9482,66.9489
"1883_026_Vis2AB_Home2A",1,48635,1,0.2376,55.3998
"1883_026_Vis2AB_Home2A",1,48635,2,0,-4.5
"1883_026_Vis2AB_Home2A",1,48635,3,51.0231,75.1032
"1883_026_Vis2AB_Home2A",1,48635,4,43.3233,142.8858
"1883_026_Vis2AB_Home2A",1,48635,5,-43.9689,69.3711
"1883_026_Vis2AB_Home2A",1,48635,6,-29.2476,149.2494
"1883_026_Vis2AB_Home2A",1,48635,7,-126.8535,232.3308
"1883_026_Vis2AB_Home2A",1,48635,8,6.3795,295.9158
"1883_026_Vis2AB_Home2A",1,48635,9,106.5651,243.8193
"1883_026_Vis2AB_Home2A",1,48635,10,2.2893,-0.4206
"1883_026_Vis2AB_Home2A",1,48635,14,0,-6.6
"1883_026_Vis2AB_Home2A",1,48635,18,86.0046,66.9759
"1883_026_Vis2AB_Home2A",1,48685,1,0.2445,55.2714
"1883_026_Vis2AB_Home2A",1,48685,2,0,-4.5
"1883_026_Vis2AB_Home2A",1,48685,3,51.0111,75.0711
"1883_026_Vis2AB_Home2A",1,48685,4,43.2726,142.7616
"1883_026_Vis2AB_Home2A",1,48685,5,-43.9656,69.3645
"1883_026_Vis2AB_Home2A",1,48685,6,-29.3508,149.2425
"1883_026_Vis2AB_Home2A",1,48685,7,-126.8214,232.2831
"1883_026_Vis2AB_Home2A",1,48685,8,6.4137,295.8882
"1883_026_Vis2AB_Home2A",1,48685,9,106.4793,243.8739
"1883_026_Vis2AB_Home2A",1,48685,10,2.3469,-0.2826
"1883_026_Vis2AB_Home2A",1,48685,14,0,-6.6
"1883_026_Vis2AB_Home2A",1,48685,18,86.061,67.0029
"1883_026_Vis2AB_Home2A",1,48735,1,0.2511,55.143
"1883_026_Vis2AB_Home2A",1,48735,2,0,-4.5
"1883_026_Vis2AB_Home2A",1,48735,3,50.9997,75.0387
"1883_026_Vis2AB_Home2A",1,48735,4,43.2222,142.638
"1883_026_Vis2AB_Home2A",1,48735,5,-43.9626,69.3579
"1883_026_Vis2AB_Home2A",1,48735,6,-29.4534,149.2353
"1883_026_Vis2AB_Home2A",1,48735,7,-126.7899,232.2363
"1883_026_Vis2AB_Home2A",1,48735,8,6.4476,295.8609
"1883_026_Vis2AB_Home2A",1,48735,9,106.3929,243.9276
"1883_026_Vis2AB_Home2A",1,48735,10,2.4039,-0.1446
"1883_026_Vis2AB_Home2A",1,48735,14,0,-6.6
"1883_026_Vis2AB_Home2A",1,48735,18,86.1183,67.0302
"1883_026_Vis2AB_Home2A",1,48785,1,0.2574,55.0143
"1883_026_Vis2AB_Home2A",1,48785,2,0,-4.5
"1883_026_Vis2AB_Home2A",1,48785,3,50.9886,75.0063
"1883_026_Vis2AB_Home2A",1,48785,4,43.1724,142.5144
"1883_026_Vis2AB_Home2A",1,48785,5,-43.9599,69.3513
"1883_026_Vis2AB_Home2A",1,48785,6,-29.5557,149.2275
"1883_026_Vis2AB_Home2A",1,48785,7,-126.7593,232.1907
"1883_026_Vis2AB_Home2A",1,48785,8,6.4818,295.8333
"1883_026_Vis2AB_Home2A",1,48785,9,106.3059,243.9807
"1883_026_Vis2AB_Home2A",1,48785,10,2.4606,-0.0066
"1883_026_Vis2AB_Home2A",1,48785,14,0,-6.6
"1883_026_Vis2AB_Home2A",1,48785,18,86.1762,67.0575
"1883_026_Vis2AB_Home2A",1,48835,1,0.2631,54.8853
"1883_026_Vis2AB_Home2A",1,48835,2,0,-4.5
"1883_026_Vis2AB_Home2A",1,48835,3,50.9778,74.9733
"1883_026_Vis2AB_Home2A",1,48835,4,43.1226,142.3917
"1883_026_Vis2AB_Home2A",1,48835,5,-43.9572,69.3447
"1883_026_Vis2AB_Home2A",1,48835,6,-29.6574,149.2197
"1883_026_Vis2AB_Home2A",1,48835,7,-126.7287,232.1457
"1883_026_Vis2AB_Home2A",1,48835,8,6.516,295.8057
"1883_026_Vis2AB_Home2A",1,48835,9,106.2186,244.0332
"1883_026_Vis2AB_Home2A",1,48835,10,2.5167,0.1308
"1883_026_Vis2AB_Home2A",1,48835,14,0,-6.6
"1883_026_Vis2AB_Home2A",1,48835,18,86.2347,67.0851
"1883_026_Vis2AB_Home2A",1,48885,1,0.2682,54.7557
"1883_026_Vis2AB_Home2A",1,48885,2,0,-4.5
"1883_026_Vis2AB_Home2A",1,48885,3,50.9673,74.94
"1883_026_Vis2AB_Home2A",1,48885,4,43.0734,142.269
"1883_026_Vis2AB_Home2A",1,48885,5,-43.9551,69.3381
"1883_026_Vis2AB_Home2A",1,48885,6,-29.7594,149.2119
"1883_026_Vis2AB_Home2A",1,48885,7,-126.699,232.1013
"1883_026_Vis2AB_Home2A",1,48885,8,6.5499,295.7781
"1883_026_Vis2AB_Home2A",1,48885,9,106.131,244.0848
"1883_026_Vis2AB_Home2A",1,48885,10,2.5722,0.2679
"1883_026_Vis2AB_Home2A",1,48885,14,0,-6.6
"1883_026_Vis2AB_Home2A",1,48885,18,86.2941,67.1127
"1883_026_Vis2AB_Home2A",1,48935,1,0.273,54.6258
"1883_026_Vis2AB_Home2A",1,48935,2,0,-4.5
"1883_026_Vis2AB_Home2A",1,48935,3,50.9571,74.907
"1883_026_Vis2AB_Home2A",1,48935,4,43.0242,142.1466
"1883_026_Vis2AB_Home2A",1,48935,5,-43.9527,69.3315
"1883_026_Vis2AB_Home2A",1,48935,6,-29.8611,149.2035
"1883_026_Vis2AB_Home2A",1,48935,7,-126.6693,232.0575
"1883_026_Vis2AB_Home2A",1,48935,8,6.5838,295.7505
"1883_026_Vis2AB_Home2A",1,48935,9,106.0428,244.1364
"1883_026_Vis2AB_Home2A",1,48935,10,2.6277,0.4053
"1883_026_Vis2AB_Home2A",1,48935,14,0,-6.6
"1883_026_Vis2AB_Home2A",1,48935,18,86.3535,67.1403
"1883_026_Vis2AB_Home2A",1,48985,1,0.2772,54.4956
"1883_026_Vis2AB_Home2A",1,48985,2,0,-4.5
"1883_026_Vis2AB_Home2A",1,48985,3,50.9469,74.8737
"1883_026_Vis2AB_Home2A",1,48985,4,42.9753,142.0242
"1883_026_Vis2AB_Home2A",1,48985,5,-43.9506,69.3249
"1883_026_Vis2AB_Home2A",1,48985,6,-29.9631,149.1954
"1883_026_Vis2AB_Home2A",1,48985,7,-126.6396,232.0134
"1883_026_Vis2AB_Home2A",1,48985,8,6.6174,295.7229
"1883_026_Vis2AB_Home2A",1,48985,9,105.9549,244.188
"1883_026_Vis2AB_Home2A",1,48985,10,2.6835,0.5424
"1883_026_Vis2AB_Home2A",1,48985,14,0,-6.6
"1883_026_Vis2AB_Home2A",1,48985,18,86.4132,67.1682
"1883_026_Vis2AB_Home2A",1,49035,1,0.2814,54.3651
"1883_026_Vis2AB_Home2A",1,49035,2,0,-4.5
"1883_026_Vis2AB_Home2A",1,49035,3,50.9367,74.8407
"1883_026_Vis2AB_Home2A",1,49035,4,42.9261,141.9021
"1883_026_Vis2AB_Home2A",1,49035,5,-43.9485,69.3186
"1883_026_Vis2AB_Home2A",1,49035,6,-30.0648,149.1873
"1883_026_Vis2AB_Home2A",1,49035,7,-126.6099,231.9693
"1883_026_Vis2AB_Home2A",1,49035,8,6.651,295.6953
"1883_026_Vis2AB_Home2A",1,49035,9,105.867,244.2393
"1883_026_Vis2AB_Home2A",1,49035,10,2.739,0.6792
"1883_026_Vis2AB_Home2A",1,49035,14,0,-6.6
"1883_026_Vis2AB_Home2A",1,49035,18,86.4732,67.1958
"1883_026_Vis2AB_Home2A",1,49085,1,0.2856,54.2349
"1883_026_Vis2AB_Home2A",1,49085,2,0,-4.5
"1883_026_Vis2AB_Home2A",1,49085,3,50.9265,74.8074
"1883_026_Vis2AB_Home2A",1,49085,4,42.8772,141.78
"1883_026_Vis2AB_Home2A",1,49085,5,-43.9467,69.312
"1883_026_Vis2AB_Home2A",1,49085,6,-30.1668,149.1789
"1883_026_Vis2AB_Home2A",1,49085,7,-126.5799,231.9252
"1883_026_Vis2AB_Home2A",1,49085,8,6.6849,295.6677
"1883_026_Vis2AB_Home2A",1,49085,9,105.7788,244.2909
"1883_026_Vis2AB_Home2A",1,49085,10,2.7945,0.8163
"1883_026_Vis2AB_Home2A",1,49085,14,0,-6.6
"1883_026_Vis2AB_Home2A",1,49085,18,86.5329,67.2237
"1883_026_Vis2AB_Home2A",2,65535,1,0.0747,55.7085
"1883_026_Vis2AB_Home2A",2,65535,2,0,-4.5
"1883_026_Vis2AB_Home2A",2,65535,3,55.8006,79.4727
"1883_026_Vis2AB_Home2A",2,65535,4,40.9758,145.1514
"1883_026_Vis2AB_Home2A",2,65535,5,-46.6305,71.7825
"1883_026_Vis2AB_Home2A",2,65535,6,-28.3932,149.6829
"1883_026_Vis2AB_Home2A",2,65535,7,-128.2323,231.5097
"1883_026_Vis2AB_Home2A",2,65535,8,6.84,298.1034
"1883_026_Vis2AB_Home2A",2,65535,9,107.325,244.3752
"1883_026_Vis2AB_Home2A",2,65535,10,3.8787,0.8946
"1883_026_Vis2AB_Home2A",2,65535,14,0,-6.6
"1883_026_Vis2AB_Home2A",2,65535,18,84.3507,67.2045
"1883_026_Vis2AB_Home2A",2,65585,1,0.0891,55.6422
"1883_026_Vis2AB_Home2A",2,65585,2,0,-4.5
"1883_026_Vis2AB_Home2A",2,65585,3,55.8306,79.3914
"1883_026_Vis2AB_Home2A",2,65585,4,40.9344,145.0314
"1883_026_Vis2AB_Home2A",2,65585,5,-46.6083,71.7867
"1883_026_Vis2AB_Home2A",2,65585,6,-28.4451,149.6337
"1883_026_Vis2AB_Home2A",2,65585,7,-128.2224,231.4905
"1883_026_Vis2AB_Home2A",2,65585,8,6.7752,298.0581
"1883_026_Vis2AB_Home2A",2,65585,9,107.274,244.4247
"1883_026_Vis2AB_Home2A",2,65585,10,3.8787,0.8946
"1883_026_Vis2AB_Home2A",2,65585,14,0,-6.6
"1883_026_Vis2AB_Home2A",2,65585,18,84.3519,67.2126
"1883_026_Vis2AB_Home2A",2,65635,1,0.1035,55.5759
"1883_026_Vis2AB_Home2A",2,65635,2,0,-4.5
"1883_026_Vis2AB_Home2A",2,65635,3,55.8606,79.3101
"1883_026_Vis2AB_Home2A",2,65635,4,40.8933,144.9117
"1883_026_Vis2AB_Home2A",2,65635,5,-46.5867,71.7912
"1883_026_Vis2AB_Home2A",2,65635,6,-28.497,149.5842
"1883_026_Vis2AB_Home2A",2,65635,7,-128.2128,231.4716
"1883_026_Vis2AB_Home2A",2,65635,8,6.7101,298.0131
"1883_026_Vis2AB_Home2A",2,65635,9,107.223,244.4742
"1883_026_Vis2AB_Home2A",2,65635,10,3.8787,0.8946
"1883_026_Vis2AB_Home2A",2,65635,14,0,-6.6
"1883_026_Vis2AB_Home2A",2,65635,18,84.3528,67.2207
"1883_026_Vis2AB_Home2A",2,65685,1,0.1179,55.5099
"1883_026_Vis2AB_Home2A",2,65685,2,0,-4.5
"1883_026_Vis2AB_Home2A",2,65685,3,55.8906,79.2288
"1883_026_Vis2AB_Home2A",2,65685,4,40.8528,144.7929
"1883_026_Vis2AB_Home2A",2,65685,5,-46.5657,71.7951
"1883_026_Vis2AB_Home2A",2,65685,6,-28.5489,149.5347
"1883_026_Vis2AB_Home2A",2,65685,7,-128.2038,231.4536
"1883_026_Vis2AB_Home2A",2,65685,8,6.645,297.9687
"1883_026_Vis2AB_Home2A",2,65685,9,107.1717,244.5237
"1883_026_Vis2AB_Home2A",2,65685,10,3.3282,0.5103
"1883_026_Vis2AB_Home2A",2,65685,14,0,-6.6
"1883_026_Vis2AB_Home2A",2,65685,18,84.354,67.2288
"1883_026_Vis2AB_Home2A",2,65735,1,0.132,55.4445
